NAME,ALIAS,PATH,DESCRIPTION
LIT LEGACY OF ANC EGYPT,NELC-061,/coursehistories/3175,The historical origin of writing in Sumeria| Egypt| China| and Mesoamerica; the transmission of writing across languages and cultures| including the route from Phoenician to Greek to Etruscan to Latin to English; the development of individual writing systems over time; the traditional classification of written symbols (ideographic| logographic| syllabic| alphabetic); methods of decipherment; differences between spoken and written language; how linguistic structure influences writing| and is reflected by it; social and political aspects of writing; literacy and the acquisition of writing.   
LAND OF THE PHARAOHS,NELC-062,/coursehistories/3176,Irish Gaelic| spoken primarily on the west coast of Ireland| is rich in oral traditions| song| poetry and literature. Knowledge of this language provides a foundation to understanding Celtic folklore and linguistics and also enhances the study of Anglo-Irish literature and history. The first-year course will include reading| conversation| listening and speaking.   
MIDDLE EASTERN CINEMA: Law and Society,NELC-119,/coursehistories/3177,Introduction to learning and understanding American Sign Language ( ASL ); cultural values and rules of behavior of the Deaf community in the United States. Includes receptive and expressive readiness activities; sign vocabulary; grammatical structure; facial expressive| body movement| gestures signs; receptive and expressive fingerspelling; and deaf culture.   
ANC IRAQ: MESOPOTAM CULT: Ancient Iraq: Mesopotamian Culture & Its Legacy,NELC-145,/coursehistories/3178,Increased communication skill in American Sign Language ( ASL ); cultural values and behavioral rules of the deaf community in the U.S.; receptive and expressive activities; sign vocabulary; grammatical structure; receptive and expressive fingerspelling and aspects of Deaf culture.   
GREAT BOOKS OF JUDAISM,NELC-156,/coursehistories/3179,An introduction to phonetics and phonology. Topics include articulatory phonetics (the anatomy of the vocal tract; how speech sounds are produced); transcription (conventions for representing the sounds of the world's languages); classification (how speech sounds are classified and represented cognitively through distinctive features); phonology (the grammar of speech sounds in various languages: their patterning and interaction) and syllable structure and its role in phonology.   
MOD HEB LIT & CULT TRANS: Image of Childhood in Israeli Film and Literature,NELC-159,/coursehistories/3180,This tutorial allows students to deal in a concentrated manner with selected major topics in linguistics by means of extensive readings and research. Two topics are studied during the semester| exposing students to a range of sophisticated linguistic questions.   
The Mind of Egypt in New Kingdom:Religious Thought from the Age of King Tut,NELC-165,/coursehistories/3181,Expanded instruction of American Sign Language (ASL). Receptive and expressive activities; sign vocabulary; grammatical structure; receptive and expressive fingerspelling; narrative skills| cultural bahviors; and aspects of Deaf culture. Abstract and conversational approach.   
BIBLE IN TRANSLATION: BIBLE IN TRANS: GENESIS,NELC-250,/coursehistories/3182,This course traces the linguistic history of English from its earliest reconstructable ancestor| Proto-Indo-European| to the present. We focus especially on significant large-scale changes| such as the restructuring of the verb system in Proto-Germanic| the intricate interaction of sound changes in the immediate prehistory of Old English| syntactic change in Middle English| and the diversification of English dialects since 1750.   
JEWISH HUMOR,NELC-254,/coursehistories/3183,The main purpose of this course is to teach students to read Old English ("Anglo-Saxon")| chiefly but not exclusively for research in linguistics. Grammar will be heavily emphasized; there will also be lectures on the immediate prehistory of the language| since the morphology of Old English was made unusually complex by interacting sound changes. In the first eight weeks we will work through Moore and Knott's "Elements of Grammar" and learn the grammar; the remainder of the term will be devoted to reading texts.   
ISLAM INTELLECT TRADITIO,NELC-437,/coursehistories/3184,The origins and development of pidgins (languages of intercommunication that have evolved for practical reasons in situations of trade| conquest| or colonization| and spoken as second or auxiliary languages) and creoles (languages with native speakers that have developed from previous pidgins); relations between creoles and other languages; implications of creole studies for general theories of language and language change.   
HIST EGYPT NEW KINGDOM,NELC-467,/coursehistories/3185,Synchronic and diachronic systems. Analogic processes. Semantic change. Effects of contact. Internal reconstruction. Comparative method and reconstruction.   
ISLAM & THE WEST,NELC-538,/coursehistories/3186,First half of a year-long introduction to the formal study of phonology. Basic concepts in articulatory phonetics; the distribution of sounds (phonemes and allophones); underlying and surface forms| and how to relate them using both ordered-rule and surface-constraint approaches. The survey of theoretical topics in this term includes distinctive features (context| organization| underspecification); the autosegmental representation of tone; and the theory of phonological domains and their interaction with morphological and syntactic constituency. Emphasizes hands-on analysis of a wide range of data.   
