NAME,ALIAS,PATH,DESCRIPTION
INTRODUCTION TO MICROBIOLOGY AND HUMAN BIOCHEMISTRY,NURS-042,/coursehistories/796,This lecture and laboratory course covers concepts of Cellular Biochemistry| Microbiology and Molecular Genetics basic to an understanding of the fundamental processes of living organisms. The organization and characteristics of prokaryotic and eukaryotic cells| structural and functional relationships of the major biomolecules| interrelationships of the various metabolic pathways| basics of molecular genetics and immunology are covered.   
HUMAN DEVELOPMENT,NURS-051,/coursehistories/797,This course provides an overview of human development across the lifespan. Phases of the life span covered include: the prenatal period| infancy| early childhood| middle and late childhood| adolescence| young adulthood| middle adulthood| and late adulthood. Development is examined from a variety of theoretical perspectives including biological| psychoanalytic| cognitive| behavioral| and systems. The leading models of development are critiqued and the unique perspectives and biases that are inherent in any given view are addressed. Cross-cultural perspectives and contemporary issues in lifespan human development| especially those related to health| are emphasized.   
PRINCIPLES OF HUMAN NUTRITION,NURS-054,/coursehistories/798,Essentials of normal nutrition and its relationship to the health of individuals and families. These concepts serve as a basis for the development of an understanding of therapeutic application of dietary principles and the nurse's role and responsibility in this facet of patient care.   
CONCEPTS IN NURSING: PROMOTING HEALTHY LIFE STYLES,NURS-106,/coursehistories/799,This course focuses on health promotion and disease prevention across the health-illness continuum for healthy and at risk individuals in the community. Students build on their previously mastered communication techniques and clinical skills to develop comprehensive assessment skills and to define needs among specific at risk groups in a family and community context.   In weekly seminars| students integrate theories of behavior and health| epidemiologic principles| clinical decision making| and critical thinking skills. Theories are applied utilizing case studies and data sources to develop health promotion and disease prevention strategies. A key component of the course is the development of communication and physical assessment skills and specified clinical techniques. The influence of gender| life span| culture| race| and ethnicity on health promotion and disease prevention is specifically addressed throughout the course.   
NUTRITION: SCIENCE & APPLICATIONS,NURS-112,/coursehistories/800,An overview of the scientific foundations of nutrition. The focus is on the functions| food sources and metabolism of carbohydrate|fat| protein| vitamins and minerals. Effects of deficiency and excess are discussed and dietary recommendations for disease prevention are emphasized. Current issues and controversies are highlighted. Students will analyze their own dietary intakes and develop plans for future actions.   
HUMAN ANATOMY & PHYSIOLOGY-PART B,NURS-132,/coursehistories/801,The structural and functional organization of the human organism is presented| along with the fundementals of developmental anatomy and embtyology. Histologic and gross anatomical features of each organ system are related to the physiologic and biochemical mechanisms which enable the human body to maintain homeostasis in an ever-changing environment. Basic concepts of pathophysiology are introduced and applied to certain clinical disorders.   
NURSING OF THE CHILDBEARING FAMILY: THEORY/CLINICAL,NURS-210,/coursehistories/802,Course content is based on a family centered approach in which the needs of the family members during various phases of the childbearing process are considered. The student is provided with a theory base necessary for the care of women| families| and their newborns. This theory base is organized according to the concepts of the person or family| environment| health and nursing and their relation to each other during childbearing. Using the nursing process| nursing strategies are developed for maintaining family members individually| for promoting optimal physiological and psychological functioning| and enhancing strengths within the family members and within the family unit.   Clinical experiences provide opportunities for application and integration of the theory base with parents and newborns. The student participates in clinical experiences in a variety of settings including acute care facilities| the community| and the Instructional Technology Center (ITC). The student will care for families with both simple and complex needs in all phases of the childbearing cycle. During this course| the student will assist in managing the care of families during the antepartum| intrapartum| postpartum| and neonatal periods.   
NURSING OF CHILDREN: THEORY/CLINICAL,NURS-220,/coursehistories/803,Using developmental and systems frameworks and a family centered approach| the health and illness needs of children from birth through adolescence| and the related needs of their caregivers are addressed. The student is provided with a theory base| as well as opportunities for providing care to children with acute and chronic health problems| and their families. Using critical thinking| including the nursing process| strategies are developed for optimizing health; maintaining individuality; promoting optimal developmental| physiological| and psychological functioning; and| for enhancing strengths within the family unit.   There are three primary foci for this course: taking care of sick children and families| child development| and professionalism.   
NURSING CARE OF YOUNG & MIDDLE AGED ADULT: THEORY/CLINICAL,NURS-240,/coursehistories/804,The four central themes of nursing (person| environment| health and nursing) will form the basis for an exploration of the health and illness related issues facing young and middle aged adults. A functional status conceptual framework encompassing a biopsychosocial approach to nursing practice will be used. The course will present a comprehensive overview of functional status impairments| developmental concerns| assessment parameters| common health problems| treatment modalities| nutritional interventions| nursing care strategies| resources and barriers to treatment| psychosocial needs as well as ethical and cultural considerations. Clinical application of content covered will occur in an acute care hospital setting.   Students will care for young and middle aged adults recovering from illness and injury and participate in one observational experience which may include the operating room/post-anesthesia care unit| pain experience team| hemodialysis| transplant team| HIV outpatient experience or ostomy experience.   
RESEARCH METHODOLOGY,NURS-260,/coursehistories/805,Focus of the course is on critiquing and using clinical nursing research in practice. Experimental and non-experimental research designs| sampling procedures including human subjects considerations| data collection methods| and interpretation of results will be discussed in the context of research utilization.   
