NAME,ALIAS,PATH,DESCRIPTION
INTRO TO OPS & INFO MGMT: Introduction to Operations and Information Management,OIDD-101,/coursehistories/6428,This course is ideal for students consider the English major or minor| since it serves as an introduction to the study of literature. We will begin by raising fundamental and exciting questions central to literary study: What is literature? What has been and is its function? What is the nature of literary value? We will read a variety of literary genres and critical texts and survey a range of interpretive approaches and methods. The course combines lecture and discussion; students will write a series of short interpretive papers. Some versions of this course will also serve as an introduction to other members of the English faculty| who will visit the class as guest lecturers. This course is intended to serve as a foundation for students interested in going on to become English majors.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
MANAGEMENT INFO SYSTEMS,OIDD-210,/coursehistories/6429,This is an introduction to literary study through the works of a single author--often Shakespeare| but some versions of this course will feature other writers. (For offerings in a given semester| please see the on-line course descriptions on the English Department website.) We will read several works and approach them--both in discussion and in writing--from a range of critical perspectives. The author's relation to his or her time| to literary history generally| and to the problems of performance| are likely to be emphasized. Some versions of this course will also serve as an introduction to other members of the English faculty| who will visit the class as guest lecturers. This course is designed for the Generaly Requirement and is ideial for the student wishing to take an English course but not necessarily intending to major.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
INTRODUCTION TO OPERATIONS MANAGEMENT,OIDD-220,/coursehistories/6430,This is an introduction to literary study through a survey of works from a specific historical period. (For offerings in a given semester| please see the on-line course descriptions on the English Department website.) Some versions will begin with traditional stories or poems| including a sampling of works in translation. Others will focus exclusively on modern and contemporary American short fiction or poetry. This course is designed or the General Requirement| and is ideal for student wishing to take an English course but not necessarily intending to major.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
RISK ANALY & ENV MGMT: Risk Analysis and Environmental Management,OIDD-261,/coursehistories/6431,This course emphasizes the study and practice of basic techniques of short fiction| with assignments divided between readings and discussion of student-written material.   See English Department's website at www.english.upenn.edu for a description of the current offerings.   
DECISION PROCESSES,OIDD-290,/coursehistories/6432,A workshop course in the writing of verse| with seminar and individual discussion of student work. There will be reading of traditional and contemporary poetry and analysis of the formal elements of verse.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
BUSINESS COMP LANGUAGES,OIDD-311,/coursehistories/6433,The writing of individually selected projects (a novel| a group of short stories) with reading assignments and discussion of student works-in-progress.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
ENABLING TECHNOLOGIES,OIDD-314,/coursehistories/6434,This course will look at the screenplay as both a literary text and a blue print for production. Several classic screenplay texts will be critically analyzed (REBEL WITHOUT A CAUSE| DOCTOR STRANGELOVE| PSYCHO| etc.) Students will then embark on writing their own scripts. We will intensively focus on: character enhancement| creating "believable" cinematic dialogue| plot development and story structure| conflict| pacing| dramatic foreshadowing| the element of surprise| text and subtext and visual story-telling. Class attendance is mandatory. Students will submit their works-in-progress to the workshop for discussion.   See English Department's website at www.english.upenn.edu for a description of the current offerings.   
ADVANCED DECISION SYS: Advanced Decision Systems: Agents Games and Evolution,OIDD-319,/coursehistories/6435,This workshop is especially valuable for creative writing concentrators in poetry within the English Major| for those who are working on longer works| or for those who wish to work on a series of poems connected by style and subject matter.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
INTRO TO MGMT SCIENCE,OIDD-321,/coursehistories/6436,This is a workshop about visual art. Most weeks there will be both a writing assignment and suggested reading. We will review Philadelphia area exhibitions| including shows at the Institute of Contmeporary Art| Philadelphia Museum of Art| and galleries. We will also make some class to local art spaces. In the workshop| students will be able to try out different approaches to writing about art works| concentrating on various descriptive and critical approaches. The workshop will be useful to budding journalists and critics but also to visual art and art history students who are interested in honing their writing and analytical skills. We will also discuss editing and the role of the editor in creating the final written piece. And there will be plenty of opportunities for us to talk about a wide range of contemporary visual art.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
THINKING WITH MODELS,OIDD-325,/coursehistories/6437,Advanced writing seminar on non-fiction topics. Open to upperclass students. Freshmen who wish to enroll in this course should bring a writing sample to the instructor on the first day of class.   
RETAIL SUPP CHAIN MGMT,OIDD-397,/coursehistories/6438,A workshop course in the writing of expository prose. Assignments include informal as well as formal essays| covering such topics as autobiography| family history| review| interview| analysis of advertising and popular culture| travel| work| and satire.   See the English Department's website at www.english.upenn.edu for a description of the current offerings   
PRODUCT DESIGN,OIDD-415,/coursehistories/6439,Writing with a view to publication in the freelance sections of newspapers such as THE PHILADELPHIA INQUIRER and THE NEW YORK TIMES| in magazines such as THE ATLANTIC and THE NEW YORKER| and in the literary quarterlies and the journals of opinion. Among the areas likely to be considered are writing as a public act| issues of taste and of privacy| questions of ethics and of policy| methods of research and of checking| excerpting| marketing| and the realistic understanding of assignments and of the publishing world. Student papers will be the basis of weekly editorial sessions| with concentration on the language: how to render material literate| how to recognize and dispose of padding and self-indulgence| how to tighten structure and amplify substance.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
QUALITY AND PRODUCTIVITY,OIDD-611,/coursehistories/6440,This course will function as a workshop| with a select group of students. It's a course that will honor the spirit and tradition of "documentary" writing. The word "documentary" has meant many things over time. Here| it means a kind of nose-close observation and reportage. It means a level of being with one's subject matter in a way that other creative writing courses do not allow because of their format and structure. In English 155| a student writer at Penn will dare to "hang" with his topic--a girl's high-school basketball team; a medical intern in a HUP emergency room; a cleaning lady doing the graveyard shift in a classroom building; a food-truck operator crowding the noontime avenues; a client-patient in the Ronald McDonald House near campus; a parish priest making his solitary and dreary and yet redemptive rounds of the sick and the dying in the hospital--for the entire term. At the term's end| each writer in the course will have produced one extended prose work: a documentary piece of high creative caliber. This is our goal and inspiration. The piece will be 35 to 40 pages long| at minimum.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
BUSINESS ANALYTICS,OIDD-612,/coursehistories/6441,The focus of this course has varied in the past to include "Psychoanalysis and Literature|" "Allegory| Allegories| and Reading|" and "Introduction to Literary Criticism|" treating authors from Plato and Aristotle to the leading contemporary Anglo-American and continental critics and theorists and dealing with the complexity of terms such as "meaning|" "interpretation|" "genre|" and so on.   
INFO & BUS TRANSFRM,OIDD-613,/coursehistories/6442,An exploration of literary modernism. Readings will include examples of the modern novel| poetry| criticism and drama by British and American writers such as Eliot| Pound| Stevens| Woolf| Yeats| Conrad| Joyce| and Beckett and may include selections from influential voices such as Freud| Marx| and Nietzsche as well as works by continental writers such as Kafka| Rimbaud| or Dostoevsky.   
