NAME,ALIAS,PATH,DESCRIPTION
INTRO COMP PROGRAMMING,OPIM-010,/coursehistories/855,This is an introductory course on management information systems (MIS). The basic areas covered are: computer technology (hardware| software| and the economics of their use)| data and file management| structure and function of an MIS| and the MIS lifecycle (design| implementation| and evaluation). A term project emphasizes the design aspects of the lifecycle model.   
MGMT INFO SYSTEMS,OPIM-020,/coursehistories/856,This course is concerned with methological issues relating to the design and control of operations. Decision making is becoming increasingly quantitative; hence the use and abuse of quantitative techniques is an important concern of management. Emphasis in this course will be placed on understanding the formulation| analysis| and implementation of management science tools for a broad range of managerial decison problems. Topics covered include mathematical prgramming| decision making under uncertainty| and simulation.   
INTRO TO COMPUTER,OPIM-101,/coursehistories/857,OPIM 101 explores a variety of common quantitative modeling problems that arise frequently in business settings| and discusses how they can be formally modeled and solved with a combination of business insight and computer-based tools. The key topics covered include capacity management| service operations| inventory control| structured decision making| constrained optimization and simulation. This course teaches how to model complex business situations and how to master tools to improve business performance. The goal is to provide a set of foundational skills useful for future coursework atWharton as well as providing an overview of problems and techniques that characterize disciplines that comprise Operations and Information Management.   
DECISION PROCESSES,OPIM-102,/coursehistories/858,This course is an intensive introduction to various scientific perspectives on the processes through which people make decisions. Perspectives covered include cognitive psychology of human problem-solving| judgment and choice| theories of rational judgment and decision| and the mathematical theory of games. Much of the material is technically rigorous. Prior or current enrollment in STAT 101 or the equivalent| although not required| is strongly recommended.   
MANAGEMENT INFO SYSTEMS,OPIM-210,/coursehistories/859,This course provides a broad-based introduction to the management of information technology focusing on three interrelated themes: technology| organization| and strategy. The goal of this course is to equip students with the knowledge and tools to utilize information systems to pursue a firm's strategic and organizational goals. The course has no prerequisites other than a general interest in the applications of information technology.   
PRODUCTION AND OPER MGMT,OPIM-220,/coursehistories/860,For Spring 2012: If OPIM 220 is listed as closed after the pre-registration period| please e-mail Professor Veeraraghavan at senthilv@wharton.upenn.edu for permission.   
NEGOTIATION/DISPUTE RES,LGST-206,/coursehistories/667,This course examines the art and science of negotiation| with additional emphasis on conflict resolution. Students will engage in a number of simulated negotiations ranging from simple one-issue transactions to multi-party joint ventures. Through these exercises and associated readings| students explore the basic theoretical models of bargaining and have an opportunity to test and improve their negotiation skills.   
BUSINESS COMP LANGUAGES,OPIM-311,/coursehistories/862,This course is taught with the more descriptive title of "Scripting for Business Analytics." "Business Analytics" refers to modeling and analysis undertaken for purposes of management and supporting decision making. The varieties of techniques and methods are numerous and growing| including simple equational models| constrained optimization models| probabilistic models| visualization| data analysis| and much more. Elementary modeling of this sort can be undertaken in Excel and other spreadsheet programs| but "industrial strength" applications typically use more sophisticated tools| based on scripting languages. Scripting languages are programming languages that are designed to be learned easily and to be used for special purposes| rather than for large-scale application programming. This course focuses on the special purposes associated with business analytics and teaches MATLAB and Python in this context. MATLAB and Python are widely used in practice (both in management and in engineering)| as are the business analytic methods covered in the course. Prior programming experience is useful| but not required or presumed for this course.   
DATABASE MGMT SYSTEMS,OPIM-315,/coursehistories/863,Organizations continue to increase their reliance on computerized database management and information retrieval systems. Whether purchasing airplane tickets| managing retail merchandise| processing financial trades or simply sending email| data management defines the modern firm. This course aimes to provide students with both a practical and theoretical introduction to the design| implementation| and use of such systems. Students are introduced to the fundamental concepts and principals of data management and gain practical experience by designing and deploying a working system. Throughout the course| case studies are used to illustrate theoretical concepts while acquainting students with innovative commercial uses of these systems.   
BUS APPLICATION DEVELOP,OPIM-392,/coursehistories/864,
DECISION SUPPORT SYSTEMS,OPIM-410,/coursehistories/865,
ADV TOP IN INFO STR&ECON,OPIM-469,/coursehistories/866,The course is devoted to the study of the strategic use of information and the related role of information technology. The topics of the course vary year to year| but generally include current issues in selling digital products| intermediation| and disintermediation| designing and competing in electronic markets| outsourcing| and technology project management. Heavy emphasis is placed on utilizing information economics to analyze new and existing businesses in information-intensive industries. Technology skills are not required| although a background in information technology management (equivalent to OPIM210)| strategic management or managerial economics is helpful.   
PRODUCT DESIGN,OPIM-415,/coursehistories/1427,
PROCESS MGMT IN MFG,OPIM-221,/coursehistories/2053,A study of selected topics| texts| and figures from classical Greek philosophy.   
RISK ANALY & ENV MGMT,OPIM-261,/coursehistories/2054,Various topics in justice.   
ENABLING TECHNOLOGIES,OPIM-314,/coursehistories/2055,The course starts with a discussion of theories of visual perception and their relation to philosophy. We survey the history of visual theories from Euclide to Marr and Rock| with stops to include Ibn al-Haytham| Descartes| Berkely| Helm holtz| and Koffka. We then consider selected philosophical topics| such as the existence and structure of visual space| the metaphysics of color qualities| the nature of object perception| or the representational relation between images and things imaged (e.g.| between pictures and what they represent).   
SYSTEMS ANALDESIGNIMPL,OPIM-316,/coursehistories/2056,A study of the sources| development| and criticism of Logical Postivism. Extensive treatment will be given to Rudolf Carnap and W.V. Quine.   
COMP SIMULATION MODEL,OPIM-325,/coursehistories/2371,The course begins with a survey of basic descriptive statistics and data sources and then covers elementary probability theory| sampling| estimation| hypothesis testing| correlation| and regression. The course focuses not on mathematical proofs of theorems| but rather on practical issues involved in the substantive interpretation of economic data using the techniques of statistical inference. For this reason| empirical case studies that apply the techniques to real-life data are stressed and discussed throughout the course| and students are required to perform several statistical analyses of their own. May not be taken for credit by students who have taken either one or two semesters of Statistics or by any student who has already completed statistics at least at the level of Stat 101 (including the sequence Stat 111/112). (Students with a one semester AP Statistics credit for Stat 101 or higher can drop the credit to take Econ 5 via a release form available from the department). Students who have one semester of statistics take the second course in statistics or Econ 6 (or Econ 5| if Stat 111 was taken) to satisfy the statistics requirement of the major.   
INTR TO OPTIMIZ THEORY,ESE-504,/coursehistories/2563,An introduction to the grammar of the Aramaic language with emphasis on developing skills in reading Aramaic texts.   
INFO SYS FOR E-COMMERCE,ESE-508,/coursehistories/2564,This course will deal with those texts of the Middle Kingdom that are written in the classical form of the language. It will include both monumental inscriptions| such as autobiographical stela inscriptions (P. Newberry| BENI HASSAN) and stelae (Seth| LESESTUCKE) as well as narratives in prose (DeBuck| READING BOOK). Religious texts (ibid. and COFFIN TEXTS) will also be studied and analyzed. Distinctions between the grammar of the literary and non-literarygenres will be discussed.   
DECISON PROCESSES,OPIM-290,/coursehistories/3200,Course experimentally replaced by Math 202. Call Mathematics Department (215-898-8178) for details.   
SUPERVISED STUDY: Utility Programming for Business Analysts,OPIM-399,/coursehistories/3201,Course experimentally replaced by Math 203. Call Mathematics Department (215-898-8178) for details.   
SERVICE OPER MGMT,OPIM-223,/coursehistories/3676,Along with AMES 174| this is a four-semester sequence| beginning each Fall. Students cannot begin their studies in the Spring| as we do not offer the first (or third) semesters then. The objective of the course is to help students build a solid foundation of the four basic skills--listening| speaking| reading| and writing. By the end of two semesters| students should achieve the following goals: 1) pronounce all the sounds in Mandarin accurately and comfortably with a good command of the four tones; 2) carry out simple dialogues of familiar topics; 3) recognize and reproduce approximately 300-350 characters; and 4) read short textbook stories and write simple notes. In order to develop students' listening and speaking ability| oral communication tasks are given every other week.   
OPERATIONS MANAGEMENT,OPIM-590,/coursehistories/3677,
ADVANCED DECISION SYS,OPIM-319,/coursehistories/4097,This course provides students with the introductory skills and concepts needed to create short works using digital video technologies. Students will learn the basics of cinematography and editing through a series of assignments designed to facilitate the use of the medium for artistic inquiry| cultural expression and narrative storytelling.   
ADV TOPICS NEGOTIATION,OPIM-292,/coursehistories/4372,St urm-Liouville problems| orthogonal functions| Fourier series| and partial differential equations including solutions of the wave| heat and Laplace equations| Fourier transforms. Introduction to complex analysis. Use of symbolic manipulation and graphics software.   
MATH MDLNG APPL IN FNCE,OPIM-653,/coursehistories/4373,Students will use symbolic manipulation software and write programs to solve problems in numerical quadrature| equation-solving| linear algebra and differential equations. Theoretical and computational aspects of the methods will be discussed along with error analysis and a critical comparison of methods.   
INTEG MKTG & OPERATIONS,OPIM-655,/coursehistories/4374,Topics will be drawn from some subjects in combinatorial analysis with applications to many other branches of math and science: graphs and networks| generating functions| permutations| posets| asymptotics.   
OPERATIONS STRATEGY,OPIM-656,/coursehistories/4375,Congruences| Diophantine equations| continued fractions| nonlinear congruences|and quadratic residues.   
