NAME,ALIAS,PATH,DESCRIPTION
INTRO TO PHILOSOPHY,PHIL-001,/coursehistories/867,Philosophers ask difficult questions about the most basic issues in human life. Does God exist? What does it mean to live a good life? How should I treat non-human animals? Do I have free will? How do I know that the world I see is really there? This course is an introduction to some of these questions and to the methods philosophers have developed for thinking clearly about them.   
ETHICS,PHIL-002,/coursehistories/868,This course will introduce some of the central issues and texts in the philosophical study of morality in the Western tradition. Issues to be examined include: the nature of morality (what makes a person good or bad?)| the relation between morality and religion (if there is no God is everything permitted?)| the nature of the good life and the place of morality within it (why should I be moral?)| as well as selected practical moral issues such as abortion| affirmative action| and responses to world hunger. Readings will be drawn both from historical sources (Plato| Aristotle| Cicero| Epictetus| Hobbes| Hume| Kant| and Mill) and from contemporary authors such as Peter Singer| Judity Thompson| and Bernard Williams.   
HIST ANCIENT PHILOSOPHY,PHIL-003,/coursehistories/869,A survey of classical Greek approaches to questions about knowledge| the natureof the world| the soul| ethics| and politics. Will focus on Socrates| Plato| and Aristotle.   
HISTORY OF MODERN PHILOS,PHIL-004,/coursehistories/870,The explosion of scientific knowledge in early modern Europe cast doubt not only on the medieval worldview but also on its assumption of a theological guarantee for the possibility of human knowledge. Thus modern philosophers had to begin the project of establishing standards and foundations for human knowledge without a divine guarantee. The Reformation and the growth of secular states in the sixteenth and seventeenth centuries presented a similar challenge for modern moral and political philosophy| which thus faced the challenge of establishing norms for human conduct and their foundation without divine commands. We shall examine how the leading philosophers of modern times confronted these challenges| focusing primarily on the challenge for modern theories of knowledge but also considering at least some of the parallel developments in modern moral philosophy. Readings will include selections from Descartes| Leibniz| Locke| Berkeley| Hume| Kant| and in the nineteenth century| the great American philosopher Charles Sanders Peirce.   Written work will include several short papers and a final examination. Attendance at both lectures and discussion sections will be required| and participation in both can also count towards final grades.   
FORMAL LOGIC I,PHIL-005,/coursehistories/871,This course provides an introduction to some of the fundamental ideas of logic. Topics will include truth functional logic| quantificational logic| and logical decision problems.   
THE SOCIAL CONTRACT,PHIL-008,/coursehistories/872,This is an introductory course in modern political philosophy. Political philosophy addresses the justification and legitimate purposes of political power; the basic rights of individuals; the justification of property; capitalism vs. socialism vs. the welfare state; economic justice and the fair distribution of income and wealth; the constitutional requirements of a democracy; and the meaning of the freedom and equality of citizens. These are the kinds of questions we will investigate. The course is organized around the social contract tradition in political philosophy and the utilitarian response to it. Our primary focus is the works of the major social contract philosophers--Thomas Hobbes| John Locke| Jean Jacques Rousseau| and John Rawls--and the major utilitarian philosophers--David Hume| Adam Smith| Jeremy Benthams| and John Stuart Mill. Karl Marx is discussed as a critic of capitalism and constitutional democracy.   
WRITING ABOUT PHILOSOPHY,PHIL-009,/coursehistories/873,This is a critical writing seminar. It fulfills the writing requirement for all undergraduates. As a discipline-based writing seminar| the course introduces students to a topic within its discipline but throughout emphasizes the development of critical thinking| analytical| and writing skills. For current listings and descriptions| visit the Critical Writing Program's website at www.writing.upenn.edu/critical.   
PHIL OF SPACE & TIME,PHIL-026,/coursehistories/874,This course provides an introduction to the philosophy and intellectual history of space-time and cosmological models from ancient to modern times with special emphasis on paradigm shifts| leading to Einstein's theories of special and general relativity and cosmology. Other topics include Big Bang| black holes stellar structure| the metaphysics of substance| particles| fields| and superstrings| unification and grand unification of modern physical theories. No philosophy of physics background is presupposed.   
EXISTENTIALISM,PHIL-055,/coursehistories/875,A critical examination of existentialist views of the nature of the moral life.Readings from both classical (Kierkegaard and Nietzsche) and modern existentialism (Sartre). Readings also include related literary works. Attention will be given to the conceptions of the self; the visions of personalideals; and the treatment of the relation among different kinds of practical ideals.   
BIOMEDICAL ETHICS,PHIL-072,/coursehistories/876,A survey of moral problems in medicine and biomedical research. Problems discussed include: genetic manipulation| informed consent| infanticide| abortion| euthanasia| and the allocation of medical resources. Moral theory is presented with the aim of enabling students to think critically and analytically about moral issues. The need for setting biomedical issues in broader humanistic perspective is stressed.   
