NAME,ALIAS,PATH,DESCRIPTION
WORLD OF PHYSICS,PHYS-005,/coursehistories/891,An introduction to the physical theories of the mechanical universe. The courses focuses on the development and principles of Newtonian mechanics| relativity and the relativistic mechanics of Einstein| and the quantum mechanics needed to describe atomic and nuclear phenomena. This course cannot be taken for credit by a student also receiving credit for PHYS 008| 009| or any physics course numbered 100 or greater.   
PHYS FOR ARCHITECTS II,PHYS-009,/coursehistories/892,A continuation of PHYS 008. This course cannot be taken by a student also receiving credit for any physics course numbered 100 or greater.   
CLASSICAL PHYSICS,PHYS-101,/coursehistories/893,An introduction to the classical laws of motion requiring a background in calculus. Suggested for students in a pre-health program.   
MODERN PHYSICS,PHYS-102,/coursehistories/894,A continuation of PHYS 101 emphasizing an introduction to classical electricity and magnetism| relativity theory| optics| and the quantum theory of matter| requiring a background in calculus. Suggested for students in a pre-health program.   
PRINCIPLES I,PHYS-150,/coursehistories/895,Recommended for science majors and engineering students. Classical laws of motion; interactions between particles; conservation laws and symmetry principles; particle and rigid body motion; gravitation| harmonic motion.   
PRINCIPLES II,PHYS-151,/coursehistories/896,Electric and magnetic fields; Coulomb's| Ampere's| and Faraday's laws; Maxwell's equations; emission| propagation| and absorption of electromagnetic radiation; interference| reflection| refraction| scattering| and diffraction phenomena.   
HONORS PHYSICS II,PHYS-171,/coursehistories/897,This course parallels and extends the content of PHYS 151| at a somewhat higher mathematical level. Recommended for well-prepared students in engineering and the physical sciences| and particularly for those planning to major in physics. Electric and magnetic fields; Coulomb's| Ampere's| and Faraday's laws; special relativity; Maxwell's equations| electromagnetic radiation.   
PRINCIPLES IV: MOD.PHYS.,PHYS-240,/coursehistories/898,Special relativity| an introduction to the principles of quantum mechanics| properties of electrons| protons| neutrons| and the elements of atomic structure and nuclear structure. Electromagnetic radiation and photons; interaction of photons with electrons| atoms| and nuclei.   
PRINCIPLES IV: MOD.PHYS.,PHYS-250,/coursehistories/899,Special relativity| an introduction to the principle of quantum mechanics| properties of electrons| protons| neutrons| and the elements of atomic structure and nuclear structure. Electromagnetic radiation and photons; interaction of photons with electrons| atoms| and nuclei.   
ANALYTICAL MECHANICS,PHYS-351,/coursehistories/900,An intermediate course in the statics and dynamics of particles and rigid bodies. Langrangian dynamics| central forces| non-inertial reference frames| and rigid bodies.   
ELECTROMAG II,PHYS-362,/coursehistories/901,A continuation of PHYS 361. Magnetic fields and potentials| electromagnetic induction| Maxwell's equations| electromagnetic waves| and radiation.   
INTRO TO QM II,PHYS-412,/coursehistories/902,Perturbation theory| variational principle| application of the quantum theory to atomic| molecular| and nuclear systems| and their interaction with radiation.   
LAB IN MOD PHYS,PHYS-414,/coursehistories/903,Supervised experiments in modern physics.   
MODERN OPTICS,PHYS-421,/coursehistories/904,Interaction of light with matter. Interference and diffraction| absorption and dispersion| stimulated emission and coherence| spectroscopy| non-linear processes.   
INTRO TO RESEARCH,PHYS-501,/coursehistories/905,Introduction to research in particle| nuclear| condensed matter and astrophysics. Selected current topics from journals.   
MECHANICSFLUIDSCHAOS,PHYS-514,/coursehistories/906,A general introduction to linear and nonlinear dynamical systems with an emphasis on astrophysical systems. Lagrangian and Hamiltonian formulations. Celestial mechanics. Equilibria and stability. Orbits. Resonances. Galactic dynamics. Intended for graduate students and advanced undergraduates.   
ELECTROMAGNETIC THY II,PHYS-516,/coursehistories/907,Survey of electrodynamics| focusing on applications to research done in the Department. Topics include mathematical structure and relativistic invariance properties of Maxwell equations| tensor methods| and the generation and scattering of radiation| in vacuum and in materials. Applications vary from year to year but include optical manipulation| astrophysical phenomena| and the generalizations from Maxwell's theory to those of other fundamental interactions (strong| electroweak| and gravitational forces).   
INTRO SOLID STATE,PHYS-518,/coursehistories/908,An introduction to condensed matter physics designed primarily for advanced undergraduate and graduate students desiring a compact survey of the field. Band theory of solids| phonons| electrical magnetic and optical properties of matter| and superconductivity.   
QUANTUM MECH II,PHYS-532,/coursehistories/909,Spin and other two dimensional systems| matrix mechanics| rotation group| symmetries| time independent and time dependent perturbation theory| and atomicand molecular systems.   
MEDICAL RADIATION ENG.,PHYS-582,/coursehistories/910,This course in medical radiation physics investigates electromagnetic and particulate radiation and its interaction with matter. The theory of radiation transport and the basic concept of dosimetry will be presented. The principles of radiation detectors and radiation protection will be discussed.   
PHYSINTHEINFORMATIONAGE,PHYS-290,/coursehistories/1445,Ancient epic and its post-classical reception in European traditions of epic| romance| and other genres. Texts and approaches may vary from year to year.   
ADVANCED LAB,PHYS-521,/coursehistories/1446,An examination of key phases in the development of Greek sculpture from the later Bronze Age through the Hellenistic period.   
ASTROPHYSICAL RADIATION,PHYS-526,/coursehistories/1447,An introduction to the procedures and uses of GIS in modern archaeological field and laboratory work. The course will introduce the student to computerized GIS| discuss the philosophy and theory of its use| as well as the analytical potential of its utilization. Archaeological case studies will be presented. Open to graduate students. Undergraduates with permission.   
MOD. OPT. PHYS.&SPECTROS,PHYS-530,/coursehistories/1448,Courses in this category will examine the value systems| political forms| and social and economic institutions that have shaped human societies around the world. An important aspect of many of these courses will be the examination of the moral and political ideals of liberal democracy in the modern world| but it is expected that most of the courses offered in this category will give to students some comparative perspective--over time and across cultures--on the ways in which human societies are organized. These courses will employ the methods and perspectives of various disciplines such as philosophy| political science| history| religious studies| economics| sociology| and anthropology. The courses will employ both original texts and contemporary materials.   For particular course descriptions| please see the Pilot Curriculum web site: http://www.college.upenn.edu/pilot curriculum/pccrsdescriptions.html   
HONORS PHYSICS I,PHYS-170,/coursehistories/2071,The goal of this class is to teach students to use computers as a tool in solving physics problems. The focus will be on actual hands on computational solutions rather than the computational of physical theory. You will be writing code and solving physics problems from the very beginning. By the end of the semester you should be able to solve a variety of physics/scientific problems. The techniques learned in this course will be useful for physics and other topics and should provide a useful foundation for your future career.   
PRINCIPLES III:,PHYS-230,/coursehistories/2072,An intermediate course in the statics and dynamics of particles and rigid bodies. Langrangian dynamics| central forces| non-inertial reference frames| and rigid bodies.   
BIOLOGICAL PHYSICS,PHYS-280,/coursehistories/2073,A continuation of PHYS 361. Magnetic fields and potentials| electromagnetic induction| Maxwell's equations| electromagnetic waves| and radiation.   
ELECTROMAGNETISM I,PHYS-361,/coursehistories/2074,Perturbation theory| variational principle| application of the quantum theory to atomic| molecular| and nuclear systems| and their interaction with radiation.   
MEASUREMENTS LAB,PHYS-364,/coursehistories/2075,Supervised experiments in modern physics.   
THERMODYNAMICS,PHYS-401,/coursehistories/2076,Introduction to research in particle| nuclear| condensed matter and astrophysics. Selected current topics from journals.   
INTRO QUANT MECH,PHYS-411,/coursehistories/2077,A general introduction to linear and nonlinear dynamical systems with an emphasis on astrophysical systems. Lagrangian and Hamiltonian formulations. Celestial mechanics. Equilibria and stability. Orbits. Resonances. Galactic dynamics. Intended for graduate students and advanced undergraduates.   
MATHEMAT METHODS OF PHYS,PHYS-500,/coursehistories/2078,Survey of electrodynamics| focusing on applications to research done in the Department. Topics include mathematical structure and relativistic invariance properties of Maxwell equations| tensor methods| and the generation and scattering of radiation| in vacuum and in materials. Applications vary from year to year but include optical manipulation| astrophysical phenomena| and the generalizations from Maxwell's theory to those of other fundamental interactions (strong| electroweak| and gravitational forces).   
GEN RELATIVITY,PHYS-503,/coursehistories/2079,An introduction to condensed matter physics designed primarily for advanced undergraduate and graduate students desiring a compact survey of the field. Band theory of solids| phonons| electrical magnetic and optical properties of matter| and superconductivity.   
