NAME,ALIAS,PATH,DESCRIPTION
PHILOS POLITICS & ECON: Property Justice and the Good Society,PPE-475,/coursehistories/911,This is an integrative senior seminar (open to others by departmental permission).   The following website will give descriptions of the specific capstone courses that will be offered each semester: http://www.sas.upenn.edu/ppe/Courses/general   
THE SOCIAL CONTRACT,PHIL-008,/coursehistories/872,This is an introductory course in modern political philosophy. Political philosophy addresses the justification and legitimate purposes of political power; the basic rights of individuals; the justification of property; capitalism vs. socialism vs. the welfare state; economic justice and the fair distribution of income and wealth; the constitutional requirements of a democracy; and the meaning of the freedom and equality of citizens. These are the kinds of questions we will investigate. The course is organized around the social contract tradition in political philosophy and the utilitarian response to it. Our primary focus is the works of the major social contract philosophers--Thomas Hobbes| John Locke| Jean Jacques Rousseau| and John Rawls--and the major utilitarian philosophers--David Hume| Adam Smith| Jeremy Benthams| and John Stuart Mill. Karl Marx is discussed as a critic of capitalism and constitutional democracy.   
HIST ECONOMIC THEORY,PPE-231,/coursehistories/1449,Courses in this category will concentrate on major developments in the contemporary physical and life sciences. Attention will be given to interconnections of the sciences| to the driving forces of scientific advancement| both practical and aesthetic| and to the benefits as well as moral and political challenges derived from scientific advancement.   For particular course descriptions| please see the Pilot Curriculum web site: http://www.college.upenn.edu/pilot curriculum/pccrsdescriptions.html   
GLOBAL JUSTICE,PPE-271,/coursehistories/1450,Courses in this category will study the representation and transformation of natural and cultural reality by the human imagination in literature| fine art| music and other forms of human expression. The courses will study a selection of works in various literary| artistic and musical media from antiquity to modernity in their aesthetic and historical contexts. Special attention will be given to connections among the different arts within particular cultures as well as to similarities and differences in the forms of representation and expression developed in different societies| cultures and religions. Clashes among aesthetic| political and religious perspectives on the works of human imagination and expression will inevitably be a theme in these courses. These courses will again depend upon participation by faculty from many disciplines.   For particular course descriptions| please see the Pilot Curriculum web site: http://www.college.upenn.edu/pilot curriculum/pccrsdescriptions.html   
THE SOCIAL CONTRACT,PPE-008,/coursehistories/2381,This course explores an aspect of Postcolonial literature intensively; specific course topics vary from year to year.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
S/T BEH.LAW & ECONOMICS,PSYC-253,/coursehistories/2393,An introduction to the ancient Greek language for beginners| with explanation of basic grammatical concepts and intensive exercises in reading and writing. Ideal for undergraduates or graduate students from Penn or elsewhere with some background in learning other languages| or who need to learn Greek rapidly. The course covers the first year of college-level Greek| equivalent to GREK 101 + 102 at more than twice the normal pace. For further infromation on Penn's Greek curriculum| visit the Classical Studies department website.   
DECISION AND GAME THEORY,PPE-222,/coursehistories/2657,A general survey| designed for the non-major| of the facts and theories of the astronomical universe| from solar system| to stars| to galaxies and cosmology. Topics include planets| satellites| small objects in the solar system| and extraterrestrial life; stars| their evolution| and their final state as white dwarfs| neutron stars| or black holes; galaxies| quasars| large structures| background radiation| and big bang cosmology. Elementary algebra and geometry will be used. This course is not recommended for physical-science majors or engineering students.   
NATURE OF REASONING,PPE-101,/coursehistories/3217,This course presents the basic mathematical tools to model financial markets and to make calculations about financial products| especially financial derivatives. Mathematical topics covered: stochastic processes| partial differential equations and their relationship. No background in finance is assumed.   
INTRO TO GAME THEORY,PPE-111,/coursehistories/3218,Generating functions| enumeration methods| Polya's theorem| combinatorial designs| discrete probability| extremal graphs| graph algorithms and spectral graph theory| combinatorial and computational geometry.   
LEGAL ENFRCMNT MORALITY,PPE-211,/coursehistories/3219,In the last 25 years there has been a revolution in image reconstruction techniques in fields from astrophysics to electron microscopy and most notably in medical imaging. In each of these fields one would like to have a precise picture of a 2 or 3 dimensional object which cannot be obtained directly.The data which is accesible is typically some collection of averages. The problem of image reconstruction is to build an object out of the averaged data and then estimate how close the reconstruction is to the actual object. In this course we introduce the mathematical techniques used to model measurements and reconstruct images. As a simple representative case we study transmission X-ray tomography (CT).In this context we cover the basic principles of mathematical analysis| the Fourier transform| interpolation and approximation of functions| sampling theory| digital filtering and noise analysis.   
