NAME,ALIAS,PATH,DESCRIPTION
LECTURE,PSCI-001,/coursehistories/915,What does politics mean and how does it work?   This course introduces fundamental political questions| including the nature of political authority and political rights| the relationship between power and values| variation in the role and quality of government| origins of political institutions| and dynamics of international politics. Substantial consideration is given to contributions by classical political thinkers as well as contemporary political scientists. Attention is also paid to how the systematic study of politics--American politics| comparative politics| international politics| and political philosophy--can deepen our understanding of complex public policy questions.   
ISSUES IN AMER DEMOCRACY,PSCI-009,/coursehistories/916,This is a critical writing seminar. It fulfills the writing requirement for all undergraduates. As a discipline-based writing seminar| the course introduces students to a topic within its discipline but throughout emphasizes the development of critical thinking| analytical| and writing skills. For current listings and descriptions| visit the Critical Writing Program's website at http://writing.upenn.edu/critical.   
LECTURE,PSCI-050,/coursehistories/917,The purpose of this course is simple enough: to familiarize you with the major problems and dilemmas of contemporary international politics| and in the process to enhance your understanding of a range of complex issues ranging from the evolving nature of international conflict and rivalry to the revival of nationalism; to provide an informed acquaintance with the determinants of foreign policy; to encourage (and prod) thinking about national security and foreign policy at a time of revolutionary changes and explore a variety of perspectives from which they may be viewed and evaluated; and| in particular to examine more closely the role of moral considerations in political choices. There are no prerequisites for the course| which is intended as much for the politically illiterate as for the politically informed. However| students must be prepared to read| to be critical| and to examine their own position of issues that have no easy or apparent solutions.   
NATIONALISM: Nationalism & National Self-Determination,PSCI-113,/coursehistories/918,
COMP W EUR POLS,PSCI-115,/coursehistories/919,Comparative analysis of the political systems of Britain| France and West Germany| focusing on the making and implementation of public policy.   
LECTURE,PSCI-130,/coursehistories/920,This course is intended to introduce students to the national institutions and political processes of American government. What are the historical and philosophical foundations of the American Republic? How does American public policy get made| who makes it| and who benefits? Is a constitutional fabric woven in 1787 good enough for today? How| if at all| should American government be changed| and why? What is politics and why bother to study it? If these sorts of questions interest you| then this course will be a congenial home. It is designed to explore such questions while teaching students the basics of American politics and government.   
AMERICAN FOREIGN POLICY,PSCI-131,/coursehistories/921,This course analyzes the formation and conduct of foreign policy in the United State. The course combines three elements: a study of the history of American foreign relations; an analysis of the causes of American foreign policy such sa the international system| public opinion| and the media; and a discussion of the major policy issues in contemporary U.S. foreign policy| including terrorism| civil wars| and economic policy.   
US POLITICAL PARTIES,PSCI-134,/coursehistories/922,This course is an analysis of parties in the United States| with special attention to democratic theory| the electoral process| electronic media| as well as political organizations and their influence on government decisions.   
INTL RELAT THRY & PRACT,PSCI-150,/coursehistories/923,This course is an introduction to the major theories and issues in international politics. The goals of the course are to give students a broad familiarity with the field of international relations| and to help them develop the analytical skills necessary to think critically about international politics. The course is divided into four parts: 1) Concepts and Theories of International Relations; 2) War and Security; 3) The Global Economy; and 4) Emerging Issues in International Relations.   
LECTURE,PSCI-151,/coursehistories/924,This lecture course introduces students to the subfield of international security or strategic studies. In order to grasp the usefulness of the theoretical ideas presented in readings and lectures| abstract concepts are linked with a study of the national security policies states have adopted in the decades following World War II. Topics include current debates about nuclear proliferation| terrorism| the Iraq war| Europe's changing international role| the rise of China| Asian "flashpoints" (Korea| the Taiwan Strait)| and US secruity policy for the 21st century - considering some of the main strategic alternatives to the US as well as their implications for the types of forces deployed (the impact of the "revolution in military affairs|" the future of missile defense| and the economic burden to be shouldered).   
