NAME,ALIAS,PATH,DESCRIPTION
INTRO TO EXP PSYCH,PSYC-001,/coursehistories/945,Introduction to the basic topics of psychology| including learning| motivation| cognition| development| abnormal| physiological| social| and personality.   
PERCEPTION,PSYC-111,/coursehistories/946,How the individual acquires and is guided by knowledge about objects and events in their environment.   
PHYSIOLOGY MOTIVATED BEH,PSYC-127,/coursehistories/947,This course focuses on evaluating the experiments that have sought to establish links between brain structure (the activity of specific brain circuits) and behavioral function (the control of particular motivated and emotional behaviors). Students are exposed to concepts from regulatory physiology| systems neuroscience| pharmacology| and endocrinology and read textbook as well as original source materials. The course focuses on the following behaviors: feeding| sex| fear| anxiety| the appetite for salt| and food aversion. The course also considers the neurochemical control of responses with an eye towards evaluating the development of drug treatments for: obesity| anorexia/cachexia| vomiting| sexual dysfunction| anxiety disorders| and depression.   
BRAIN BEHAV & EVOLUTION,PSYC-133,/coursehistories/948,This course will provide an introduction to the experimental analysis of natural animal behavior| and its neurobiological basis. Behavior is examined in an evolutionary and ecological context| questions are focused on the neural processes that allow animals to carry out critical tasks such as locating prey and finding mates. The course is comparative and an effort is made to identify common principles in sensory processing and brain function.   
COGNITIVE PSYCHOLOGY,PSYC-151,/coursehistories/949,This course describes current theorizing on how the human mind achieves high-level cognitive processes such as using language| thinking| and reasoning. The course discusses issues such as whether the language ability is unique to humans| whether there is a critical period to the acquisition of a language| the nature of conceptual knowledge| how people perform deductive reasoning and induction| and how linguistic and conceptual knowledge interact.   
PERSONALITY,PSYC-160,/coursehistories/950,This courseprovides an introduction to the psychology of personality and individual differences. Many psychology courses focus on the mind or brain; in contrast to those approaches of studying people in general| the focus in this course is on the question "How are people different from each other?" It will highlight research that take a multidimensional approach to individual differences and attempts to integrate across the biological| cognitive-experimental| and social-cultural influences on personality. A recitation will be required| you willhave a choice of times| announced on first day of class.   
ABNORMAL PSYCHOLOGY,PSYC-162,/coursehistories/951,The concepts of normality| abnormality| and psychopathology; symptom syndromes;theory and research in psychopathology and psychotherapy.   
SOCIAL PSYCH,PSYC-170,/coursehistories/952,An overview of theories and research across the range of social behavior from intra-individual to the group level including the effects of culture| social environment| and groups on social interaction.   
BIOCULTURAL PSYCHOLOGY,PSYC-172,/coursehistories/953,This course introduces the field of evolutionary psychology| which is an approach to the study of human behavior. We will consider the threoretical underpinnings of the field| including evolutionary threory| development| kinship| and adaptations for social life| and will sample some of the recent empirical contributions to this growing area.   
S/T IN PERCEPTION,PSYC-211,/coursehistories/954,
S/T PERSONALITY,PSYC-260,/coursehistories/955,
S/T ABNORMAL PSYC,PSYC-262,/coursehistories/956,
S/T SOCIAL PSYCH,PSYC-270,/coursehistories/957,
RESEARCH EXP PERCEPTION,PSYC-311,/coursehistories/958,In this research course| students will begin by first replicating earlier experiments to measure human visual memory capacity. After several class discussions to discuss ideas| each student will design and conduct their own experiment to further investigate visual and/or familiarity memory.   
RESEARCH EXP LEARNING,PSYC-321,/coursehistories/959,Students will conduct research in elementary learning processes. Initially the class will meet as a whole to conduct some present experiments which provide an initial basis for a short report. Then students will work in small groups to formulate| conduct| and write up projects of their own.   
RESEARCH EXP ABNORMAL,PSYC-362,/coursehistories/960,(Hunt) PSYC 362-301 is a two semester course. No students will be admitted to Dr. Hunt's course in the spring.   
RESEARCH EXP THEORY PERS,PSYC-364,/coursehistories/961,What predicts professional and academic success? In this course| students will work together in groups of 2 to 4 on research projects directed at this question. In particular| we will test the importance of personality| motivation| interest| and ability to achievement in high school| in college| and in business. The course members meet 6 hours per week (formally and informally); an additional 4 hours of work per week will be completed outside of the lab.   
RESEARCH EXP SOCIAL PSYC,PSYC-370,/coursehistories/962,Students will design| conduct| and report on an empirical question in social psychology. The research may involve experiments| content analysis| cross-cultural comparison| interviewing| observations| or other methods. Class discussions will help students formulate their projects and provide an opportunity for reports.   
RESEARCH EXP DEV PSYCH,PSYC-386,/coursehistories/963,
GENETICSEVOLUTION & BEH,PSYC-441,/coursehistories/964,Genetic and environmental components of I.Q.| personality| and psychopathology. Evolutionary psychology; basic evolutionary theory; evolution of altruistic| cooperative| and competitive behavior. The course develops and makes extensive use of elementary mathematical and statistical models.   
DEV PSYCHOPATH,PSYC-462,/coursehistories/965,Topics vary each semester.   
