NAME,ALIAS,PATH,DESCRIPTION
RELIGIONS OF ASIA,RELS-001,/coursehistories/969,Summer 2012 Description: This course is an introduction to the religious traditions of Southern and Eastern Asia. It surveys the beliefs| rituals| and thought of major traditions-Hinduism| Buddhism| Confucianism| Taoism-and less well known traditions-Jainism| Zoroastrianism| Sikhism| Shintoism. The focus of the course will be on the lived experience of each tradition| looking at the worldviews| motives and aspirations of religious figures. Further| we will trace historical developments by examining moments of sharing and contestation of religious| political| and social ideas between traditions in order to question their boundaries and integrity. Special emphasis is placed on the role of the visual in each religious culture. As religions often do not draw the same boundaries between the sacred and profane as western traditions do| we will also interrogate the ways we approachthe study of religion and problematize the very study of "Asian Religions" and "World Religions" in general. This course seeks to foster effective skills and to promote critical and independent inquiry into the ways the sacredhas been and continues to be made| and how the vicissitudes of life are made meaningful in Asia.   
RELIGIONS OF THE WEST,RELS-002,/coursehistories/970,This course surveys the formative histories of Judaism| Christianity| and Islam| with an eye to the core beliefs and practices of Jews| Christians| and Muslims today. Special attention will be given to points of intersection and interactions| as well as to the impact of their intertwined histories on the formation and development of Western cultures.   
RELIGION AND LITERATURE,RELS-003,/coursehistories/971,A consideration of how great works of literature from different cultural traditions have reclaimed and reinterpreted compelling religious themes. One religious tradition will be emphasized each time the course is taught.   
WOMEN AND RELIGION,RELS-005,/coursehistories/972,This course will look at issues of gender in Hinduism| Islam| and Christianity. By using historical| psychoanalytical and anthropological tools| we will explore the various ways in which religion shapes gender roles and vice-versa. Aspects considered will include the representation of the divine| the role of women in religious institutions| and rules regarding the human body| marriage and sexuality. We will also take into consideration contemporary women's self-representation in religious literature| art| and film.   
WRITING ABOUT RELIGION: WRITING ABOUT MAGIC,RELS-009,/coursehistories/973,This is a critical writing seminar. It fulfills the writing requirement for all undergraduates. As a discipline-based writing seminar| the course introduces students to a topic within its discipline but throughout emphasizes the development of critical thinking| analytical| and writing skills. For current listings and descriptions| visit the Critical Writing Program's website at www.writing.upenn.edu/critical.   
RELIG/SEARCH FOR MEANING,RELS-104,/coursehistories/974,
MODERN RELIGIOUS THOUGHT,RELS-106,/coursehistories/975,Evil and its justifications| theodicy| are a dominant and recurring problem formodern religious thought. We will examine various explanations for the nature and origin of evil in the writings of Leibniz| Kant| Nietzsche| Arendt| and Camus along with other philosophers and religious thinkers both ancient and modern. Through close readings of primary sources and secondary materials we will trace this problem of evil from its ancient formulations to its modern instantiations. The question| "whence evil?" becomes most pertitent in an era when many ills are surmountable through education and technological improvements yet ills persist and the greatest volumes of people in human history have been slain in mass-killings.   
RELIGION & VIOLENCE,RELS-108,/coursehistories/976,The purpose of this course is to introduce you to the subjects of the discipline of Folklore| their occurrence in social life| and the scholarly analysis of their use in culture. As a discipline| folklore explores the manifestations of expressive forms in both traditional & modern societies| in small-scale groups where people interface with each face-to-face| and in large-scale| often industrical societies| in which the themes| symbols| and forms that permeate traditional life| occupy new positions| or occur in different occasions in everyday life. For some of you| the distinction will not be helpful. In traditional societies| and within all groups that define themselves ethnically| professionally| or culturally| within modern heterogenous societies in the Americas| Africa| Asia| Europe and Australia| folklore plays a more prominent role in society than it appears to play in literate cultures on the same continents. Consequently| the study of folklore and the analysis of its forms are appropriate in traditional as well as modern societies| and in any society that is in a transitional phase.   
RELIG ETHICS/MOD SOCIETY,RELS-112,/coursehistories/977,Topic for Fall 2010: Religion in the Civil Rights Movement: Martin and Malcolm in America Religious beliefs of Malcolm X and MLK formed their core beliefs in their quest for Civil Rights for African Americans. This course explores the religious biographies of each leader| how religion shaped their public and private personas| and the transformative and transgressive role that religion played in the history of the Civil Rights movement in the United States and abroad. Participants in this course will leave with a clearer understanding of Christianity| the Nation of Islam| Islam| as well as religiously based social activism. Other emphases will include the public and private roles of religion within the context of the shaping of ideas of freedom| democracy| and equality in the United States| the role of the Black church in depicting messages of democracy and freedom| and religious oratory as exemplified through MLK and Malcolm X.   
CHRISTIAN ORIGINS,RELS-135,/coursehistories/978,"What can be known - from an historical perspective - about the life and teachings of Jesus and his earliest followers? Did Jesus see himself as a as a teacher and/or a revolutionary and/or the messiah? If Jesus and the apostles were all Jews| how did Christianity emerge as a distinct "religion"? And how is that this small Galilean and Judean movement came to shape world history and Western culture| even to this day? This course will explore these questions through a focus on the formation of the New Testament - from the letters of Paul in the early first century CE| to the collection and closure of the canon of Christian Scriptures in the fourth century CE."   
