NAME,ALIAS,PATH,DESCRIPTION
Technology and Foreign Language Teaching,GRMN-517,/coursehistories/559,This course focuses on the evaluation| design| and development of multimedia in foreign language teaching and seeks to spotlight intersections of pedagogy and technology. Emphases are on the evaluation and production of effective multimedia-based materials and the pedagogical concerns raised by their implementation.   In workshops| you will learn to use video-| image-| and sound-editing software applications. In weekly lectures| you will examine current trends and issues in pedagogically sound applications of technology. We will focus our discussions mainly on the efficacy of Web-based design and development.   You will design and produce an instructional project including different media such as text| image/graphics| sound| and video and create an on-line teaching portfolio as your final project.   
HISTORY LIT THEORY,COML-501,/coursehistories/2253,Spanish 130 is a first-semester intermediate-level language course that emphasizes the development of the four basic skills (reading| writing| listening and speaking skills) within a culturally based context. Class time will focus on communicative activities that combine grammatical concepts| relevant vocabulary| and cultural themes. Students will participate in pair| small-group and whole-class activities to practice linguistics skills in meaningful contexts. Major course goals include: the acquisition of intermediate-level vocabulary| the controlled use of the past tense| and the development of writing skills at a paragraph level with transitions.   
BEG JUDEO-SPANISH I,ROML-110,/coursehistories/3931,Movies as a form of audio-visual communication: their formal language| their relationship to other means of communication (music| stories| theater| pictures)| their place in the media industry| their role in culture.   
INTRO LIT THEORY,COML-360,/coursehistories/2497,An introduction to the spoken and written language of contemporary Iran.   
ROML LANG-INTENSIVE I: INTENSIVE CATALAN LANG,ROML-121,/coursehistories/4405,MGMT 230 integrates the material introduced in business fundamental courses andapplies it to the design and evaluation of new ventures. The purpose of this course is to explore the many dimensions of new venture creation and growth and to foster innovation and new business formations in independent and corporate settings. The course addresses both a theoretical perspective on venture initiation and the application of writing an actual business plan.   
LATIN AMERICAN LITERATRE: Contemporary Caribbean Literature: Theory and Culture,ROML-396,/coursehistories/4406,This is essentially a course in comparative national environments for business and how aspects of these environments impact on the firm. The course examines a number of institutions and phenomena in various countries. Issues range from language| religion| gender and ethnicity to legal systems| financial markets and corporate governance. The lectures draw on ideas from history| geography| sociology| political science and economics to inform our analyses. The lectures and cases range over both developed market economies and emerging economies.   
LAT AMERICAN LITERATURE: Art the State and the New Citizen in Contemporary Literature of Lt America,ROML-290,/coursehistories/5037,Fundamentals of Behavioral Medicine concerns itself with the description of ideology| disease and treatment from the perspective of a functional analyses. It is the intent of this course to extend the traditional structural analysis that traditional medicine provides.   
LATIN AMERICAN FILM: Contemporary Latin American Film,ROML-296,/coursehistories/5263,
LATIN AMERICAN FILM: Cinema of the Cuban Revolution,CINE-294,/coursehistories/5387,Geologic history of invertebrates and their inferred life habits| paleoecology| and evolution. Introduction to paleobotany and vertebrate paleontology.   
CALIFORNIA THROUGH WWII,HIST-179,/coursehistories/589,This course will provide students with a solid knowledge of the history of early modern Spain (1450-1700). Through readings of primary and secondary texts that offer a complex vision of the cultural| religious| intellectual| and economic contexts and processes| students will be able to appreciate the intricacies of Spain's historical evolution. The course focuses on the rise and decline of the Spanish monarchy: the conditions that enabled Spain to become the most powerful monarchy in early modern times| and the conditions that led to its decline. This course also touches upon other important aspects critical to understanding early modern Spain: relationships among Christians| Muslims| and Jews in the Iberian Peninsula; the conquest and colonization of the New World; and early modern debates about Spain's rights to occupy America and the so-called "destruction of the Indies."   
INTERMEDIATE QUECHUA I,ROML-130,/coursehistories/6465,
