NAME,ALIAS,PATH,DESCRIPTION
ELEMENTARY RUSSIAN II,RUSS-002,/coursehistories/993,Continuation of RUSS001. Further work developing basic language skills using exciting authentic materials about life in present-day Russia. At the conclusion of the course| students will be prepared to negotiate most basic communication needs in Russia (getting around town| ordering a meal| buying goods and services| polite conversation about topics of interest) and to comprehend most texts and spoken material at a basic level.   
INTERMEDIATE RUSSIAN II,RUSS-004,/coursehistories/994,A continuation of RUSS003. This course will further develop your ability to use the Russian language in the context of everyday situations (including relationships| travel and geography| leisure activities) and also through reading and discussion of elementary facts about Russian history| excerpts from classic literature and the contemporary press and film excerpts. At the end of the course you will be able to negotiate most daily situations| to comprehend most spoken and written Russian| to state and defend your point of view. Successful completion of the course prepares students to satisfy the language competency requirement.   
TERRORISM: Russian Origins to 21st C. Methods,RUSS-022,/coursehistories/995,This course studies the emergence of organized terrorism in nineteenth century Russia. It examines the philosophy of the terrorist struggle through its methods| causes| various codes| and manifestoes that defined its nature for the times to come. We critique intellectual movements such as nihilism| anarchism| and populism that inspired terrorism defining the political violence and disorder as beneficial acts. The issue of policing terrorism becomes central when we study a police experiment to infiltrate| delegitimize and ultimately neutralize the terrorist networks in late imperial Russia.   The discussions draw on the ideology and political efficacy of the conspiratorial mode of operation| terrorist tactics such as assassination and hostage-taking| the cell structure of the groups and underground incognito of the strikers| their maniacal self-denial| revoluntionary asceticism| underground mentality| faceless omnipotence| and other attributes-intensifiers of its mystique. We analyze the technology and phenomenology of terror that generate symmetrical disorganizing threats to any organized form of government and reveal the terrorist act as a sublime end as well as a lever for achieving practical causes. Our study traces the rapid proliferation of terrorism in the twentieth century and its impact on the public life in Western Europe| the Balkans| and America.   
RUSSIAN LITERATURE IN TRANSLATION II(1870-PRESENT),RUSS-032,/coursehistories/996,Major Russian writers in English translation: Tolstoy| Dostoevsky| Pasternak| Babel| Solzhenitsyn| and others.   
INTRO TO RUSSIAN CIV II,RUSS-106,/coursehistories/997,The collapse of communism in the world's largest country and the transition to new political| social| and economic modes have resulted in profound changes for the people in Russia and in the rest of the world -- changes that have brought an unprecedented diversity of opportunity for some| and for others| severe restrictions.   How do 19th and 20th century Russia and the Soviet Union give meaning to 21st century Russia? This course investigates this question by looking at the interconnections between literature| the visual and theater arts| religion and society. Film| works of art| literary texts| manifestoes| ethnographies| and memoirs will be used in examining such topics as art in society| revolutionary thought| utopian and distopian visions| mythmaking| the status of women| youth culture| and changing values in post-communist society.   
DOSTOEVSKY,RUSS-201,/coursehistories/998,This course explores the ways Fyodor Dostoevsky (1821-1881) portrays the "inner world(s)" of his characters. Dostoevsky's psychological method will be considered against the historical| ideological| and literary contexts of middle to late nineteenth-century Russia. The course consists of three parts External World (the contexts of Dostoevsky)| "Inside" Dostoevsky's World (the author's technique and ideas) and The World of Text (close reading of Crime and Punishment and The Brothers Karamazov). Students will write three essays on various aspects of Dostoevsky's "spiritual realism."   
RUSSIAN HISTORY IN FILM: Drama and Fiction,RUSS-225,/coursehistories/999,This course draws on the fictional| drama and cinematic representation of the Russian history based on Russian as well as non Russian sources and interpretations. The analysis targets major modes of imagining| such as narrating| showing and reenacting historical events| personae and epochs justified by different| historically mutating ideological postulates and forms of national self-consciousness. Common stereotypes of picturing Russia from "foreign" perspectives draw special attention. The discussion involves the following themes and outstanding figures: the mighty autocrats Ivan the Terrible| Peter the Great| and Catherine the Great; the tragic ruler Boris Godunov; the brazen rebel and royal impostor Pugachov; the notorious Rasputin| his uncanny powers| sex-appeal| and court machinations; Lenin and the October Revolution; images of war; the times of construction and the times of collapse of the Soviet Colossus.   
RUSSIAN CONVERSATION AND COMPOSITION II,RUSS-312,/coursehistories/1000,Primary emphasis on speaking| writing| and listening. Development of advanced conversational skills needed to carry a discussion or to deliver a complex narrative. This course will be based on a wide variety of topics from everyday life to the discussion of political and cultural events. Russian culture and history surveyed briefly. Materials include Russian TV broadcast| newspapers| Internet| selected short stories by contemporary Russian writers. Offered each spring.   
PUSHKIN,RUSS-402,/coursehistories/1001,The writer's lyrics| narrative poems| and drama.   
ADV RUSS CONV,RUSS-413,/coursehistories/1002,This course continues developing students' advanced skills in Russian| and introduces students to major movements and figures of twentieth-century Russian literature and culture. We will read the works of modern Russian writers| and watch and discuss feature films. The course will introduce the first Soviet films and works of the poets of the Silver Age and beginning of the Soviet era as well as the works from later periods up to the Perestroika and Glasnost periods (the late 1980s).   
