NAME,ALIAS,PATH,DESCRIPTION
INDIANS O'SEAS:GLBL VW,SARS-012,/coursehistories/1003,This course is about the history of Indian immigration into different parts of the world. The course will consist of readings| discussions| observations| data collection and analysis. The topics will include cultural preservation and cultural change through generations| especially in North America| the Caribbean| the United Kingdom| and the African continent. The course will encourage organized thinking| observations and analysis of components of culture that immigrant communities are able to preserve in the long run and cultural components that undergo change or get reinterpreted. In this context| we will look at entities such as religion| food| language| and family. The course will include immigrants' success stories| their contributions| thier relationship with others groups in the new society andthe nature and extent of their links with India. The course will also address conflict with other sections of the host society| including discrimination against and victimization of immigrants. Other issues will include new social and cultural concerns of immigrants and the rise of new community organizations such as temples and cultural organizations to address those issues. The course will benefit from the study of other immigrant communities around the world.   
BEGINNING TABLA II,SARS-062,/coursehistories/1004,A continuation of Tabla I| also open to beginning students| speak to the instructor.   
BEGINNING SITAR II,SARS-063,/coursehistories/1005,This is the second semester of a beginning performance course in North Indian sitar. Students who have not taken the first semester but have experience with any musical instrument are permitted to join. Fundamentals of sitar technique| composition and improvisation are presented and practiced in class. Performance practice is supplemented by lectures| readings| and audio and video material on selected topics in North Indian musical culture. Each student is expected to put in two hours of practice per week| and complete reading| audio and written assignments. The class gives a group performance at the end of the semester.   
LEGACY OF INDIA,SARS-101,/coursehistories/1006,The course will give an overview of the rich cultural history and legacies of South Asia from the beginnings til ca. AD 1200. Highlights of South Asian religious and philsophical thought| literature and art will be considered and discussed against a background of political and social history.   
INDIAN PHILOSOPHY,SARS-103,/coursehistories/1007,The fundamentals of Hindu and Buddhist philosophy| the main patterns of Western response to it| and some basic questions of "comparative philosophy". Selected readings from classical Indian texts in English translation.   
PERFORM ARTS SOUTH ASIA,SARS-165,/coursehistories/1008,This course is a survey of selected traditions of theater| music| and dance in India and surrounding regions. Topics include ritual practices| theater| classical dance| classical music| devotional music| regional genres| and contemporary popular musics. Readings and lectures are supplemented by audio and visual materials and live performances. The aim of the course is to expose students to a variety of performance practices from this part of the world and to situate the performing arts in their social and cultural contexts. The course has no prerequisites.   
INDIAN CINEMA & SOCIETY,SARS-205,/coursehistories/1009,This course will meet for three hours to view and discuss a variety of films/videos in Hindi| Tamil| Bengali| Urdu (with English subtitles)| and English| which bring up issues of social| political| and cultural significance. Readings for the course will include articles in various fields ranging from film studies and communication to sociolinguistics and women's studies. Discussions will focus on cinema as a means of expression and as an instrument for social change| examining the various ways in which films both reflect and influence contemporary culture.   
SOUTH ASIANS IN THE US,SARS-206,/coursehistories/1010,This course begins with a historical survey of South Asian immigration in the United States. It continues with a broad look at cultural| social| and political issues which confront the South Asian American community today| issues such as citizenship and transnationality| minoritization| economic opportunity| cultural and religious maintenance and adaptation| changes in family structure and gender roles| and generational shifts. It concludes with an examination of the emergence of a body of creative writings by South Asians in America as an expatriate Indian literature of exile and as American immigrant and ethnic literature.   
BEGINNING HINDI-URDU,SARS-210,/coursehistories/1011,The course aims at developing an interactive speaking ability on everyday topics. At this stage there is less emphasis on developing reading and writing skills. The target language is presented in its sociocultural context including body language. For achieving a meaningful and operational control of the language| students acquire basic rules of the language and its use| and a basic vocabulary of about 1200 words. In addition| students learn two scripts: Devanagari script for Hindi in Fall and Nastaliq script for Urdu in Spring. Authentic and simulated video materials are used to bring the South Asian culture live to the classroom. Class activities include watching videos| singing| role-playing| language games and group work.   
INTERMEDIATE HINDI,SARS-212,/coursehistories/1012,In Intermediate Hindi the student continues to develop the four language skills| with an emphasis on real-life situations--through hearing and practicing conversation on everyday topics| reading a variety of authentic texts ranging from advertisements to short stories| watching segments of current films| and carrying out short research projects using Hindi sources. There is a strong emphasis on vocabulary development and on using contextually appropriate styles of spoken and written Hindi.   This course presupposes a knowledge of oral and literacy skills covered in Beginning Hindi. In order to get a passing grade at the end of two semesters| students enrolled in SARS 212 must achieve a level of Intermediate-Mid in all four skills (speaking| listening| reading| and writing). This fulfills the undergraduate language requirement. Students enrolled in SARS 512 must demonstrate a level of Intermediate-High in at least one skill| and Intermediate-Mid in the other three.   
ADVANCED HINDI,SARS-214,/coursehistories/1013,Advanced Hindi aims at systematically developing higher level linguistic functions and cultural nuances. Students learn to describe| narrate and support opinions in informal and formal styles. The objective of the course is to promote a meaningful interaction with written literature and with native speakers in a socially acceptable manner in a variety of simple and complicated situations. A variety of authentic materials are used| such as short stories| plays| newspapers| magazines| videos| television and radio broadcasts| and interviews. Every semester the course materials and foci vary depending on the needs and interests of students in the class.   
ACCELERATED HINDI I,SARS-216,/coursehistories/1014,This is a fast paced course for learners who have some degree of listening and speaking skills in Hindi| but have minimal or no literacy skills. In the Fall semester students acquire basic reading and writing skills and advance their speaking and listening skills to be able to communicate on everyday personal and social topics in Hindi. Grammatical accuracy and sociocultural appropriateness are emphasized throughout the course. In the Spring semester| students continue to advance all the linguistic skills (speaking| listening| reading and writing) and functions (narration| description| supporting opinion) with a special focus on reading and writing. Students develop formal vocabulary through authentic oral and written input rich in content and culture.   
MODERN SHORT STORIES,SARS-220,/coursehistories/1015,
BEGINNING TAMIL,SARS-230,/coursehistories/1016,This course introduces students to colloquial Tamil and formal written Tamil. A balance between production skills| viz. writing and speaking| and comprehension skills| viz. reading and listening| will be maintained throughoutthe course. Reading materials will introduce students to customs and habits of the Tamil speakers in Tamil Nadu| Sri Lanka| Malaysia| and Singapore. Lessons in the class will be based on a set of Tamil learning software made available at the MMETS Server. This software will be customized to the needs of students.   
INTERMEDIATE TAMIL,SARS-232,/coursehistories/1017,This course develops the skills obtained either from the Beginning Tamil course or from students' prior exposure to Tamil. The emphasis will be on using the language in actual environments both in spoken medium and in written medium. Multimedia materials such as audio and video facilities will be used extensively to provide students an exposure to the Tamil culture and customs. Besides improving their speech and writing| students will also be introduced gradually to Tamil literature| which has two thousand years of literary history. The learning process in this course will be facilitated by appropriate software equipped with multimedia facilities.   
BEGINNING BENGALI,SARS-240,/coursehistories/1018,This course introduces students to colloquial Bengali. It gives equal emphasis to each of the four skills| reading| writing| listening| and speaking. Language will be studied in the context of socio-cultural aspects of West Bengal and Bangladesh. Besides lessons from the text| a major portion of the syllabus will be based on topics drawn from films| cultural events| festivals| food| and religion.   
INTERMEDIATE BENGALI,SARS-242,/coursehistories/1019,This course develops the students' prior knowledge of Bengali. An attempt is made to gear the syllabus to meet the specific needs of students. The focus of the course is to develop the oral and aural skills of the learner as well as improve writing skills and reading strategies. Emphasis is also laid on increasing the sociolinguistic and strategic competence of the learners so that they will be able to function in the target culture. Besides discussions on various aspects of Bengali life| students read some short literary texts in the original Bengali version.   
BEGINNING GUJARATI,SARS-250,/coursehistories/1020,During the first year of Gujarati| major emphasis is placed on acquiring phonetics| grammatical patterns| and basic vocabulary. These goals are accomplished through guided drills and conversations accompanied by formal instruction on Gujarati grammar. From the outset| students are also taught the Gujarati writing system| which is used for all materials. By the end of the first year of instruction| student should be able to carry on coherent conversations on selected topics| read simple texts and compose short pieces in Gujarati.   
INTERMEDIATE GUJARATI,SARS-252,/coursehistories/1021,During the second year of Gujarati| students are introduced to progressively more difficult reading selections| along with additional instructions in the formal grammar of the language. To maintain and develop oral and aural command of the language| readings are discussed in Gujarati. To develop their writing abilities| students are also expected to compose short essays on their readings.   
BEGINNING MALAYALAM,SARS-270,/coursehistories/1022,This course is designed to develop skills in reading| writing| and speaking. It will focus on the alphabet| basic vocabulary| nouns (cases| gender and number)| verbs and their basic tenses| numerals| rules of joining words| adjectives| adverbs| and sentence structure. Guided conversation will be a part of every class. Students will receive considerable training in speaking and writing their own sentences and paragraphs.   
INTERMEDIATE MALAYALAM,SARS-272,/coursehistories/1023,This course is designed to further the language skills learned in Elementary Malayalam. Direct and indirect speech| passive voice| postpositions| and rules of joining words| will be included. Reading and discussion of texts from current Malayalam literature (essays| narration| short stories| and poems) will be a major portion of the course.   
BEGINNING PANJABI,SARS-280,/coursehistories/1024,This course emphasizes speaking and reading skills in Punjabi. Upon completion of this course| students should be able to interact meaningfully and in a socially acceptable manner in a variety of simple situations involving everyday conversational topics. Further| students should be able to read and understand the main idea and most details of simple connected texts. This course will utilize authentic printed| audio| and video materials and will provide opportunities for natural communication both within and outside the the classroom.   
INTERMEDIATE PANJABI,SARS-282,/coursehistories/1025,This course is designed as a continuation of Beginning Punjabi| but can also be taken by anyone who can demonstrate a similar level in proficiency of the language. The course objectives are to expand the mastery of sentence patterns and augment vocabulary and its usage through intensive grammar review and comprehension exercises. A special emphasis will also be placed on greater cultural awareness. Upon completion of this course students should be able to interact socially with added confidence and greater expressiveness. Students should also experience a great improvement in their comprehension of the spoken and written language.   
INTENSIVE BEGIN PASHTU,SARS-291,/coursehistories/1026,
