NAME,ALIAS,PATH,DESCRIPTION
ANTH & THE MODERN WORLD: AFGHANISTAN & ISLAMISM,ANTH-100,/coursehistories/1195,This course provides an introduction to the society| culture and history of ancient Egypt. The objective of the course is to provide an understanding of the characteristics of the civilization of ancient Egypt and how that ancient society succeeded as one of the most successful and long-lived civilizations in world history.   
DEVELOP DEBATE IN INDIA,ANTH-137,/coursehistories/2962,The Visual Diary| "Self as Subject"| uses photography and words to explore and describe the identity of a person and the relationships formed with others and the world around them. By understanding the meaning of symbols| and using journals| family history and collective consciousness| the student will see how to better represent feelings and emotions| by breaking through facades. While autobiographical photography uses the self as subject| the actual form it takes is varied and open.   
ART OF ASIA:INDIAS.EAST,ARTH-104,/coursehistories/1665,This course provides a study of the cultures of Ireland| England| Scotland| and Wales from the perspectives of anthropology/ethnology| literature| and popular culture. Topics include contemporary re-inventions of the Celtic and Anglo-Saxon past; national identity--troubles on the borders; post-colonialism; and the world-wide Irish diaspora (especially to North America| England| and Australia). Among other issues| we will explore problems of language loss| retention| and revival; the theme of exile and the experience of immigration in memoirs| literature| and folksong; and the marketing of culture for the tourist trade.   
TOPICS IN LIT & SOCIETY: The Politics of Form in Asian American Literature,ENGL-393,/coursehistories/433,This course explores an aspect of Postcolonial literature intensively; specific course topics vary from year to year.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
HEALTH ENVRNMNTS IN ASIA,HIST-387,/coursehistories/3119,Examines the emergence and development of the scientific world view| from the Renaissance to the end of the 20th century. Explores the history of scientific ideas| the social contexts which gave rise to them| and their social and human implications. Sample topics include: Copernican revolution; Galileo| science and the Church; Newton and the mechanical worldview; Enlightenment and Romantic science; Lavoisier| industrialization and the rise of modern chemistry; Darwin; Darwinism and evolution; atomic physics| the bomb and its aftermath; the emergence of modern genetics; the DNA revolution; computers on the information age; and science and the human future.   
INTRO TO HINDUISM,RELS-163,/coursehistories/2104,This course examines the dynamics of political and economic change in twentieth century Latin America| with the goal of achieving an understanding of contemporary politics in the region. We will analyze topics such as the incorporation of the region to the international economy and the consolidation of oligarchic states (1880s to 1930s)| corporatism| populism| and elict pacts (1930s and 1940s)| social revolution| democratic breakdown| and military rule (1960s and 1970s)| transitions to democracy and human rights advocacy (1980s)| makret-oriented reforms (1990s)| and the turn to the left of current governments (2000s). The course will draw primarily from the experiences of Argentina| Brazil| Colombia| Chile and Mexico. No prior knowledge of the region is required.   
INTRO BUDDHISM,RELS-173,/coursehistories/979,This course seeks to introduce students to the diversity of doctrines held and practices performed by Buddhists in Asia. By focusing on how specific beliefs and practices are tied to particular locations and particular times| we will be able to explore in detail the religious institutions| artistic| architectural| and musical traditions| textual production and legal and doctrinal developments of Buddhism over time and within its socio-historical context. Religion is never divorced from its place and its time. Furthermore| by geographically and historically grounding the study of these religions we will be able to examine how their individual ethic| cosmological and soteriological systems effect local history| economics| politics| and material culture. We will concentrate first on the person of the Budda| his many biographies and how he has been followed and worshipped in a variety of ways from Lhasa| Tibet to Phrae| Thailand. From there we touch on the foundational techings of the Buddha with an eye to how they have evolved and transformed over time. Finally| we focus on the practice of Buddhist ritual| magic and ethics in monasteries and among aly communities in Asia and even in the West. This section will confront the way Buddhists have thought of issues such as "Just-War|" Women's Rights and Abortion.   While no one quarter course could provide a detailed presentation of the beliefs and practices of Buddhism| my hope is that we will be able to look closely at certain aspects of these religions by focusing on how they are practiced in places like Nara| Japan or Vientianne| Laos.   
INDIA: ANCIENT & MODERN,ANTH-024,/coursehistories/2459,This course draws on fictional| cinematic and mass-media representation of terrorism based on Russian as well as Western examples. We study how the magnitude of the political impact of terrorism relates to the historically changing means of production of its striking iconology. The course exposes students to major modes of imagining| narrating| showing| reenacting terrorism and forging its mystique. We examine the emergence of organized terrorism in nineteenth-century Russia as an original political-cultural phenomenon. We trace its rapid expansion and influence on the public life in the West| and on the Balkans.   Historical| political| and aesthetic approaches converge in a discussion of several case studies related to intellectual and spiritual movements such as nihilism| anarchism| populism| religious fundamentalism| and others. The public appearance of the terrorist activism and its major attributes are viewed as powerful intensifiers of its political effect: self-denial| ascetic aura| and stratagem of mystification| underground mentality| and martyrdom. The pedagogical goal of this course is to promote and cultivate critical view and analytical skills that will enable students to deal with different historical as well as cultural modes of (self-)representation of terrorism. Students are expected to learn and be able to deal with a large body of historical-factual and creative-interpreted information.   
ARCHAEOLOGY OF SO ASIA,ANTH-202,/coursehistories/1638,Students work directly from the nude model and focus on its articulation through an understanding of anatomical structure and function. Students will investigate a broad variety of drawing techniques and materials. The model will be used as the sole element in composition and as a contextualized element.   
UNDERGRADUATE SEMINAR: Court Artist in Renaissance Italy 1430-1530,ARTH-301,/coursehistories/164,Topic varies.   
