NAME,ALIAS,PATH,DESCRIPTION
INTERMEDIATE POLISH II,SLAV-504,/coursehistories/1031,This course is a continuation of the SLAV503 680. This is a second-semester intermediate -level language course that emphasizes the development of the four basic skills (reading| writing| listening| and speaking) within a culturally based context. Class time will focus on communicative activities that combine grammatical concepts| relevant vocabulary| and cultural themes. Students will learn through classroom exercises based on a modern textbook: Hurra Po Polsku 2| completion of individual and group assignments and work with various audio and video materials. Major course goals include: the acquisition of intermediate-level vocabulary| the controlled use of the Polish cases; the aspect of the verbs| the development of writing skills.   
INTERMEDIATE CZECH II,SLAV-533,/coursehistories/1032,Continuation of SLAV 532   
Killing Time Killing the Reader Killing the Author: Old Habits New Media,SLAV-106,/coursehistories/1505,This is an advanced course in macroeconomics. A relatively simple| but well defined and internally consistent model of the U.S. economy is set up and used to study how output is generated given the initial resources| how output is divided between consumption and addition to capital stock| and how this process accumulates over time. The role of prices including the rate of interest in this process is also reviewed. Finally| some reasons why such a process does not necessarily result in efficient results with full employment of resources are reviewed| and monetary and fiscal policies needed to improve the performance of the economy under such circumstances are discussed.   
ELEMENTARY POLISH II,SLAV-502,/coursehistories/1506,Students prepare an honors thesis in economics over the academic year| supervised by a faculty member of their choice. In both semesters students present their work in progress to the class. Any student intending to do empirical work in the thesis should have COMPLETED ECON 103 and 104.   
ELEMENTARY CZECH II,SLAV-531,/coursehistories/1507,This course is the companion lab for ESE 216. It covers experiments involving transformers| diodes| and transistors. DC and small signal model amplifiers| rectification| and non-linear op amp circuits.   
ELEMENTARY POLISH I,SLAV-501,/coursehistories/2127,Introduction to the basic topics of psychology| including learning| motivation| cognition| development| abnormal| physiological| social| and personality.   
ELEMENTARY CZECH I,SLAV-530,/coursehistories/2128,This course focuses on evaluating the experiments that have sought to establish links between brain structure (the activity of specific brain circuits) and behavioral function (the control of particular motivated and emotional behaviors). Students are exposed to concepts from regulatory physiology| systems neuroscience| pharmacology| and endocrinology and read textbook as well as original source materials. The course focuses on the following behaviors: feeding| sex| fear| anxiety| the appetite for salt| and food aversion. The course also considers the neurochemical control of responses with an eye towards evaluating the development of drug treatments for: obesity| anorexia/cachexia| vomiting| sexual dysfunction| anxiety disorders| and depression.   
INTERMEDIATE POLISH I,SLAV-503,/coursehistories/2424,This course examines limitations in psychosocial functioning of individuals and families that are due to psychiatric disorders. Content focuses on the biobehavioral basis of psychiatric disorders| as well as the psychosocial| developmental| and physiological needs of individuals and their families. Care of individuals having acute episodes and chronic problems are discussed.   
INTERMEDIATE CZECH I,SLAV-532,/coursehistories/2425,The relationships among nursing theory| research and practice will be examined. An emphasis will be placed on research competencies for advanced practice nurses (APNs)| including understanding nursing research methods and strategies in order to evaluate research results for applicability to practice and to design projects for evaluating outcomes of practice. An understanding of statistical techniques will be integrated into the course and build on the required undergraduate statistics course. Published nursing research studies will be evaluated for scientific merit and clinical feasibility| with a focus on evidence-based practice.   
ELEMENTARY UKRAINIAN,SLAV-590,/coursehistories/2683,Advanced research in Emergency Medicine.   
INTERMED UKRAINIAN I,SLAV-592,/coursehistories/2684,The discovery of penicillin ushered in a new medical era - the antibiotic era - where patients no longer died from simple infections. We are now in a seemingly never-ending cycle of new antibiotics. However| the pipeline for antibiotics has slowed and we are rapidly entering the superbug era. We will use antibiotic resistance as a lens through which to understand public health decisions and their implications. At the end of the course| students should understand how public health decisions are made with the help of different stakeholders| which in this case include the government and healthcare system| the food industry and pharmaceutical companies| doctors and veterinarians| individuals and their communities.   
SLAVIC CIVILIZATION,SLAV-100,/coursehistories/3243,This course explores the role of mergers and acquisitions and alternative methods of corporate development in advancing the strategies of operating business. Emphasis is on the way companies use acquisitions to alter business mixes; seize opportunities in new products| technologies and markets; enhance competitive positioning; adjust to changing economics| and promote value-creating growth. Although the course will emphasize strategic acquisitions| it also will explore leveraged buy-outs and hostile financial acquisitions as well as their influence on corporate buyers.   
Poets Priests and Politicians: An Intellectual History of Modern Ukraine,SLAV-220,/coursehistories/3244,This course offers students a unique opportunity to develop consulting skills and entrepreneurial expertise by working as consultants to thriving entrepreneurial ventures in the Philadelphia area. This capstone course combines both fieldwork and class work and allows students to apply knowledge and skills acquired through other course work to real world issues that must be addressed by operating companies. An understanding of characteristics producing rapid entrepreneurial growth and skills related to effective communications and management of a business relationship are emphasized.   
INTERMED UKRAINIAN II,SLAV-593,/coursehistories/3245,This course is directed toward the attainment of three interdependent objectives: 1)to develop an understanding of strategy implementation in complex organizations| 2) to understand how organizational planning| design| control and human resource decisions are interdependent and critical to successful implementation| and 3) to develop a sensitivity to the "realities" of strategy implementation in "real-world" organizations. Consideration of theories of implemenation is not sufficient; it is necessary also to see strategy implementation as a process of that change that| to be successful| must take a number of factors into consideration. These include how decisions affect individuals in organizations and their consequent commitment to implementation efforts. To meet these objectives| emphasis will be on lectures| class discussions| and case studies as the instructional techniques.   
RUSS & EAST EURO FILM,RUSS-165,/coursehistories/2915,This course explores an aspect of Film History intensively; specific course topics vary from year to year.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
Literary and Cultural History of Medieval Rus',RUSS-234,/coursehistories/3238,MGMT 230 integrates the material introduced in business fundamental courses andapplies it to the design and evaluation of new ventures. The purpose of this course is to explore the many dimensions of new venture creation and growth and to foster innovation and new business formations in independent and corporate settings. The course addresses both a theoretical perspective on venture initiation and the application of writing an actual business plan.   
In Defiance of Babel: the Quest for a Universal Language,SLAV-526,/coursehistories/3505,Sociology provides a unique way to look at human behavior and social interaction. Sociology is the systematic study of the groups and societies in which people live. In this introductory course| we analyze how social structures and cultures are created| maintained| and changed| and how they affect lives of individuals. In this course| we will reconsider our taken for granted world and examine what theory and research can tell us about our social world.   
HISTORY LIT THEORY,COML-501,/coursehistories/2253,Spanish 130 is a first-semester intermediate-level language course that emphasizes the development of the four basic skills (reading| writing| listening and speaking skills) within a culturally based context. Class time will focus on communicative activities that combine grammatical concepts| relevant vocabulary| and cultural themes. Students will participate in pair| small-group and whole-class activities to practice linguistics skills in meaningful contexts. Major course goals include: the acquisition of intermediate-level vocabulary| the controlled use of the past tense| and the development of writing skills at a paragraph level with transitions.   
Central European Civilization - Penn-in-Prague,SLAV-109,/coursehistories/3582,This course is designed to integrate the fundamentals of systems design using the capabilities of modern computer aided design tools. The course focus is on the use of the computer in systems design for both civil engineering systems and systems science and engineering students. The course is project oriented| entails considerable use of the computer| and centers on 2d and 3d graphics| and on the solution of optimization problems.   
ELEMENTARY UKRAINIAN II,SLAV-591,/coursehistories/3688,
ADVANCED UKRAINIAN II,SLAV-595,/coursehistories/4417,Examination of the marketing aspects of products or services exclusive of theirpromotion| pricing| or distribution. Focuses on decisions regarding product introduction| positioning| improvements| and deletion| and the tools available for making these decisions. Covers both industrial and consumer products and services.   
POLISH/HERITAGE SPEAK I,SLAV-505,/coursehistories/4670,This writing seminar will engage students in exploring the place that Americans of Asian Indian heritage occupy in the "melting pot" or "salad bowl" of American society. We will examine the lives that immigrants from India have lived and are living in America| but we will focus more specifically on the identity which the successor generation| born and/or raised in America is developing. Topics to be discussed include definitions of ethnicity| the trauma of emigration| changes in family structure| marriage| intergenerational issues| cultural maintenance and adaptation| and racism.   
ADVANCED UKRAINIAN I,SLAV-594,/coursehistories/4671,An introduction to the tabla| the premier drum of north Indian and Pakistani classical music traditions.   
CINEMA OF THE BALKANS,CINE-290,/coursehistories/4532,This course provides a broad-based introduction to the management of information technology focusing on three interrelated themes: technology| organization| and strategy. The goal of this course is to equip students with the knowledge and tools to utilize information systems to pursue a firm's strategic and organizational goals. The course has no prerequisites other than a general interest in the applications of information technology.   
POLISH/HERITAGE SPEAK II,SLAV-506,/coursehistories/5046,General principles of biology that have been established by studies of microbes| animals| and plants and the viruses of these organisms will be covered. Emphasis will be on the basic chemistry of life| cell biology| molecular biology| and genetics. The study of developmental pathways and evolutionary trends in life cycles will be explored using plants as model organisms.   Biology Majors and Pre-Medical students should take either BIOL 101 or 121. BIOL 101 is the companion course to BIOL 102| may be taken before or after BIOL 102.   Lab fee $150.   
TOPICS IN CINEMA STUDIES: Masters of European Cinema: Film Poetics,CINE-392,/coursehistories/4187,The big bang| origin of elements| stars| Earth| continents and mountains.   
SERBO-CROATIAN I,SLAV-390,/coursehistories/6318,The art| archaeology and history of athletics in ancient Greece. Among the topics to be included are: famous Greek athletetes| female athletes| the ancient Olympic Games and other athletic festivals| ancient athletic facilities and equipment| the excavation of ancient athletic sites and practical athletics.   
