NAME,ALIAS,PATH,DESCRIPTION
ELEMENTARY SPANISH,SPAN-110,/coursehistories/1065,Spanish 110 is a first-semester elementary language course designed for students who have not previously studied Spanish. This course emphasizes the development of foundational reading| writing| listening| and speaking skills while exploring the rich cultural mosaic of the Spanish-speaking world. Students will participate in pair| small-group and whole-class activities that focus on meaningful and accurate communication skills in the target language.   Students who have previously studied Spanish must take the online placement examination.   
SPAN FOR MED PROF ELEM 1,SPAN-115,/coursehistories/1066,Spanish 115 is a first-semester elementary medical Spanish language course and the first in the Spanish for the Medical Professions sequence. It is designed for students with no prior coursework in Spanish. This course teaches beginning students the fundamentals of practical Spanish with an emphasis on medical situations and basic medical terminology. In this course| particular attention will be given to developing speaking and listening skills| as well as cultural awareness. It incorporates activities| vocabulary| and readings of particular interest to healthcare practitioners| while adhering to the goals and scope of Spanish 110| the first-semester Spanish language course.   Students who have previously studied Spanish must take the online placement examination.   
ELEMENTARY SPANISH,SPAN-120,/coursehistories/1067,The continuation of Spanish 110| Spanish 120 is a second-semester elementary language course. See the description of Spanish 110.   
ELEMENTARY SPANISH,SPAN-121,/coursehistories/1068,Spanish 121 is designed for students who have some prior experience in Spanish. This course provides a quick-paced review of material normally covered in a first-semester Spanish course and then proceeds to introduce new material so students will be prepared to take Spanish 130 during the subsequent semester.   As other Spanish courses| Spanish 121 emphasizes the development of foundational reading| writing| listening| and speaking skills while exploring the rich cultural mosaic of the Spanish-speaking world. Students will participate in pair| small-group and whole-class activities that focus on meaningful and accurate communication skills in the target language.   
SPAN FOR MED PROF ELEM 2,SPAN-125,/coursehistories/1069,The continuation of Spanish 115| Spanish 125 is a second-semester elementary medical Spanish language course. See the description of Spanish 115.   
INTERMEDIATE SPANISH,SPAN-130,/coursehistories/1070,Spanish 130 is a first-semester intermediate-level language course that emphasizes the development of the four basic skills (reading| writing| listening and speaking skills) within a culturally based context. Class time will focus on communicative activities that combine grammatical concepts| relevant vocabulary| and cultural themes. Students will participate in pair| small-group and whole-class activities to practice linguistics skills in meaningful contexts. Major course goals include: the acquisition of intermediate-level vocabulary| the controlled use of the past tense| and the development of writing skills at a paragraph level with transitions.   
SPAN FOR MED PROF INT I,SPAN-135,/coursehistories/1071,Spanish 135 is a first-semester intermediate-level medical Spanish language course that emphasizes the development of the four basic skills (reading| writing| listening| and speaking)| and the acquisition of medical terminology. Students will be expected to participate in classroom activities such as role-plays based on typical office and emergency procedures in order to develop meaningful and accurate communication skills in the target language. Students will also review and acquire forms and structures useful both inside and outside the medical field.   
INTERMEDIATE SPANISH,SPAN-140,/coursehistories/1072,Spanish 140| the continuation of Spanish 130| is a fourth-semester language course that offers students the opportunity to acquire communicative skills (reading| writing| listening and speaking) while developing their awareness and appreciation of the Spanish-speaking world. Topics studied may include the environment| the arts| social relations| and conflict and violence.   
SPAN FOR MED PROF INT 2,SPAN-145,/coursehistories/1073,The continuation of Spanish 135| Spanish 145 is a second-semester intermediate-level medical Spanish language course. See the description of Spanish 135.   This course satisfies the language requirement in Spanish.   
SPANISH CONVERSATION,SPAN-180,/coursehistories/1074,Must be a resident of the Modern Language College House.   
ADVANCED SPANISH,SPAN-202,/coursehistories/1075,The purpose of this course is twofold: (a) to develop students' communicative abilities in Spanish| that is| speaking| listening| reading and writing| and (b) to increase their awareness and understanding of Hispanic cultures and societies. Homework and classroom activities are designed to help students build their oral proficiency| expand and perfect their knowledge of vocabulary and grammatical structures| improve their reading and writing skills| and develop their critical thinking abilities. The material for this class includes short stories| newspaper articles| poems| songs| cartoons| video clips and a novel| such as Cesar Aira's La Villa. At the completion of this course students will feel confident discussing and debating a variety of contemporary issues (cultural and religious practices| family relationships| gender stereotypes| political events| immigration to the USA| etc.).   
BUSINESS SPANISH I,SPAN-208,/coursehistories/1076,Spanish for Business I provides advanced-level language students with technical vocabulary and communicative skills covering business concepts as they apply to the corporate dynamics of the Spanish-speaking world| with a special emphasis on Latin America. Through readings| presentations| discussions| and video materials| we shall analyze those cultural aspects that characterize the business environment in the region as well as focus on economies and markets in light of their history| politics| resources and pressing international concerns.   
ADV SPANISH SYNTAX,SPAN-212,/coursehistories/1077,Spanish 212 is an advanced grammar course that emphasizes the acquisition of a solid knowledge of those major points of Spanish grammar. Through discussion and correction of assigned exercises| analysis of authentic readings| and contrastive study of Spanish and English syntax and lexicon| students will develop an awareness of the norms of standard Spanish with the aim of incorporating these features into their own oral and written linguistic production.   
SP FOR PROFESSIONS I,SPAN-215,/coursehistories/1078,Spanish for the Professions is designed to provide advanced-level language students with a wide-ranging technical vocabulary and the enhancement of solid communicative skills within the cultural context of several developing Latin American countries. Focusing on topics such as politics| economy| society| health| environment| education| science and technology| the class will explore the realities and underlying challenges facing Latin America. Through essays| papers| articles| research| discussions| case studies| and videotapes| we shall take an in-depth look at the dynamics of Latin American societies. The course will focus on--but not be restricted to--Mexico| Cuba and Argentina.   
TEXTS AND CONTEXTS,SPAN-219,/coursehistories/1079,The primary aim of this course is to develop students' knowledge of the geographical| historical and cultural contexts of the Spanish-speaking world. At the same time that they are introduced to research techniques and materials available in Spanish| students strengthen their language skills through reading| oral presentations| video viewing| and regular writing assignments. The course is designed to give students a broad understanding of Hispanic culture that will prepare them for upper-level course work.   
HIST OF SPANISH LANGUAGE,SPAN-319,/coursehistories/1080,A survey treatment of the development of Latin to modern Spanish| with emphasis on relations between external history and the development of grammatical structure and vocabulary| and major sound shifts. Lectures and discussions of reading.   
THE MEDIEV IBERIAN TEXT: Jews Moors & Indians in a Chrstn Empr-Ethnic Conflict in Erly Hisp Cltr,SPAN-337,/coursehistories/1081,Topics vary. See the Romance Languages Department's website at http://ccat.sas.upenn.edu/roml for a description of the current offerings.   
SATIRE IN SPAIN GLDN AGE,SPAN-357,/coursehistories/1082,Taking as its point of departure definitions of escapism and the fantastic| this course explores these two enduring literary environments in a variety of Golden Age writers such as Garcilaso| Quevedo| Gongora| Maria de Zayas| Mariana de Carvajal and Sor Juana.   
STUDIES IN SPAN CULTURE: INTRO TO SPAN SCREENWRTG,SPAN-386,/coursehistories/1083,This course covers topics in contemporary Spanish Culture| its specific emphasis varying with the instructor.   
INTRO SPAN AMER LIT: LITERATURA E HISTORIA,SPAN-390,/coursehistories/1084,Topics vary. See the Romance Languages Department's website at http://ccat.sas.upenn.edu/roml for a description of the current offerings.   
SPAN AMER POETRY: JORGE L BORGES IN CONTXT,SPAN-391,/coursehistories/1085,Topics vary. See the Romance Languages Department's website at http://ccat.sas.upenn.edu/roml for a description of the current offerings.   
SPANISH AMERICAN FICTION: LATN AMER WOMEN WRITERS,SPAN-394,/coursehistories/1086,Topics vary. See the Romance Languages Department's website at http://ccat.sas.upenn.edu/roml for a description of the current offerings.   
STUDIES IN SPAN AM CULT.: MONSTRUOS Y MAQUINAS,SPAN-396,/coursehistories/1087,Topics vary. See the Romance Languages Department's website at http://ccat.sas.upenn.edu/roml for a description of the current offerings.   
CONFERENCE FOR MAJORS,SPAN-401,/coursehistories/1088,
ACCEL INTERMEDIATE SPAN,SPAN-134,/coursehistories/1520,Continuation of EEUR 121   
DON QUIJOTE,SPAN-348,/coursehistories/1521,Continuation of EEUR123.   
SPAN LIT OF GOLDEN AGE: Mystics Demoniacs and Virtual Realities,SPAN-350,/coursehistories/1522,Usually housed in the Program for Comparative Literature| this seminar engages questions of literary genre| including its function as a mediating presence for thinking about audience| literary history| and the marketplace. The theme of the seminar will chnage with the instructor. Customarily this course will be affiliated with Communication within the Curriculum (CWIC)| and so will have a speaking and presentation component to it.   
POETS / URBAN LANDSCAPE: Poets in an Urban Landscape,SPAN-381,/coursehistories/1523,Usually housed in the program for Comparative Literature| this seminar engages questions of method and interdisciplinarity. It will therefore cover not only a range of approaches to literary texts| but also explore how the methodologies of other disciplines migth be brought efficaciously to bear on the objects of literary study. The theme of the seminar will change with the instructor. Customarily this course will be affiliated with Communication within the Curriculum (CWIC)| and so will have a speaking and presentation component to it.   
COLONIAL SPAN AM LITERAT: Body and Crossroads: Cultural Corporality and Encounters in the NewWorld,SPAN-392,/coursehistories/1524,
HIST SPAN AMER CULTURE: Discourse of Latin American Liberalism,SPAN-397,/coursehistories/1525,
ELEM SPAN: ACCELERATED,SPAN-112,/coursehistories/2138,
EL ESPANOL EN EL MUNDO,SPAN-225,/coursehistories/2139,
SPAN PHONETICS & MORPH,SPAN-317,/coursehistories/2140,In this research course| students will begin by first replicating earlier experiments to measure human visual memory capacity. After several class discussions to discuss ideas| each student will design and conduct their own experiment to further investigate visual and/or familiarity memory.   
CONTEMP SPANISH LIT: Federico Garcia Lorca and his Contemporaries,SPAN-380,/coursehistories/2141,Students will conduct research in elementary learning processes. Initially the class will meet as a whole to conduct some present experiments which provide an initial basis for a short report. Then students will work in small groups to formulate| conduct| and write up projects of their own.   
CONFERENCE COURSE/MAJORS,SPAN-400,/coursehistories/2142,Brain imaging| particularly functional magnetic resonance imaging (fMRI)| is a promising state-of-the-art tool used to study specialized human brain regions that are involved in cognitive functions. In the first half of the course| we will review the basics of the fMRI technique| current experimental design and analysis strategies| and discuss the strengths and weaknesses of neuroimaging as a tool for cognitive neuroscientists. In the second half of the course| students will form into groups and propose a new experiment. As a team| you will program the experiment| acquire the fMRI data| and analyze your data. Each student will submit a paper describing the project and each group will give a presentation of their research.   
INTENSIVE CATALAN: CATALAN LANG & CULTURE,SPAN-230,/coursehistories/2430,Students integrate the various aspects of the oncology advanced practice nurse's role with terminally and chronically-ill patients| family members| and cancer survivors. Emphasis is on the implementation of advanced clinical decision making knowledge and skills to address and resolve complex clinical problems in a variety of settings.   
SPAN & ROMANCE LANGUAGES,SPAN-325,/coursehistories/2431,This course examines specific pathophysiological mechanisms which may result in body system failure. Strategies for clinical management are examined based on a synthesis of biological| behavioral| medical| pharmacological| and nursing knowledge. Theoretical analysis of the roles of the advanced practitioner with critically ill patients is emphasized.   
ENLIGHTENMENT: Modern Spain: The Enlightenment and the Failure of the National Project,SPAN-360,/coursehistories/2432,This clinical course is designed with emphasis on continued development of advanced clinical skills in the care of critically ill children. Emphasis is placed on integration of the roles of the advanced practitioner. This course adds to the student's previous knowledge and skills in advanced practice and prepares them to manage care of critically ill children.   
MAJ WORKS SPAN/LTAM LIT,SPAN-250,/coursehistories/2688,Intensive exposure to current issues and solutions in contemporary human interactions with the environment. Global in scope| but focused on case histories. Emphasis on providing biological and sociological background for a given major environment-human interaction| and state-of-the-art suggested solutions.   
HISPANIC THEATER: Theater of Liberation and Democracy,SPAN-395,/coursehistories/2689,An introduction to protein structure| enzyme kinetics| mechanism of enzyme action and allosteric regulation of enzyme activity; introduction to cell structure and function including membrane structure| membrane receptors and signal transduction| motility| and the cell cycle.   
El Cid: Anatomy of a National Hero,SPAN-330,/coursehistories/2929,Vector Analysis: space curves| Frenet - Serret formulae| vector theorems| reciprocal systems| co and contra variant components| orthogonal curvilinear systems. Matrix theory: Gauss-Jordan elimination| eigen values and eigen vectors| quadratic and canonical forms| vector spaces| linear independence| Triangle and Schwarz inequalities| n-tuple space.Variational calculus: Euler-Lagrange equation| Finite elements| Weak formulation| Galerkin technique| FEMLAB. Tensors: Einstein summation| tensors of arbitrary order| dyads and polyads| outer and inner products| quotient law| metric tensor| Euclidean and Riemannian spaces| physical components| covariant differentiation| detailed evaluation of Christoffel symbols| Ricci's theorem| intrinsic differentiation| generalized acceleration| Geodesics.   
SPAN NOVEL/17TH CENTURY: CERVANTES,SPAN-354,/coursehistories/3248,The nature of marketing channels as sets of relationships; problems of channel operations and interactions; processes through which channels generate and adapt to change; measurement of channel effectiveness.   
SPANISH ROMANTICISM: ROMANTIC DRAMA OF SPAIN,SPAN-373,/coursehistories/3249,
EARLY HISP LIT & CULTURE: SPANISH SHORT STORY,SPAN-221,/coursehistories/3510,This course will introduce students to sociological approaches to politics| broadly understood. The class will begin by discussing the nature of power and authority| the rise of the nation-state and the significance of nationalism. Later topics will include social movements| urban political regimes| globalization and transnationalism| citizenship| revolutions| and the rise (and fall?) of welfare states.   
STUDIES IN LADINO: BEG JUDEO-SPANISH I,SPAN-231,/coursehistories/3511,This is a critical writing seminar. It fulfills the writing requirement for all undergraduates. As a discipline-based writing seminar| the course introduces students to a topic within its discipline but throughout emphasizes the development of critical thinking| analytical| and writing skills. For current listings and descriptions| visit the Critical Writing Program's website at www.writing.upenn.edu/critical.   
INTRO TO SPANISH FILM,SPAN-285,/coursehistories/3512,The American Dream highlights opportunity for individuals to achieve success based on their own ability and initiative. How well does our society live up to this ideal? Who gets ahead| and who falls behind? Topics include factors that affect life chances in contemporary society: education| social class| race| ethnicity and gender.   
SPAIN AT WAR 1936-1939,SPAN-228,/coursehistories/3689,
IMAGIN REPR & REALITY: Representing Medieval Florence: Space Sound & Text in the Age of Dante,COLL-004,/coursehistories/286,Courses in this category will study the representation and transformation of natural and cultural reality by the human imagination in literature| fine art| music and other forms of human expression. The courses will study a selection of works in various literary| artistic and musical media from antiquity to modernity in their aesthetic and historical contexts. Special attention will be given to connections among the different arts within particular cultures as well as to similarities and differences in the forms of representation and expression developed in different societies| cultures and religions. Clashes among aesthetic| political and religious perspectives on the works of human imagination and expression will inevitably be a theme in these courses. These courses will again depend upon participation by faculty from many disciplines.   For particular course descriptions| please see the Pilot Curriculum web site: http://www.college.upenn.edu/pilot curriculum/pccrsdescriptions.html   
Spanish Culture & Civilization - Penn-in-Alicante,SPAN-226,/coursehistories/3809,An introductory course for freshmen who do not intend to major in a physical science or engineering| covering theories of the Universe ranging from the ancient perspective to the contemporary hot big bang model| including some notions of Einstein's special and general theories of relativity. Topics will include the solar system| stars| black holes| galaxies| and the structure| origin and future of the Universe itself. Elementary algebra is used. Fulfills quantitative data analysis requirement.   
Contemporary Spain: 1868-present - Penn-in-Alicante,SPAN-227,/coursehistories/3810,A basic course for majors in astronomy| in other physical sciences| and in engineering. Fundamental knowledge of the solar system| its formation| stellar structure and evolution including black holes.   
INTRO-LATIN/AMER FILM: Mexican Film:  19th Century to the Present,SPAN-287,/coursehistories/3969,This course is the sequel to EAS 345 and focuses on the planning process for a new technology venture. Like its prerequisite| the course is designed expressly for students of engineering and applied science having a keen interest in technological innovation. Whereas EAS 345 investigates the sequential stages of engineering entrepreneurship from the initial idea through the early growth phase of a startup company| EAS 346 provides hands-on experience in developing a business plan for such a venture. Working in teams| students prepare and present a comprehensive business plan for a high-tech opportunity. The course expands on topics from EAS 345 with more in-depth attention to: industry and marketplace analysis; competitive strategies related to high-tech product/service positioning| marketing| development and operations; and preparation of sound financial plans. Effective written and verbal presentation skills are emphasized throughout the course. Ultimately| each team presents its plan to a distinguished panel of recognized enterepreneurs| investors and advisors from the high-tech industry.   
BEG JUDEO-SPANISH II,SPAN-232,/coursehistories/4137,The objective of this course is to study the major decision-making areas of managerial finance and some selected topics in financial theory. The course reviews the theory and empirical evidence related to the investment and financing policies of the firm and attempts to develop decision-making ability in these areas. This course serves as an extension of FNCE 100. Some areas of financial management not covered in FNCE 100 are covered in FNCE 203. These may include leasing| mergers and acquisitions| corporate reorganizations| financial planning and working capital management| and some other selected topics. Other areas that are covered in FNCE 100 are covered more in depth and more rigorously in FNCE 203. These include investment decision making under uncertainty| cost of capital| capital structure| pricing of selected financial instruments and corporate liabilities| and dividend policy.   
BRAZILIAN MUSIC,PRTG-240,/coursehistories/3223,Physical properties; fluid statics; Bernoulli equation; fluid kinematics; conservation laws and finite control-volume analysis; conservation laws and differential analysis; inviscid flow; The Navier-Stokes equation and some exact solutions; similitude| dimensional analysis| and modeling; flow in pipes and channels; boundary layer theory; lift and drag.   
Argentine Literature in a Cultural Context: Penn-in-Buenos Aires,SPAN-224,/coursehistories/4496,This participatory interdisciplinary seminar course examines contemporary issues in public health policy and global health. The organizing framework is social determinants of health. We consider evidence that inequalities in education| income| and occupation influence health status| and the policy dilemma that broad interventions to improve population health may increase health disparities. We critically examine whether prevention is always better than cure| and what modern medicine has to offer in terms of health. We explore the public policy process in health using the "tobacco wars" as a case example| of how politics| policy| law| commercial interests| and research intersect to affect the public's health. We examine whether global health is in a state of decline| and the extent to which failures in public health| public policy| and foreign policy have contributed to increasing threats to world health. Likewise we will examine the potential for greater integration of health into foreign policy to create global infrastructure upon which to advance health. We will examine the global health workforce and the impact of widespread global migration of health professionals on receiving and sending countries.   There are no prerequisites. The course is designed for graduate students in the social and behavioral sciences| health professions| public health| business and law. Advanced undergraduate students will be admitted with permission.   
Spanish Culture and Civilization: Penn-in-Alicante,SPAN-326,/coursehistories/4497,Individual and societal influences on the care of older adults are examined in detail within the context of an emerging health care system. Normal changes in physical and psychological health are explored in depth. Significant issues affecting care of older adults and their families at the global and national level are discussed.   
BUSINESS SPANISH II,SPAN-209,/coursehistories/4672,This course is an introduction to the repertoire and performance practices of the North Indian sitar. Fundamentals of sitar technique| composition| and improvisation are presented and practiced in class. Class lectures and discussions| audio and video material| and reading and listening assignments on selected topics supplement practice| to provide an overview of the social and historical context and the formal structures of North Indian music in general. There are no prerequisites for the course| but some experience with instrumental or vocal music is suggested. Each student is expected to put in two hours of individual practice per week| and complete reading| audio| and written assignments. The class gives a group performance at the end of the semester.   
MOD SP & HISP AM: SPANISH AND LAT AM CINE,SPAN-528,/coursehistories/4673,The course will give an overview of the rich cultural history and legacies of South Asia from the beginnings til ca. AD 1200. Highlights of South Asian religious and philsophical thought| literature and art will be considered and discussed against a background of political and social history.   
