NAME,ALIAS,PATH,DESCRIPTION
INTEGRAL METHODS,STAT-002,/coursehistories/1089,Survey course of applied statistical methods| with emphasis on experimental design and multiple linear regression. Model building concepts| applications ofthe methods| and analysis of real data using statistical software are stressed.  
INTRO BUSINESS STAT,STAT-101,/coursehistories/1090,Data summaries and descriptive statistics; introduction to a statistical computer package; Probability: distributions| expectation| variance| covariance| portfolios| central limit theorem; statistical inference of univariate data; Statistical inference for bivariate data: inference for intrinsically linear simple regression models. This course will have a business focus| but is not inappropriate for students in the college.   
INTRO BUSINESS STAT,STAT-102,/coursehistories/1091,Continuation of STAT 101. A thorough treatment of multiple regression| model selection| analysis of variance| linear logistic regression; introduction to time series. Business applications.   
LECTURE,STAT-111,/coursehistories/1092,Fundamentals of Statistics. Descriptive statistics and simple linear regression. Emphasis is on the development of statistical thinking and applications are directed towards the behavioral sciences| especially psychology| and medicine. Topics include probability| statistical inference| hypothesis testing and confidence intervals.   
PROBABILITY,STAT-430,/coursehistories/1093,Discrete and continuous sample spaces and probability; random variables| distributions| independence; expectation and generating functions; Markov chains and recurrence theory.   
MATHEMATICAL STATISTICS,STAT-431,/coursehistories/1094,Graphical displays; one- and two-sample confidence intervals; one- and two-sample hypothesis tests; one- and two-way ANOVA; simple and multiple linear least-squares regression; nonlinear regression; variable selection; logistic regression; categorical data analysis; goodness-of-fit tests. A methodology course. This course does not have business applications but has significant overlap with STAT 101 and 102.   
INT TO NONP & LOGLIN MOD,STAT-501,/coursehistories/1095,An applied graduate level course for students who have completed an undergraduate course in basic statistical methods. Covers two unrelated topics: loglinear and logit models for discrete data and nonparametric methods for nonnormal data. Emphasis is on practical methods of data analysis and their interpretation. Primarily for doctoral students in the managerial| behavioral| social and health sciences. May be taken before STAT 500 with permission of instructor.   
STATISTICS,STAT-511,/coursehistories/1096,Tests of hypotheses. Examples of normal means and variances. Neyman-Pearson lemma. Generalized likelihood ratio tests. Ordinary least squares estimation. Inference in linear models: hypothesis tests and confidence statements. Bivariate normal distribution and correlation. Analysis of variance for one- and two-way layouts. Categorical data. Generalized least squares and autocorrelated disturbances. Lagged-variable models. Simultaneous equations models and introductory topics in econometrics.   
STATISTICAL METHODS,STAT-541,/coursehistories/1097,This is a course that prepares 1st year PhD students in statistics for a research career. This is not an applied statistics course. Topics covered include: linear models and their high-dimensional geometry| statistical inference illustrated with linear models| diagnostics for linear models| bootstrap and permutation inference| principal component analysis| smoothing and cross-validation.   
INTRO BUSINESS STAT,STAT-012,/coursehistories/1526,
INTRODUCTORY STATISTICS,STAT-112,/coursehistories/1527,
STOCHASTIC PROCESSES,STAT-531,/coursehistories/1528,
DIFFERENTIAL CALCULUS,STAT-001,/coursehistories/2143,(Hunt) PSYC 362-301 is a two semester course. No students will be admitted to Dr. Hunt's course in the spring.   
INTRO BUSINESS STAT,STAT-011,/coursehistories/2144,Students will design| conduct| and report on an empirical question in social psychology. The research may involve experiments| content analysis| cross-cultural comparison| interviewing| observations| or other methods. Class discussions will help students formulate their projects and provide an opportunity for reports.   
APPLIED REG & ANALY VAR,STAT-500,/coursehistories/2145,Students will develop a hypothesis| design an experiment| carry it out| and write an analysis of the results.   
,STAT-510,/coursehistories/2146,
PROBABILITY,STAT-530,/coursehistories/2147,Genetic and environmental components of I.Q.| personality| and psychopathology. Evolutionary psychology; basic evolutionary theory; evolution of altruistic| cooperative| and competitive behavior. The course develops and makes extensive use of elementary mathematical and statistical models.   
MATHEMATICAL STATISTICS,STAT-550,/coursehistories/2148,Topics vary each semester.   
INTRO BUSINESS STAT,STAT-411,/coursehistories/2690,The course will focus on integrative aspects of physiological function of vertebrates. Comparative| environmental and quantitative approaches will be used. Major topics include muscle| the cardiovascular system| respiration| renal function and the nervous system.   
FIN & ECON TIME SERIES,STAT-434,/coursehistories/2691,This course will survey the discipline of molecular genetics. Two broad areas will be considered 1) Molecular Biology: DNA replication| transcription| translation| regulation of gene expression in both prokaryotic and eukaryotic systems| and genomics and 2) Genetics: basic Mendelian & molecular genetics.   
STOCHASTIC PROCESSES,STAT-433,/coursehistories/2930,
MATHEMATICAL STATISTICS,STAT-512,/coursehistories/3250,The objective of this course is to introduce students to the concepts| analyses| and activities that comprise marketing management| and to provide practice in assessing and solving marketing problems. The course is also a foundation for advanced electives in Marketing as well as other business/social disciplines. Topics include marketing strategy| customer behavior| segmentation| market research| product management| pricing| promotion| sales force management and competitive analysis.   
STAT METH & COMPUTATION,STAT-540,/coursehistories/3513,This course is a comprehensive introduction to the sociological study of urban areas. This includes more general topics as the rise of cities and theories urbanism| as well as more specific areas of inquiry| including American urbanism| segregation| urban poverty| suburbanization and sprawl| neighborhoods and crime| and immigrant ghettos. The course will also devote significant attention to globalization and the process of urbanization in less developed counties.   
APPLIED ECONOMETRICS II,STAT-521,/coursehistories/4419,The objective of this course is to introduce students to the concepts| analyses| and activities that comprise marketing management| and to provide practice in assessing and solving marketing problems. The course is also a foundation for advanced electives in Marketing as well as other business/social disciplines. Topics include marketing strategy| customer behavior| segmentation| market research| product management| pricing| promotion| sales force management and competitive analysis.   
BAYESIAN METH & COMP,STAT-542,/coursehistories/4420,This course is concerned with how and why people behave as consumers. Its goals are to: (1) provide conceptual understanding of consumer behavior| (2) provide experience in the application of buyer behavior concepts to marketing management decisions and social policy decision-making; and (3) to develop analytical capability in using behavioral research.   
INTRO TO LINEAR STAT MOD,STAT-551,/coursehistories/4421,This course examines the role of marketing research in the formulation and solution of marketing problems| and the development of the student's basic skills in conducting and evaluating marketing research projects. Special emphasis is placed on problem formulation| research design| alternative methods of data collection (including data collection instruments| sampling| and field operations)| and data analysis techniques. Applications of modern marketing research procedures to a variety of marketing problems are explored.   
