NAME,ALIAS,PATH,DESCRIPTION
HIV PREVT DEVL COUNTRIES,HSOC-002,/coursehistories/2599,Course topics will vary; have included The Binding of Isaac| Responses to Catastrophes in Jewish History| and Concepts of Jewishness from Biblical Israel to the Modern State.   Though Judaism is rightly known as a culture that exalts the study of text| performance of rituals is no less important for adherents who seek to fulfill divine command| rabbinic obligation and/or communal expectation. Christian thinkers in medieval and early modern Europe identified Jewish "ceremonial law" as a component of sacred Scripture whose authority had expired| and they ridiculed Jews for practicing "carnal" rather than "spiritual" religion. This course has a two-fold focus: Drawing on the insights of anthropology and ritual theory| students will explore the cultural logic of a range of concrete practices undertaken by Israelites and Jews in different geographic locales| from biblical times through the present. Students will also examine the perception and portrayal of Jewish customs in Christian theological| political and proto-ethnographic writings from the 7th -16th centuries. Readings from primary sources will be in English translation.   
EPIDEMICS IN HISTORY,HSOC-048,/coursehistories/3413,This survey course will deal with the roots and evolution of the international political economy from the end of World War II and the launching of the Bretton Woods system to the Asia crisis of 1997 and its spread to Russia and parts of Latin America. It will focus on the interplay between politics and economics for topics such as management of the international financial system via the IMF| World Bank| World Trade Organization| globalization| trade| multinational corporations and changes in world production patterns| the integration of Europe| development strategies| debt crises| and attempts at political and economic liberalization in countries as diverse as China| Mexico| Indonesia| and South Africa.   
TREATM OF MENTAL ILLNESS: The Construction Prevention and Treatment of Mental Illness,HSOC-050,/coursehistories/2600,Selected international conflicts will be analyzed from a cultural point of view. This exercise will have the following advantages| each of which will be emphasized throughout the course: (a) students will study a series of internationally important situations from a distinctive academic point of view; (b) they will explore the analytical value of the concept of culture with the rigour with which it has been developed in anthropology| but in application to material not commonly treated by anthropologists| and (c) since anthropologists have difficulty comprehending and analyzing conflict within a cultural framework| they will at the same time be engaging in a theoretically experimental exercise by addressing questions concerning the relationship between conflict and cultural process. The course should be useful both to prospective anthropology majors and all undergraduates interested in the modern world| and will ideally attract students with a wide variety of interests.   
SOC DETERMINANTS HLTH CR,HSOC-260,/coursehistories/3416,This seminar offers an introduction to Muslim political thought. Chrnologically the course ranges from the medieval period to the present. Particular attention will be given in the later part of the course to the renaissance of Muslim potical thought in recent years and to the development of political Islam| including the work of such thinkers as Said Qutb and Hasan Turabi. We will also study the roots of this renaissance in classical philosophy of the medieval period (Al Farabi| Al Ghazali| Ibn Khaldun| Ibn Tufayl) and the liberal age.   
DISEASE & SOCIETY,HSOC-430,/coursehistories/1358,This course provides a comprehensive background in biomaterials. It covers surface properties| mechanical behavior and tissue response of ceramics| polymers and metals used in the body. It also builds on this knowledge to address aspects of tissue engineering| particularly the substrate component of engineering tissue and organs.   
PHIL OF SPACE & TIME,PHIL-026,/coursehistories/874,This course provides an introduction to the philosophy and intellectual history of space-time and cosmological models from ancient to modern times with special emphasis on paradigm shifts| leading to Einstein's theories of special and general relativity and cosmology. Other topics include Big Bang| black holes stellar structure| the metaphysics of substance| particles| fields| and superstrings| unification and grand unification of modern physical theories. No philosophy of physics background is presupposed.   
PHIL OF SCIENCE,PHIL-425,/coursehistories/882,Historically oriented survey and contemporary analysis of the basic concepts and arguments in philosophy of science. An in-depth examination of the nature of scientific theories| their confirmation and theory-world relations| laws of nature and their role in unification and explanation| causation| and teleology| reductionism and supervenience| values and objectivity. Additional topics covered include arguments concerning scientific realism| the ontological status of theoretical entities| the Quine-Duhem thesis| Kuhn's paradigm shifts| Bayesianism| and the success of science. PREREQUISITE: BACKGROUND IN ELEMENTARY LOGIC AND SOME RUDIMENTS OF SCIENCE.   
SCIENCE MAGIC RELIGION,RELS-116,/coursehistories/1479,
HEALTH OF POPULATIONS: The Health of Populations,SOCI-111,/coursehistories/3506,A sociological analysis of the origins| development| and reactions surrounding deviance in contemporary society. Topics include labeling theory| stigma| social organization| tradition| social power| crime| sexual deviance| drug use| and racism. Theoretical and methodological issues will be discussed and evaluated.   
Technology and Medicine in Modern America,STSC-162,/coursehistories/3811,This is a graduate level| introductory course in general relativity and modern cosmology. The basics of general relativity will be covered with a view to understanding cosmology and carrying out calculations relevant to the expanding universe and perturbations in it. Some of the key topics in modern cosmology will be covered -- these include the cosmic microwave background| large-scale structure| gravitational lensing and dark energy. The current cosmological model and open questions driving research will be discussed briefly in connection with these topics.   
INTRO TO ENVRNTL HISTORY,STSC-179,/coursehistories/3812,Independent research projects in the laboratories of individual faculty members. A list of possible research supervisors is available in the Biochemistry office (357 Chemistry). In addition to their laboratory projects| students will attend a weekly seminar in which their own and related work will be discussed.   
COMPUTERS ETHICS & SOCI,STSC-465,/coursehistories/3813,Survey course introducing students to the breadth of bioengineering. Course consists of weekly guest lectures and a series of small projects and reports that allow students to explore different facets of bioengineering.   
EMERGENCE OF MODERN SCI,STSC-001,/coursehistories/3970,Introduction to economic analysis and its application. Theory of supply and demand| costs and revenues of the firm under perfect competition| monopoly and oligopoly| pricing of factors of production| income distribution| and theory of international trade. Econ 1 deals primarily with microeconomics.   
WRITING SEMINAR IN STSC: HEALING NARRATIVES,STSC-009,/coursehistories/3971,Introduction to economic analysis and its application. An examination of a market economy to provide an understanding of how the size and composition of national output are determined. Elements of monetary and fiscal policy| international trade| economic development| and comparative economic systems.   
THE ORIGINS OF LIFE,STSC-018,/coursehistories/3972,Theories of consumer behavior| demand| production| costs| the firm in various market contexts| factor employment| factor incomes| elementary general equilibrium| and welfare. Insofar as possible| theoretical economic concepts are given operational content| but the main emphasis is on the tools of economic thinking. It will be presumed that the student is familiar with the basic aspects of such mathematical concepts as sets| functions| and derivatives.   
FRANKENSTEIN'S LIBRARY,STSC-023,/coursehistories/3973,Theories of aggregate demand and supply| including the determination of national income and product| employment and prices| and the fundamentals of monetary theory and policy. Insofar as possible| theoretical economic concepts are given operational content| but the main emphasis is on the tools of economic thinking. It will be presumed that the student is familiar with the basic aspects of such mathematical concepts as sets| functions| and derivatives.   
SCI MAGIC & RELIGION,STSC-028,/coursehistories/3974,The course begins with a survey of basic descriptive statistics and data sources and then covers elementary probability theory| sampling| estimation| hypothesis testing| correlation| and regression. The course focuses not on mathematical proofs of theorems| but rather on practical issues involved in the substantive interpretation of economic data using the techniques of statistical inference. For this reason| empirical case studies that apply the techniques to real-life data are stressed and discussed throughout the course| and students are required to perform several statistical analyses of their own. May not be taken for credit by students who have taken either one or two semesters of Statistics or by any student who has already completed statistics at least at the level of Stat 101 (including the sequence Stat 111/112). (Students with a one semester AP Statistics credit for Stat 101 or higher can drop the credit to take Econ 5 via a release form available from the department). Students who have one semester of statistics take the second course in statistics or Econ 6 (or Econ 5| if Stat 111 was taken) to satisfy the statistics requirement of the major.   
NERDS IN AMERICA,STSC-060,/coursehistories/3975,This course is designed to introduce students to econometric techniques and their applications in economic analysis and decision making. The main objective of the course is to train the student in (i) handling economic data; (ii) quantitative analyses of economic models with probabilistic tools; (iii) econometric techniques| their application as well as their statistical and practical interpretation; (iv) implementing these techniques on a computer.   The course focuses on practical and conceptual issues involved in the substantive applications of econometric techniques. Estimation and inference procedures are formally analyzed for simple econometric models and illustrated by empirical case studies using real-life data. The course covers linear regression models| simultaneous-equations models| discrete choice models and univariate time series models. Estimation and Inference is conducted using least squares and likelihood based techniques. Students are required to perform several econometric analyses of their own.   
ORIGINS SEXUAL DIFFERENC,STSC-081,/coursehistories/3976,This course presents an overview of the field of development economics. The general aim is to show how economic analysis has been applied to issues related to developing countries. Among the topics covered are: income distribution| poverty| health| population growth| migration| growth| and the rural economy.   
SCIENCE TECHNOLOGY & WAR,STSC-112,/coursehistories/3977,A study of the government sectors' taxation and spending activities| focusing on their impact upon resource allocation| income distribution| and efficiency in the economy.   
