NAME,ALIAS,PATH,DESCRIPTION
WESTERN DRAMA,THAR-110,/coursehistories/1117,This course will explore the forms of public performance| most specifically theatre| as they emerge from and give dramatic shape to the dynamic life of communal| civic and social bodies| from their anthropological origins in ritual and religious ceremonies| to the rise of great urban centers| to the closing of the theaters in London in 1642. This course will focus on the development of theatre practice in both Western and non-Western cultures as it intersects with the history of cities| the rise of market economies| and the emerging forces of national identity. In addition to examining the history of performance practices| theatre architecture| scenic conventions| and acting methods| this course will investigate| where appropriate| social and political history| the arts| civic ceremonies and the dramaturgic structures of urban living.   
PLAYWRITING WORKSHOP,THAR-114,/coursehistories/1118,This course is designed as a hands-on workshop in the art and craft of dramatic writing. It involves the study of existing plays| the systematic exploration of such elements as storymaking| plot| structure| theme| character| dialogue| setting| etc.; and most importantly| the development of students' own plays through a series of written assignments and in-class exercises. Since a great deal of this work takes place in class -- through lectures| discussions| spontaneous writing exercises| and the reading of student work -- weekly attendance and active participation is crucial.   
INTRODUCTION TO ACTING,THAR-120,/coursehistories/1119,Rooted in the system devised by Constantin Stanislavsky| this course takes students step by step through the practical work an actor must do to live and behave truthfully on-stage. Beginning with relaxation and physical exercise| interactive games| and ensemble building| students then learn and put into practice basic acting techniques| including sensory work| the principles of action| objectives| given circumstances| etc. The semester culminates in the performance of a scene or scenes| most often from a modern American play. This course strongly stresses a commitment to actor work and responsibility to one's fellow actors. Practical work is supplemented by readings from Stanislavksy and a variety of other acting theorists that may include Uta Hagen| Robert Cohen| Stella Adler| among others. Students are required to submit short essays over the course of the semester in response to the readings and in preparation for their final scene project.   
COSTUME,THAR-132,/coursehistories/1120,Costume history and design provides a framework for organized study and practice in this particular facet of theatre production. It is a one-semester course| scheduled to meet once a week for a three hour session.   
CONCEPTS OF STAGE DESIGN,THAR-133,/coursehistories/1121,A history of the development of twentieth-century stage design and the exploration of the design process. Project work in the realization of stage designs through drafting| rendering| and model building.   
MIME & MOVEMENT: MOVEMENT FOR THE ACTOR,THAR-171,/coursehistories/1122,The study of the art of bodily expression throughout history in theory and practice| from Classical and Oriental forms to the contemporary theatre.   
ADVANCED ACTING,THAR-220,/coursehistories/1123,This course continues the work begun in the Introduction to Acting class. The specific focus of the course will be on helping students to connect more deeply and truthfully with each other on stage| freeing up the body of the actor to fulfill the physical demands of characterization| and analyzing the dramatic text to clarify objectives and focus action through unit breakdown. Attention will also be given to helping students work through specific problems and personal| creative obstacles. The basis of the course will be scene work taken from the twentieth-century repertoire (realist and non-realist plays)| a classical monologue| and exercises taken from a variety of performance traditions. The course also includes readings from modern theorists and practitioners.   
ADVANCED DIRECTING,THAR-221,/coursehistories/1124,The primary goal of this course is to develop students' practical skills and methods as stage directors. The course continues the work of Introduction to Directing| focusing on effective text analysis| communicating with actors| and use of theatrical space and movement to tell the story of the play. The course is structured as a workshop| with students presenting and discussing each other's scene work in class. Students are responsible for three large projects| and each project is presented and discussed twice| first in its workshop and then in its final stage of development. The final project involves minimally staging a one-act play for an audience. Course work is supplemented by readings on the work of major modern directors| and by viewing and writing critiques of selected theatre performances.   
THEATRE WORKSHOP,THAR-250,/coursehistories/1125,This course will examine a specific aspect of theatrical practice| taught by a visiting professional theatre artist. The course| with different topics| may be repeated for credit. Recent topics have included performance art| Jacques LeCoq technique| Suzuki| and Viewpoints.   
ADV TPCS IN THEATRE,THAR-275,/coursehistories/1126,This course will combine an intensive practical and intellectual investigation of some area of the making of theatre: performance techniques| theatrical styles| a particular period of theatre history. For the current topics contact the Theatre Arts office.   One section of 275 every other Spring will consist of a small number of Theatre Arts majors selected by the faculty to become members of "the Edinburgh Project." This ensemble will mount a production that will be performed at the Edinburgh Festival Fringe in August. Many of the readings and exercises in this course will be geared to prepare for production; rehearsals for the project will continue after the exam period at the end of the semester.   
