NAME,ALIAS,PATH,DESCRIPTION
CRIME & PUNISHMENT,URBS-110,/coursehistories/1129,How have definitions of crime and forms of punishment changed over time? What have been the uses and legacy of extra-legal violence? How have the forms of crime and punishment reflected the structure of American society? Using both historical and contemporary texts| this freshman seminar will explore these and other questions and in the process analyze the development of juvenile justice| the organization of corrections| the application of the death penalty| and the rise of the drug economy.   
INTRO URBAN RESEARCH,URBS-200,/coursehistories/1130,This course will examine different ways of undertaking urban research. The goal will be to link substantive research questions to appropriate research methods. Micro-computer based quantitative methods| demographic techniques| and ethnographic approaches will be the primary foci of the course. In addition to classroom assignments| students will have the opportunity to undertake their own research involving micro-based statistical analysis of data files which address relevant and timely public policy issues.   
URBAN EDUCATION,URBS-202,/coursehistories/1131,This course offers an introduction to| and an overview of| many of the key issues confronting urban public schools in America. Conversations about schooling| and urban schooling in particular| are currently at the forefront of public discussions about how to improve the economy and the nation as a whole. In this course we will examine the historical| social| and cultural contexts of urban education and schooling in society. Beginning with philosophical and theoretical perspectives on why we educate| this course will also explore the ways in which schools are implicated in a range of social issues and we will interrogate the role of education in relation to social mobility| life changes| and civic opportunity. This course will also critically examine recent policies and reform efforts which have been designed to remedy the urban public school "crisis." In addition to readings and class discussions| popular media (e.g. news reports| and films and documentaries on urban schools) will also be used to provide students with an opportunity to explore these larger course themes and issues| particularly as they relate to public schools in Philadelphia.   
POWER OF PLACE,URBS-205,/coursehistories/1132,The built environment of a city is more than a mere backdrop; the design can affect people's experiences. Environmental design focuses on the relationship between people and the built environment. It also looks at how the built environment interacts with the natural one. This course will allow students to gain a deeper understanding of how people create| perceive| and use the designed environment. We'll approach these concepts by analyzing design at a variety of scales| from products to interior design to architecture. Finally| using that knowledge| we'll conclude by analyzing urban spaces of the city.   
PUBLIC ENVIRON OF CITIES: Introduction to the Urban Landscape,URBS-206,/coursehistories/1133,The Public Environment of Cities explores urbanism - the study of the environmental| political| economic| socio-cultural| historical| and aesthetic conditions affecting urban life and culture. At the heart of urbanism is our public environment - the parks| squares| and sidewalks in and upon which our public life is played out. The course will explore the city through the examination of three broad themes: Democracy| Diversity| and Design. We examine in detail how contemporary issues affect our perceptions| use| and inhabitation of the public environment and how the open spaces of the city provide frameworks for the daily social life and commerce as well as the important ceremonies| celebrations| and festivities of its inhabitants.   
THE CITY,URBS-210,/coursehistories/1134,This course is an introduction to major forces that shape urban life in the United States from the eighteenth century to the present| with a focus on Philadelphia. Through weekly assignments and discussions| students will examine the physical formation and historical development of cities and learn to "read" the sociological and geographic organization of the contemporary city. Prominent themes include urban growth| decline| and restructuring; the ecological bases of urban life; race| class| and gender relations in urban space; and the formation and re-formation of neighborhoods| downtowns| and suburbs.   
URBAN PUB POLICY: Contemporary Phila.: A Case Study,URBS-250,/coursehistories/1135,An introduction to a broad range of substantive policy areas affecting the city and an exploration into the complexities of policy formulation and implementation in a large and pluralistic metropolitan setting. The course subtitle| "Contemporary Philadelphia: A Case Study|" describes our approach.   
URBAN JOURNALISM,URBS-252,/coursehistories/1136,This course will examine the state of urban journalism today with special emphasis on how large newspapers are redefining themselves| and the news| in an era of dwindling readership and growing financial pressures. The course will look at online journalism| ethics| and alternative sources of news| and will explore the techniques journalists use in reporting the news. Students will report and write four pieces of their own about Philadelphia and its environs. The course is taught by Dan Rubin| metro columnist and former foreign correspondent for the Philadelphia Inquirer.   The course is taught by Dan Rubin| metro columnist and former foreign correspondent for the Philadelphia Inquirer.   
FIELDWORK,URBS-300,/coursehistories/1137,Students work 15-20 hours per week in field placement and meet weekly with class and instructors. The class is intended to help students reflect from a variety of perspectives on the work that they are doing in their placement organizations. The class format is primarily discussion. Students are required to complete assigned readings| prepare written and oral presentations| and submit a final project.   
RELIGSOC JUST & URB DEV,URBS-405,/coursehistories/1138,Urban development has been influenced by religious conceptions of social and economic justice. Progressive traditions within various evolving traditions| including Judaism| Christianity| Islam| Hinduism| Jainism| Buddhism| and Humanism| have yielded powerful critiques of oppression and hierarchy as well as alternative economic frameworks for ownership| governance| production| labor| and community. Historical and contemporary case studies from the Americas| Europe| Africa| Asia| and the Middle East will be considered| as we examine the ways in which religiously and philosophically informed responses topoverty| inequality| and ecological destruction have generated new forms of urban development.   
URBAN COMMUN & THE ARTS,URBS-410,/coursehistories/1139,This course will explore methods for examining the role that arts and cultural activities play in urban communities and its implications for urban policy. The course will focus on: 1) examining theories of culture's social impact and how they might be used to formulate research; 2) methods for conducting research on arts and culture; and 3) how cultural research is relevant for various spheres of urban policy| including community development| urban economies| and the needs of children and youth. The major project for the course will require students to collaborate with community resources in studying the connection of theory| research| and policy.   
URBAN REDEVELOP,URBS-450,/coursehistories/1140,This course is divided into three segments: a brief historical background on the origins and changing goals of urban redevelopment; a detailed review of contemporary housing problems and the implementation of program responses by public| private and neighborhood groups; an overview of economic development efforts with a focus on a series of contemporary projects as case studies. The format is that of a seminar| mixing lecture| discussion| and guest speakers who are responsible for housing and economic development in the Phialdelphia area. The focus is not only on policy choices but on the mechanics of financing| implementation| and attaining employment goals. The course requirements include a take-home| mid-term essay of 5-7 pages| a final case study| and tours of development projects in Philadelphia.   
COMMUN ORGAN:HIST&THEORY: Community Organizing:  History and Theory,URBS-473,/coursehistories/1141,Power is an ability to create change. Without access to power that might otherwise come from political| financial or personal networks| community organizing can often serve as the only viable source of power for the oppressed. Although organizing became a partisan buzzword during the 2008 presidential campaign| it is firmly rooted in the democratic tradition. Organizing campaigns have played a central role in US history| most notably as the foundation of the Civil Rights movement. This course will integrate the history and theories of community organizing so that each student will have the foundation to develop a transformational praxis to create change in their own communities. Focused analysis of the course material| case study reviews| guest speaker presentations| inquiry-based assessments and problem-posing methods rooted in the student's own context will serve as the primary means of development.   
ORIGIN & CULTR OF CITIES,ANTH-121,/coursehistories/119,The UN estimates that 2.9 of the world's 6.1 billion people live in cities and that this percentage is rapidly increasing in many parts of the world. This course examines urban life and urban problems by providing anthropological perspectives on this distinctive form of human association and land use. First we will examine the "origin" of cities| focusing on several of the places where cities first developed| including Mesopotamia and the Valley of Mexico. We will then investigate the internal structure of non-industrial cities by looking at case studies from around the world and from connections between the cities of the past and the city in which we live and work today.   
ANCIENT CIVS OF THE WRLD,ANTH-139,/coursehistories/121,The archaeology of the complex societies of the Old and New Worlds from the end of the paleolithic up to and including the earliest civilizations.   
HLTH IN URBN COMMUNITIES,ANTH-312,/coursehistories/135,This course will introduce students to anthropological approaches to health and to theories of participatory action research. This combined theoretical perspective will then be put into practice using West Philadelphia community schools as a case study. Students will become involved in design and implementation of health-related projects at an urban elementary or middle school. As one of the course requirements| students will be expected to produce a detailed research proposal for future implementation.   
URBAN NEIGHBORHOODS,ANTH-355,/coursehistories/137,This course provides tools for understanding the changing relationships among urban neighborhoods in the global economy. The course draws on theoretical approaches from cultural geography| post-modern theories of global economics| and anthropological theories of transnational culture to analyze processes within and among four cities: Philadelphia| Los Angeles| Santiago de Chile| and Cuidad Juarez on the U.S.-Mexico border.   
TPCS ASIAN AMERICAN LIT: Chinatown Koreatown and Little Tokyo:  Ghettoes or Communities?,ENGL-272,/coursehistories/415,This seminar is an advanced-level topics-based version of ENGL 072| Introduction to Asian American Literature. The intended audience is junior and senior English majors and advanced students in Asian studies| Asian American studies| contemporary U.S. and world history| ethnic studies| urban studies| etc. Typical versions of this seminar will include representations and images of Asians in contemporary U.S. novels and films; Asian American literature by women; Asian American film narrative and film aesthetics; studies in Asian American literature and visual art; Asian American literature and immigration; Asian American literature in the context of the literature of exile and journey; Asian American literature 1929-1945; Asian American literature| 1945 to the present; Anglophone/South Asian literature in England| 1970 to the present; Southeast Asia| Vietnam| and American literature| 1970-1990; etc. Students will typically present research projects and write several long essays.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
The Politics of Housing and Community Development,GAFL-569,/coursehistories/520,This course offers an exploration of how legislative action| government policymaking and citizen advocacy influence plans for the investment of public capital in distressed urban downtowns and neighborhoods. A special emphasis this year will be the Obama Administration's response to the foreclosure crisis and the implementation of neighborhood reinvestment strategies by state and local governments.   
URBAN CRISIS,HIST-153,/coursehistories/583,See primary department (URBS) for a complete course description.   
GEN HRS AMERICA AFT 1800: RELIGION IN AMER HIST,HIST-214,/coursehistories/597,
THEO & METH AM SOC HIST,HIST-580,/coursehistories/619,The purpose of this seminar is to introduce students to some of the major conceptual issues in current American research on social history. It concentrates on a limited number of topics and emphasizes the identification of major issues in the field| the formulation of questions| and the development and assessment of research strategies. Requirements include reading approximately two books per week and short papers.   
RACE & ETHNIC RELATIONS,SOCI-006,/coursehistories/1036,The course will focus on race and ethnicity in the United States. We begin with a brief history of racial categorization and immigration to the U.S. The course continues by examining a number of topics including racial and ethnic identity| interracial and interethnic friendships and marriage| racial attitudes| mass media images| residential segregation| educational stratification| and labor market outcomes. The course will include discussions of African Americans| Whites| Hispanics| Asian Americans and multiracials.   
URBAN SOCIOLOGY,SOCI-011,/coursehistories/1038,This course is a comprehensive introduction to the sociological study of urban areas. This includes more general topics as the rise of cities and theories urbanism| as well as more specific areas of inquiry| including American urbanism| segregation| urban poverty| suburbanization and sprawl| neighborhoods and crime| and immigrant ghettos. The course will also devote significant attention to globalization and the process of urbanization in less developed counties.   
POVERTYRACE AND HEALTH,SOCI-264,/coursehistories/1056,This course is designed to introduce students to current literature on race/ethnic difference in health and mortality in the United States| covering such topics as explanations for why some race/ethnic groups fare better than others| how inner city poverty and residential segregation may contribute to racial/ethnic differences in health outcomes| and health of immigrants versus native-born populations. Current policy debated and recent policy developments related to health are also briely discussed. The course is organized as a seminar with a combination of lectures and class discussions.   
MEASURING HOUSING DISC,SOCI-300,/coursehistories/1058,The purpose of this course is to guide senior sociology majors in writing a research proposal for a senior honors thesis. Students will learn about various research approaches| how to write a focused literature review| and kinds of data necessary to answer a wide variety of research questions| including their own. Throughout the course| students will work on designing a research question| generation researchable hypotheses| and coming up with a design for their proposed study. The final paper for this course will be a research proposal that is the basis for students' independent research project. This course satisfies the research requirement for sociology majors and is designed primarily for seniors who are planning to write an honors thesis.   
WRITNG ABT CULT IN CITY,URBS-009,/coursehistories/1534,Freshman Seminars under the title "Topics in Literature" will afford entering students who are considering literary study as their major the opportunity to explore a particular and limited subject with a professor whose current work lies in that area. Topics may range from the lyric poems of Shakespeare's period to the ethnic fiction of contemporary America. Small class-size will insure all students the opportunity to participate in lively discussions. Students may expect frequent and extensive writing assignments| but these seminars are not writing courses; rather| they are intensive introductions to the serious study of literature. One of them may be counted toward the English major and may be applied to a period| genre| or thematic requirement within the major.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
SPATIAL ANAL/URB STUDIES,URBS-430,/coursehistories/1535,This course will introduce students to key works of English literature written before 1660. It will explore the major literary genres of this period| as well as the social and cultural contexts in which they were produced. The course will examine how literature texts articulate changes in language and form| as well as in concepts of family| nation| and community during the medieval and early modern periods.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
MET GROWTH & URB POVERTY,URBS-453,/coursehistories/1536,This course provides students with a survey of British poetry and poetics from the Restoration to the Modern period| and usually will include writers ranging from Aphra Behn and Alexander Pople to Thomas Hardy. The course may be offered in various froms| some covering less| and some more historical ground. Most will provide a sampling of eighteenth-century| Romantic| and Victorial poets.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
INFO WKSHP REDEV CITIES: Information Public Policy & The Redevelopment of Distrissed Cities,URBS-454,/coursehistories/1537,This survey of the novel addresses key questions about the novel's "rise" in the eighteenth century on both sides of the Atlantic| as well as attending to the cultural conditions that attended this new literary from. How did the concurrent "rise" of the middle classes and the emergence of an increasingly female reading public affect the form and preoccupations of early novels? What role did the institutions like literary reviews| libraries| and the church play in the novel's early reception? While reading will vary from course to course| students should expect to read such authors as Austen| Behn| Brockden Brown| Burney| Defoe| Fielding| Richardson| Rowlandson| Rowson| Scott| and Smollett.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
PHILA POLITICS,URBS-459,/coursehistories/1538,During the nineteenth century the novel became the dominant literary form of its day| supplanting poetry and drama on both sides of the Atlantic. In this introduction to the novelists of the period| we will read the writers who secured the novel's cultural respectability and economic prominence. Likely authors will include Austen| the Brontes| Collins| Dickens| Eliot| Hardy| Hawthorne| Melville| Poe| Thackeray| Scott| and Stowe. The course will explore the themes| techniques| and styles of the nineteeth-century novel. It will focus not only on the large structural and thematic patterns and problems within each novel but also on the act of reading as a historically specific cultural ritual in itself.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
METHODS IN URBAN ETHNOG,ANTH-303,/coursehistories/1207,Continuation of Beginning Japanese I&II.   
ANTHROPOLOGY & POLICY,ANTH-305,/coursehistories/1208,The first-year of Japanese language - intensive.   
ASIAN AMER COMM FLD WRK,ASAM-205,/coursehistories/1228,This course is especially designed as a first course in Hebrew literature. We will read and discuss Hebrew stories| poems and other texts in Hebrew. The course is open to students who have near-advanced or advanced knowledge of Hebrew| with some reading experience. It will start from the first level| and through contemporary literature| columns from Israeli newspapers and popular culture (films| songs| sketches) bring the students gradually to an advanced level. On the way| we will follow Israeli culture as it deals with complex social| religious| and political issues in Israeli life.   
LAW FOR PUBLIC MANAGERS,GAFL-505,/coursehistories/1320,Human experience is shaped by the built environment. This course introduces students to the interrelated fields of architecture| art history| and engineering and explores great architectural monuments from the ancient to the modern period| from India across the Mediterranean and Europe to the US. The focus will be on understanding these works in their structure and function| both as products of individual ingenuity and reflections of Zeitgeist. Questioning these monuments from a present-day perspective across the cultures will be an important ingredient| as will be podium discussions| guest lectures| excursions| and all kinds of visualizations| from digital walk-throughs to practical design exercises. Regularly taught in fall term| this course fulfills Sector IV| Humanities and Social Science| and it satisfies History of Art 100-level course requirements. There is only ONE recitation in this course| attached directly to Friday's class at 2-3 p.m.| in order to provide sufficient time for practica and field trips.   
HIST OF LAW & SOCIAL POL,HIST-204,/coursehistories/593,
DISCRIM: SEX RACE/CONFL: Discrimination: Sexual & Racial,SOCI-112,/coursehistories/1510,Problem solving. Constructs for representing and manipulating information. Recurrence relations. Asymptotic notation for analysis of algorithms. Advanced data structures such as balanced trees. Graph algorithms: searching| spanning| shortest paths| network flows. Algorithm design paradigms: greedy| divide-and-conquer| backtracking| dynamic programming| randomization. Computational complexity: Turing machines| time and space complexity classes| NP-completeness. (Note: this course was originally titled CSE 220.)   
SOCIAL PSYCHOLOGY,SOCI-530,/coursehistories/1062,Topics vary from semester to semester. Courses offered in the past were Social Movements and Social Change; Critical Race Theory; Conducting Family Research; Mistakes| Errors| Accidents and Disasters; Sociology of Jewish Bioethics.   
