NAME,ALIAS,PATH,DESCRIPTION
BEGINNING URDU,URDU-401,/coursehistories/4438,This course will alternate between an analytical approach and a critical approach to the study of a wide range of songs composed throughout the 20th century. We will study musical techniques such as melody| harmony| form| rhythm| instrumentation| style| and text-setting. We will also pose far-ranging questions| such as| what makes a song a song? What makes a song a good song? What is the difference between an art song and a pop song? This course will occasionally focus on specific composers| such as Cole Porter| Charles Ives| John Harbison| and Liz Phair| and will also consider the musical ramifications of collaboration| covers and re-makes.   
INTERMEDIATE URDU,URDU-421,/coursehistories/4439,The primary goal of the freshman seminar program is to provide every freshman the opportunity for a direct personal encounter with a faculty member in a small setting devoted to a significant intellectual endeavor. Specific topics will be posted at the beginning of each academic year. Please see the College Freshman seminar website for information on current course offerings http:/www .college.upenn.edu/courses/seminars/freshman.php. Fulfills Arts and Letters sector requirement.   
ADVANCED URDU I: GHAZAL,URDU-441,/coursehistories/5060,Theoretical and empirical aspects of physiological ecology| demography| and the growth and regulation of natural populations.   
AD URDU: PROSE: URDU IN RELIGIOUS CLTR,URDU-431,/coursehistories/5482,The aim of this course is to engage students in identifying the historical roots of the modern medical care system through the study of the social historyof the United States and Great Britain and through an investigation of the history of modern medical sciences.   
BEGINNING URDU II,URDU-402,/coursehistories/5750,Hegel's "Lectures on Aesthetics" are a seminal work in the philosophy of art. They conceptualize the different kinds of art| and they understand art in the context of a philosophy of history that is centered on the concept of freedom. We will explore the intellectual background of Hegel's thinking| especially Kant| Schiller| and Schlegel| and investigate the conceptual articulation of art with which Hegel provides us.   
INTERMEDT URDU II,URDU-422,/coursehistories/5751,An introduction to the physical theories of the mechanical universe. The courses focuses on the development and principles of Newtonian mechanics| relativity and the relativistic mechanics of Einstein| and the quantum mechanics needed to describe atomic and nuclear phenomena. This course cannot be taken for credit by a student also receiving credit for PHYS 008| 009| or any physics course numbered 100 or greater.   
URDU POETRY IN TRNSLTN: URDU POETRY IN TRANSLATION: POETRY OF RESISTANCE I AM TRUTH - ANUL HAQ,URDU-452,/coursehistories/6091,Students learn to work on matyerials which were writtten or produced for native speakers| instead of the classroom materials that were written for the non-native speakers. The reading materials include a larger vocabulary with more idioms. Students will also learn how to understand and use certain oral expressions in conversation. They will learn ways to narrate| to describe| and to comment in native Chinese ways. Reading and audio materials are provided and discussed in the classes. Writing and oral presentations in Chinese are required in classroom under instruction. Students will be encouraged to practice oral communication with each other.   
BEGINNING HINDI,HIND-400,/coursehistories/4280,The creation of colonial societies in America under Spanish and Portuguese rule. Emphasis on primary sources (in English translation) dealing with the social| cultural and biological effects to European contact. Topics include| the role of missionaries and evangelization| Iberian and Indian perceptions of the "other"| the impact of Old-World diseases| animals and plants on American people and ecosystems.   
SUFISM IN URDU POETRY,URDU-462,/coursehistories/6223,The course is intended as an introduction to continuum mechanics in both solid and fluid media| with special emphasis on the application to biomedical engineering. Once basic principles are established| the course will cover more advanced concepts in biosolid mechanics that include computational mechanics and bio-constitutive theory. Applications of these advanced concepts to current research problems will be emphasized.   
BEGINNING HINDI PART II,HIND-401,/coursehistories/5672,This course examines the wide range of victimization experiences from the perspective of the victim| their families and society. Crimes to be studied include workplace violence| corporate crime| robbery| burglary| assault| rape| stalking| domestic violence| homicide| suicide| elderly abuse and child sexual abuse and exploitation. The role of the medical examiner| health care providers and the FBI as they relate to victims of crime will be discussed. Emphasis will be given to exploring the elements of each crime and response patterns to victimizations. Services available to victims of crime will be discussed.   
