NAME,ALIAS,PATH,DESCRIPTION
EYE MIND AND IMAGE,VLST-101,/coursehistories/2438,Intensive integration of theory and clinical practice in women's health care with emphasis on ambulatory care. Clinical practice in all areas of ambulatory women's health care| teaching rounds| case presentations| and seminars with professional colleagues.   
3 DIMENSIONS:TIME/SPACE,VLST-103,/coursehistories/2934,Asthma as a pediatric chronic disease is undergoing a dramatic and unexplained increase. It has become the number one cause of public school absenteeism and now accounts for a significant number of childhood deaths each year in the USA.The Surgeon General of the United States has characterized childhood asthma as an epidemic. In ENVS 408| Penn undergraduates learn about the epidemiology of urban asthma| the debate about the probable causes of the current asthma crisis| and the nature and distribution of environmental factors that modern medicine describes as potential triggers of asthma episodes.   Penn students will collaborate with the Childrens Hospital of Philadelphia (CHOP) on a clinical research study entitled the Community Asthma Prevention Program. The Penn undergraduates will co-teach with CHOP parent educators asthma classes offered at community centers in Southwest| West| and North Philadelphia. The CHOP study gives the Penn students the opportunity to apply their study of the urban asthma epidemic to real world situations.   
2 DIMENSIONS:FORM/MEANG,VLST-102,/coursehistories/3258,This course focuses on advertising via all media - print| video| TV| Internet| etc. Emphasis is placed on understanding the communication process and consumer behavior (psychology)| the measurement and evaluation of advertising effects| and developing appropriate media plans.   
SENIOR PROJECT,VLST-395,/coursehistories/3259,This course views marketing as both a general management responsibility and an orientation of an organization that helps one to create| capture and sustain customer value. The focus is on the business unit and its network of channels| customer relationships| and alliances. Specifically| the course attempts to help develop knowledge and skills in the application of advanced marketing frameworks| concepts| and methods for making strategic choices at the business level.   
UNDERGRADUATE SEMINAR: WHAT IS VISUAL STUDIES?,VLST-301,/coursehistories/4440,"In this historical survey| students learn to listen analytically| historically| and creatively to music from the Middle Ages to the present day. A wide range of musical repertories including plainchant| opera| orchestral music| and chamber music is covered. Composers studied include Bach| Mozart| Beethoven| Verdi| and Wagner. No prior musical knowledge is required.   
FILM/VIDEO I,FNAR-061,/coursehistories/444,This course provides students with the introductory skills and concepts needed to create short works using digital video technologies. Students will learn the basics of cinematography and editing through a series of assignments designed to facilitate the use of the medium for artistic inquiry| cultural expression and narrative storytelling.   
DRAWING I,FNAR-123,/coursehistories/447,This course integrates formal issues| technical skill and content in basic drawing. Investigative work is from observation. Drawing from ideas and the imagination will also be explored using a wide variety of materials (such as graphite| charcoal| conte| ink) and methods (continuous tone| subtraction| etc.) It is appropriate for beginners and those with modest experience.   
DIGITAL DES FOUNDATIONS,FNAR-264,/coursehistories/2577,
PHOTOGRAPHY I,FNAR-271,/coursehistories/466,This course will introduce students to the basic concepts| processes and techniques used in black and white photography| including camera operation| exposure| darkroom procedures| basic lighting| and their controlled applications. Introduction to Photography is designed to provide beginners with an introduction into the proper methods for creating black and white photographic images. Students will learn how to fully use and understand their SLR 35mm camera in order tosuccessfully expose black and white film. Students will then learn how to professionally process their film and print their negatives onto photographic paper. Thius course begins with an emphasis on understanding and mastering technical procedures and evolves into an investigation of the creative and expressive possibilities of the medium. A brief introduction into the realm of digital imaging is also incorporated into this course; this includes scanning black and white negatives and the basics of Photoshop image adjustments. No previous experience necessary. Although it is recommended that students purchase their own 35mm SLR cameras for this course| cameras will be available throughout the semester for reservation and checkout from the photography equipment room. Lab fee: $50.00   
PHILOSOPHY OF MIND,PHIL-244,/coursehistories/1434,Finite automata (deterministic and nondeterministic) regular graphs| regular expressions| regular grammars| (Nerode congruence)| the "pumping lemma"| closure properties. Context-free languages. Standard forms: removal of e-rules| chain rules| reduced grammars. Chomsky Normal Form. Context-free languages as fixed points (Ginsburg and Rose's Theorem). Greibach Normal Form (using Rosenkrantz's matrix method). Ogden's Lemma and the "pumping lemma". Pushdown automata (PDA's). Equivalence of PDA's and context-free grammars. Brief sketch of top-down and bottom-up (nondeterministic) parsing. Deterministic PDA's. Closure properties. Partial recursive functions| Turing machines and RAM programs. Primitive recursion. Minimization. Equivalence of the models. Church/Turing's thesis. Acceptable Codings. A Universal RAM program. Undecidability of the halting problem. Recursively enumerable sets (RE sets).   
COLOR,FNAR-211,/coursehistories/453,The color class is a one semester exploration of color action and interaction| its history and its contemporary paradigms and applications. Studio work includes both "laboratory" studies and improvisatory exercises and uses colored papers| gouache| light and related materials.   
PHIL & VISUAL PERCEPTION,PHIL-423,/coursehistories/1438,This course explores various topics in modern operating systems and computer architecture| including multithreading and synchronization| interprocess communication| memory management (caching| virtual memory| etc.)| I/O| and security. We also look at techniques that are used to enhance processor performance at the hardware and software level. You will learn a variety of C and C++ programming techniques that will make you a better IT professional| and will get an understanding of what's happening "under the covers" in modern computer systems.   
PERCEPTION,PSYC-111,/coursehistories/946,How the individual acquires and is guided by knowledge about objects and events in their environment.   
RESEARCH EXP PERCEPTION,PSYC-311,/coursehistories/958,In this research course| students will begin by first replicating earlier experiments to measure human visual memory capacity. After several class discussions to discuss ideas| each student will design and conduct their own experiment to further investigate visual and/or familiarity memory.   
VISUAL NEUROSCIENCE,PSYC-217,/coursehistories/5023,Development of concepts about the operation of the mammalian cardiovascular system as conceived in the years 198 (by Galenus)| 1628 (by Harvey)| and 1998 (at Penn by A. Noordergraaf).   
