NAME,ALIAS,PATH,DESCRIPTION
CRAFT OF PROSE: CRAFT OF PROSE,WRIT-002,/coursehistories/4444,This course will cover basic skills and vocabulary for reading| hearing| performing| analyzing| and writing music. Students will gain command of musical rudiments| including notation| reading and writing in treble and bass clefs| intervals| keys| scales| triads and seventh chords| and competence in basic melodic and formal analysis. The course will include an overview of basic diatonic harmony| introduction to harmonic function and tonicization. Musicianship skills will include interval and chord recognition| rhythmic and melodic dictation and familiarity with the keyboard. There will be in-depth study of selected compositions from the "common practice" Western tradition| including classical| jazz| blues and other popular examples. Listening skills--both with scores (including lead sheets| figured bass and standard notation)| and without--will be emphasized. There is no prerequisite. Students with some background in music may place out of this course and into Music 170| Theory and Musicianship I. (Formerly Music 70| 71).   
WRITING SEM GLOBAL ENGL: IMMIGRATION & COMMUNICAT,WRIT-011,/coursehistories/4445,Intermediate tonal harmony and musicianship   
WRITING SEMINAR IN ANTH: EATING CULTURE,WRIT-013,/coursehistories/4446,Music 075 401 (Dr. Ramsey): Exploration of the family of musical idioms called jazz. Attention will be given to issues of style| to selected musicians| and to the social| cultural| and scholarly issues raised by its study. Music 075 601 (Professor Parberry): Development of jazz from the beginning of the 20th Century to present. Analysis of the stylistic flux of jazz| such as the progression from dance music to bebop and the emergence of the avant-garde and jazz rock. Attention will be given to both the artists who generated the changes and the cultural conditions that often provided the impetus.   
WRITING SEMINAR IN ARTH: READING MEDIEVAL ART,WRIT-015,/coursehistories/4447,European and American classical music from the late 19th-century to the present.   
WRITING SEMINAR IN ASAM: RACE AND POPULAR CINEMA,WRIT-016,/coursehistories/4448,This course aims to introduce students to what it means to study the European musical tradition. Students will approach the divrese music that constitute the classical tradition from a variety of scholarly perspectives. The goal of this class is to listen deeply and think broadly. Students will consider questions such as: what sort of object is music? Where is it located? what does it mean to say a work is "canonic"? What is left out of the story? This class will be in dialog with other tier-one classes| and will consider what the historian can bring to the study and understanding of music.   
CRITICAL WRITING SEMINAR: PUBLIC RELATIONS WRITING,WRIT-023,/coursehistories/4449,Introduction to and development of principles of tonal voice-leading| harmonic function| counterpoint| and form through written analysis| composition| improvisation| and written work. Course covers diatonic harmony and introduction to chromaticism| up to modulation to distant key areas. Repertoires include common-practice and select popular and vernacular music. Musicianship skills include sight-singing| dictation| and keyboard harmony.   
WRITING SEMINAR IN CINE: SPECTATORS WITNESSES,WRIT-025,/coursehistories/4450,This course explores various methodological problems and theoretical constructs that confront us during the course of ethnomusicological fieldwork. How can we approach writing about our ethnographic work without silencing the voices of those who should be heard? In what ways might transcription and notation complicate power structures and reinforce our own musical values? What special challenges need to be negotiated in the process of documenting ethnographies on film? How do ethical and economic dilemmas inform our approach to making sound recording? A series of readings in ethnomusicology and anthropology will suggest some answers to these questions--answers that will| in turn| be tested by means of several interconnected fieldwork projects focused on gospel music in West Philadelphia. Our readings and fieldwork experiences will shape our classroom discussions| leading not only to be a better understanding of ethnomusicological methods| but also to a deeper appreciation of the "shadows" that we cast in the field.   
WRITING SEMINAR IN CLST: THE GOLDEN ASS,WRIT-026,/coursehistories/4451,This class provides an overview of the most popular musical styles| and discussion of the cultural and political contexts in which they emerged in contemporary Africa. Learning to perform a limited range of African music/dance will be part of this course. No prior performance experience required| though completion of MUSC 050 is recommended.   
WRITING SEMINAR IN COML: DEVIANCE IN MODERN DRAMA,WRIT-027,/coursehistories/4452,Analytical Studies in Harmony.   
CRITICAL WRITING SEMINAR: DIGITAL LITERACIES,WRIT-030,/coursehistories/4453,Advanced techniques of score reading and general musicianship at the keyboard. Goals of the course include increasing proficiency in sight singing (including C clefs).Taking harmonic| melodic| and rhythmic dictations. Accurate performance of rhythms.   
