NAME,ALIAS,PATH,DESCRIPTION
NIGHTS & KNIGHTS OF LIT,WSTD-223,/coursehistories/1149,
GENDER AND THE FAMILY,WSTD-231,/coursehistories/1150,
INT'L WOM WAR & PEACE,WSTD-258,/coursehistories/1151,
GENDERPOLICY COMM SERV,WSTD-259,/coursehistories/1152,This course is especially designed as a first course in Hebrew literature. We will read and discuss Hebrew stories| poems and other texts in Hebrew. The The course is open to students who have near-advanced or advanced knowledge of Hebrew| with some reading experience. It will start from the first level| and through contemporary literature| columns from Israeli newspapers and popular culture (films| songs| sketches and bring the students gradually to an advance advanced level. On the way| we will follow Israeli culture as it deals with complex social| religious| and political issues in Israeli life.   
CONTEMP FEMINIST THOUGHT,WSTD-320,/coursehistories/1153,
SENIOR THESIS,WSTD-400,/coursehistories/1154,
ROME'S MEDITERR ECONOMY,ANCH-535,/coursehistories/109,A separate topic is offered in either the history of Ancient Near East| Greece or Rome.   
MASCUL IN NARR & PERFORM,ANTH-544,/coursehistories/143,Students will learn how to write| shoot edit and upload documentary films over the length of this two semester course. In the first part| students complete a series of hands-on formal training in filmcraft while they simultaneously identify a research subject that they will propose to depict in a documentary film. In the second part of the course students will produce the faculty-approved documentary themselves. The film's final cut must be screened by the end of the second semester. Students should expect to work on their projects outside class time. The school will provide basic filmmaking equipment- video cameras and computers for editing in labs. Students are responsible for all storage (computer drives)| tapes| dvds| and project relatedcosts.   
HOLLYWOOD "CLASSICS",CLST-204,/coursehistories/278,This course will introduce students both to several foundational texts of classical literature and to the study of popular culture. We will accomplish this through a comparison of ancient works with popular film. Students will read a number of well-known texts from antiquity| one or two 20th-century works| and view 8-12 (mostly) recent popular films that in some way "translate" classical themes| ideas| or methods of narration. We will examine the texts and films first within their cultural contexts and then against one another. This comparative approach will allow us to address a number of different themes| issues| and reading strategies. Topics and films may change slightly from year to year| but some likely themes include: Homer's Odyssey| Sophocles' Oedipus Rex| Apuleius' Golden Ass| Euripides' Hippolytus| Raymond Chandler's The Big Sleep| and a number of critical essays. Probable films include: Die Hard| Aliens| Angel Heart| and Mighty Aphrodite. Students should plan to attend weekly screenings in addition to the regularly scheduled course meetings.   
WRITING ABOUT LITERATURE,ENGL-001,/coursehistories/367,Usually housed in the Program for Comparative Literature| this seminar engages questions of literary genre| including its function as a mediating presence for thinking about audience| literary history| and the marketplace. The theme of the seminar will chnage with the instructor. Customarily this course will be affiliated with Communication within the Curriculum (CWIC)| and so will have a speaking and presentation component to it.   
WOMEN & LIT,ENGL-090,/coursehistories/391,This course will focus on questions of gender difference and of sexual desire in a range of literary works| paying special attention to works by women and treatments of same-sex desire. More fundamentally| the course will introduce students to questions about the relation between identity and representation. We will attend in particular to intersections between gender| sexuality| race| class| and nation| and will choose from a rich vein of authors: Mary Wollstonecraft| Jane Austen| Mary Shelley| Lord Byron| the Brontes| Christina Rossetti| George Eliot| Oscar Wilde| Henry James| Gertrude Stein| Zora Neale Hurston| E. M. Forster| Virginia Woolf| Nella Larsen| Radclyffe Hall| Willa Cather| Elizabeth Bishop| Jean Rhys| James Baldwin| Sylvia Plath| Bessie Head| Audre Lorde| Adrienne Rich| Cherr?e Moraga| Toni Morrison| Michael Cunningham| Dorothy Allison| Jeanette Winterson| and Leslie Feinberg.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
RENAISSANCE DRAMA: Challenges to Sex and Gender Norms on the Early Modern Stage,ENGL-233,/coursehistories/407,In this course| we will be reading both the Jewish and the Christian scriptures| with particular attention to English translations of Genesis| the Psalms and the Gospels. While the main focus will be on the scriptural texts| we will also be exploring how Medieval and Renaissance drama and poetry incorporated and transformed those texts. Readings for the course will include selections from the mystery plays| Julian of Norwich| and the poetry of John Donne| George Herbert| and John Milton.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
FEMINIST FAIRY TALES,ENGL-290,/coursehistories/423,The advanced women's studies course in the department| focusing on a particularaspect of literature by and about women. Topics might include: "Victorian Literary Women"; "Women| Politics| and Literature"; "Feminist Literary Theory";and similar foci.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
TOPICS LIT & SOCIETY: Race Space and Law in the 19th Century United States,ENGL-293,/coursehistories/425,This course explores an aspect of Postcolonial literature intensively; specific course topics vary from year to year.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
WOMEN IN FILM: WOMEN IN INTERN'L CINEMA,FILM-208,/coursehistories/443,
FOLKLORE AND SEXUALITY,FOLK-270,/coursehistories/491,Sexuality is usually thought of as being biological or social| divided into categories of natural and unnatural. Often misssed are its creative and communicative aspects. Examining the constructed social elements of sexuality requires attention be paid to folklore in groups| between individuals and on the larger platform of popular technological media. The most interesting locations for exploration are those places where borderlands or margins| occur between genders| orientations and other cultural categories. A field-based paper will be required that must include documentary research.   
WOMEN IN JEWISH LIT,GRMN-262,/coursehistories/554,This course introduces students of literature| women's studies| and Jewish studies to the long tradition of women as readers| writers| and subjects in Jewish literature. All texts will be in translation from Yiddish and Hebrew| or in English. Through a variety of genres--devotional literature| memoir| fiction| and poetry -- we will study women's roles and selves| the relation of women and men| and the interaction between Jewish texts and women's lives. The legacy of women in Yiddish devotional literature will serve as background for our reading of modern Jewish fiction & poetry from the past century. The course is devided into five segments. The first presents a case study of the Matriarchs Rachel and Leah| as they are portrayed in the Hebrew Bible| in rabbinic commentary| in pre-modern prayers| and in modern poems. We then examine a modern novel that recasts the story of Dinah| Leah's daughter. Next we turn to the seventeenth century Glikl of Hamel| the first Jewish woman memoirist. The third segment focuses on devotional literature for and by women. In the fourth segment| we read modern women poets in Yiddish| Hebrew| and English. The course concludes with a fifth segment on fiction and a memoir written by women in Yiddish| Hebrew| and English.   "Jewish woman| who knows your life? In darkness you have come| in darkness do you go." J. L. Gordon (1890)   
FRANCE-AGE OF TWO WW'S,HIST-202,/coursehistories/591,
MAJ SEM WORLD AFT 1800: CHINESE WOMEN'S HIST,HIST-206,/coursehistories/595,
