ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
ARTH-525,2016A,ANN L KUTTNER,3.33,2.83,3.67,3.67,3.17
ANTH-477,2007A,PATRICK MCGOVERN,3.50,2.00,4.00,3.50,2.50
ARTH-422,2007A,HOLLY PITTMAN,3.38,3.00,3.69,3.08,3.00
ARTH-521,2016A,JOANNA S SMITH,3.50,3.00,4.00,3.50,3.00
ARTH-528,2013A,LOTHAR HASELBERGER,3.75,2.75,4.00,4.00,3.00
CLST-275,2016C,KYLE MAHONEY,3.67,1.67,3.67,3.67,1.67
CLST-416,2003A,DONALD WHITE,2.50,2.00,2.88,2.13,1.50
CLST-515,2003A,NICHOLAS LOWELL STAPP,2.08,2.92,2.77,2.54,3.31
ANTH-557,2014C,CLARK LOWDEN ERICKSON,3.00,3.00,2.43,3.14,3.71
CLST-270,2010A,DAVID GILMAN ROMANO,3.10,2.56,3.30,2.78,2.56
ARTH-425,2013C,LAUREN M. RISTVET,3.25,3.50,3.75,3.50,3.50
ARTH-527,2003C,LOTHAR HASELBERGER,2.50,1.00,3.00,2.00,2.00
ANTH-556,2015A,HAROLD LEWIS DIBBLE,4.00,1.00,4.00,4.00,1.67
ARTH-420,2006A,ANN L KUTTNER,2.67,2.27,3.09,2.45,2.00
ARTH-518,2012A,YAEL R RICE,3.86,3.29,3.71,3.71,3.43
CLST-260,2010C,DAVID GILMAN ROMANO,2.86,2.14,3.43,2.71,2.43
CLST-410,2004A,JEAN MACINTOSH TURFA,2.93,3.29,3.14,2.93,3.43
ARTH-424,2005A,ANN BLAIR BROWNLEE,2.77,2.54,3.23,2.54,2.54
CLST-440,2006A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARTH-522,2005C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
CLST-411,2007C,THOMAS F TARTARON,3.80,3.00,4.00,3.75,3.50
ARTH-224,2014C,HOLLY PITTMAN,3.50,3.00,4.00,3.50,2.50
CLST-408,2007A,THOMAS F TARTARON,3.11,2.67,3.67,3.22,3.00
ARTH-221,2015A,ANN BLAIR BROWNLEE,2.94,2.07,3.06,3.07,2.14
CLST-532,2016A,THOMAS F TARTARON,2.75,3.33,3.25,3.67,3.67
ARTH-220,2012C,ANN L KUTTNER,2.43,2.43,3.29,2.71,2.29
ARTH-427,2015A,ANN L KUTTNER,3.33,3.20,3.67,3.60,2.60
