ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
ACCT-011,2004A,JACK TOPIOL,2.89,3.00,3.00,2.67,2.44
ACCT-012,2004A,PEGGY B DE PROPHETIS,2.92,2.08,2.92,2.25,2.08
ACCT-022,2003A,PEGGY B DE PROPHETIS,3.00,2.70,3.20,2.80,2.90
ACCT-101,2016C,NICHEL MERLMICHAEL ONG GABA,2.00,2.53,2.37,2.27,1.79
ACCT-102,2016C,DJAGORAN FRANTZ FAMIE,1.92,2.45,2.29,2.00,2.45
ACCT-202,2016A,MATTHEW CEDERGREN,2.87,2.80,2.87,2.10,1.60
ACCT-203,2014A,NICHOLAS J GONEDES,1.90,3.14,2.10,2.00,2.29
ACCT-205,2013C,JOHN B STINE,2.81,3.15,3.13,3.00,2.08
ACCT-208,2016C,KARL G FASSNACHT,2.62,1.08,2.85,2.00,1.28
ACCT-230,2007A,PAUL D NEUWIRTH,1.32,1.84,1.53,1.32,2.16
ACCT-201,2016C,ALLISON NICOLETTI,2.67,3.00,2.95,2.59,2.19
ACCT-243,2012C,ROBERT E VERRECCHIA,3.71,3.92,3.71,3.50,3.42
ACCT-411,2012A,BARRY G GROVE,3.60,2.75,3.64,3.50,2.75
ACCT-412,2011B,NORMAN C SIGMOND,2.82,2.33,2.73,2.80,2.56
ACCT-242,2016A,STEPHANIE A. SAVOR,2.93,3.25,2.93,2.70,3.05
ACCT-530,2005B,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ACCT-742,2016C,PAUL E FISCHER,3.00,2.82,3.29,2.91,2.91
ACCT-897,2016C,JENNIFER L. BLOUIN,3.50,3.50,3.58,3.50,2.80
ACCT-603,2012C,BRIAN J. BUSHEE,3.21,2.05,3.65,3.50,1.39
ACCT-604,2009C,LUZI HAIL,1.68,2.31,1.73,1.33,1.92
ACCT-608,2009C,STANLEY BAIMAN,2.38,3.18,2.83,2.37,2.84
ACCT-743,2016C,ROBERT E VERRECCHIA,2.85,3.60,2.81,2.38,3.52
ACCT-611,2016C,CHRISTOPHER ARMSTRONG,2.71,2.68,2.84,2.08,2.36
ACCT-612,2016C,ROBERT E VERRECCHIA,2.03,2.90,2.18,1.50,2.47
ACCT-613,2016C,LUZI HAIL,2.93,2.80,3.29,3.14,2.27
ACCT-706,2016A,CHRISTOPHER D ITTNER,2.68,2.22,3.23,2.78,2.39
ACCT-747,2016A,BRIAN J. BUSHEE,2.85,1.53,3.59,3.61,1.61
