ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
AFAM-015,2002A,TUKUFU ZUBERI,3.71,3.00,3.93,3.71,3.69
AFAM-171,2003A,YIWOLA AWOYALE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFAM-310,2003A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFAM-400,2004C,DONALD E BOGLE,3.63,2.11,3.53,3.53,2.16
AFST-181,2016A,ELAINE MSHOMBA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-243,2016A,YOHANNES HAILU,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-281,2016A,ELAINE MSHOMBA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-285,2008A,ELAINE MSHOMBA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ANTH-355,2002A,JULIA F PALEY,2.47,2.47,2.59,2.35,2.41
ANTH-416,2005A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ANTH-514,2007C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ENGL-081,2016A,SALAMISHAH TILLET,3.21,2.43,3.58,3.68,3.26
ENGL-280,2002A,JOSEPH N CLARKE,3.09,2.30,3.27,2.91,2.40
ENGL-293,2015A,SUVIR KAUL,3.00,3.00,3.00,3.00,2.67
ENGL-381,2013A,THADIOUS M DAVIS,3.18,2.70,3.18,3.10,2.90
HIST-075,2016A,CHEIKH ANTE MBACKE BABOU,2.98,1.94,3.16,3.19,2.42
HIST-176,2011C,JACQUELINE A AKINS,3.57,2.18,3.71,3.82,2.55
HIST-177,2012A,BARBARA D. SAVAGE,3.10,1.79,3.37,3.09,2.12
HIST-204,2016C,RICHARD SCOTT HANSON,2.67,2.13,2.44,2.88,2.88
HIST-214,2016A,STEVEN HAHN,2.38,2.14,2.50,2.71,2.29
HIST-363,2008A,ROBERT FRANCIS ENGS,3.38,2.23,3.46,3.08,2.54
HIST-489,2010A,CHEIKH ANTE MBACKE BABOU,3.15,2.25,3.54,3.42,2.50
LGST-218,2016A,JOSE F. ANDERSON,3.32,1.71,3.44,2.93,1.64
MUSC-075,2012A,WILLIAM E PARBERRY,2.62,2.29,2.76,2.64,1.43
SOCI-006,2016C,VANI S KULKARNI,2.73,2.33,2.70,2.78,2.56
URBS-405,2016A,ANDREW T. LAMAS,3.09,2.37,3.14,3.53,2.63
AFAM-001,2004A,SHASTA F JONES,3.14,2.00,3.14,3.00,2.29
AFAM-097,2002C,WALTER D PALMER,3.73,2.09,3.73,3.91,2.09
AFAM-271,2004A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFAM-278,2003A,LOUIS JOSEPH MASSIAH,4.00,3.00,4.00,4.00,4.00
AFST-225,2016A,AUDREY N. MBEJE,2.70,1.48,3.13,2.93,1.31
AFST-241,2015A,YOHANNES HAILU,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ANTH-303,2016A,GRETCHEN E. L. SUESS,2.25,2.25,2.50,3.50,3.00
ENGL-281,2016A,OMARI M WEEKES,3.75,2.29,3.75,3.86,2.43
ENGL-290,2016C,MARION KANT,3.50,2.00,3.75,3.50,1.75
RELS-113,2011C,ELIZABETH Q CHURCHILL,4.00,2.33,4.00,4.00,2.67
RELS-517,2016C,ANTHEA BUTLER,3.60,1.80,3.60,3.80,2.00
SOCI-112,2015C,JANICE FANNING MADDEN,2.18,2.08,2.27,2.42,2.08
SOCI-120,2016C,ALEXEY SHPENEV,2.12,2.64,2.51,2.38,3.09
SOCI-230,2015C,STEPHEN R. VISCELLI,2.44,2.60,2.44,3.00,2.00
SOCI-530,2015A,AMADA ARMENTA,3.23,2.92,3.00,3.25,3.25
AFAM-207,2002C,LOUIS JOSEPH MASSIAH,2.70,2.50,2.90,2.10,3.10
AFAM-270,2003C,YIWOLA AWOYALE,3.50,2.50,3.00,3.00,2.50
AFST-170,2016C,YIWOLA AWOYALE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-180,2016C,ELAINE MSHOMBA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-190,2016C,MARY JENNIFER HASTY,3.05,2.22,3.40,3.35,2.22
AFST-240,2016C,PAULOS NEGUSSE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-280,2016C,ELAINE MSHOMBA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AMES-159,2002C,DAVID M. GOLDENBERG,3.14,2.07,3.21,3.07,2.93
ANTH-214,2007A,TONYA N TAYLOR,3.08,2.85,3.46,3.62,3.85
ENGL-003,2005C,ADAM T HOTEK,3.92,2.08,3.85,3.92,2.62
ENGL-016,2016C,ELAYNA A BROWNE,3.75,2.50,4.00,3.75,3.50
ENGL-093,2012A,RITA BARNARD,3.29,2.57,3.71,3.29,2.57
ENGL-260,2015C,ELIZABETH F BLUM,4.00,2.00,4.00,4.00,1.75
ENGL-270,2016A,JENNIFER STERNAD PONCE DE LEON,4.00,3.00,4.00,4.00,3.00
FREN-231,2016C,GERALD J PRINCE,3.27,2.44,3.45,3.50,2.00
HIST-076,2016C,LEE V CASSANELLI,3.08,2.11,3.08,2.95,2.49
HIST-168,2016C,MARY FRANCES BERRY,2.57,2.47,3.00,2.81,2.63
HIST-484,2005C,BARBARA D. SAVAGE,4.00,2.73,3.91,3.80,2.91
RELS-117,2014C,ANTHEA BUTLER,2.00,1.67,2.00,2.67,2.00
RELS-412,2003C,LESLIE D. CALLAHAN,3.00,2.50,2.75,2.50,3.00
URBS-270,2016A,DOMENIC VITIELLO,3.27,2.08,3.47,3.42,2.50
URBS-472,2005C,THEODORE HERSHBERG,3.27,2.45,3.55,3.27,3.36
ENGL-283,2004A,JOAN DAYAN,3.00,3.25,3.00,3.00,3.25
ENGL-570,2016A,SALAMISHAH TILLET,3.25,2.57,3.38,3.57,3.00
LING-160,2009C,WILLIAM LABOV,2.88,1.00,3.25,2.00,1.83
MUSC-253,2003C,CAROL ANN MULLER,3.00,2.29,3.43,3.14,2.57
SOCI-041,2016C,DANIEL A COHEN,2.75,2.36,3.08,3.45,3.18
URBS-255,2010B,JURIS M MILESTONE,2.36,2.20,2.45,2.20,1.90
AFAM-301,2004C,EMEKA NWADIORA,4.00,1.80,4.00,3.80,2.40
ANTH-146,2005C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ASAM-009,2008A,JACQUELINE N SADASHIGE,3.31,1.56,3.63,3.75,1.69
ENGL-001,2008A,LYNNE RATLIFF,2.11,1.78,1.33,1.13,2.00
ENGL-057,2013A,DAVID KAZANJIAN,3.63,2.00,3.75,3.63,2.63
ENGL-113,2016C,JULIA A BLOCH,4.00,2.09,3.92,3.91,2.55
HIST-275,2016C,CHEIKH ANTE MBACKE BABOU,3.17,2.00,3.33,3.30,2.10
SOCI-135,2016C,HOCINE FETNI,1.66,1.96,1.94,2.06,1.43
URBS-540,2004C,ANDREW T. LAMAS,3.45,2.50,3.64,3.45,2.45
