ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
AFRC-001,2016C,SALAMISHAH TILLET,2.91,1.95,3.15,3.37,2.37
AFRC-302,2006A,SHAUN L. GABBIDON,4.00,2.00,4.00,4.00,3.00
AFRC-309,2014C,SUZANA E BERGER,1.67,1.67,1.67,2.33,2.00
AFRC-310,2008A,HOWARD C. STEVENSON,4.00,2.14,4.00,3.57,2.57
AFRC-532,2006A,ELIZABETH ALEXANDER,2.25,2.25,2.25,2.25,3.25
AFST-151,2016A,AUDREY N. MBEJE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-161,2016A,KOBINA OFOSU-DONKOH,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-171,2016A,YIWOLA AWOYALE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-181,2016A,ELAINE MSHOMBA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-211,2006A,EMEKA NWADIORA,3.90,1.70,3.90,3.80,1.70
AFST-225,2016A,AUDREY N. MBEJE,2.70,1.48,3.13,2.93,1.31
AFST-241,2015A,YOHANNES HAILU,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-251,2016A,LINDIWE MAGAYA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-271,2016A,YIWOLA AWOYALE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-281,2016A,ELAINE MSHOMBA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-285,2008A,ELAINE MSHOMBA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ANTH-018,2010A,SANDRA THEIS BARNES,3.36,2.50,3.50,3.08,2.75
ANTH-214,2007A,TONYA N TAYLOR,3.08,2.85,3.46,3.62,3.85
ASAM-150,2010A,FARIHA KHAN,2.67,2.60,3.17,2.80,2.80
ENGL-081,2016A,SALAMISHAH TILLET,3.21,2.43,3.58,3.68,3.26
ENGL-145,2016C,KATHRYN WATTERSON,3.40,2.00,3.60,3.75,2.50
ENGL-281,2016A,OMARI M WEEKES,3.75,2.29,3.75,3.86,2.43
HIST-075,2016A,CHEIKH ANTE MBACKE BABOU,2.98,1.94,3.16,3.19,2.42
HIST-169,2016A,ROBERT S NATALINI,2.03,2.68,2.33,2.26,2.62
HIST-170,2016C,JUDITH A GIESBERG,2.68,1.97,2.81,2.64,2.17
HIST-177,2012A,BARBARA D. SAVAGE,3.10,1.79,3.37,3.09,2.12
HIST-204,2016C,RICHARD SCOTT HANSON,2.67,2.13,2.44,2.88,2.88
HIST-363,2008A,ROBERT FRANCIS ENGS,3.38,2.23,3.46,3.08,2.54
HIST-530,2008A,BARBARA D. SAVAGE,3.67,3.22,3.89,3.67,3.11
LGST-218,2016A,JOSE F. ANDERSON,3.32,1.71,3.44,2.93,1.64
LING-161,2008A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
MUSC-158,2010A,TIMOTHY ROMMEN,3.19,2.04,3.74,3.52,1.88
MUSC-258,2014A,TIMOTHY ROMMEN,3.38,2.44,3.63,4.00,2.50
SOCI-001,2016C,COLETTE JOYCE,3.00,2.10,3.18,3.24,2.24
SOCI-006,2016C,VANI S KULKARNI,2.73,2.33,2.70,2.78,2.56
SOCI-120,2016C,ALEXEY SHPENEV,2.12,2.64,2.51,2.38,3.09
SOCI-230,2015C,STEPHEN R. VISCELLI,2.44,2.60,2.44,3.00,2.00
SOCI-300,2014C,ROBIN LISA LEIDNER,1.63,2.50,2.25,2.13,3.25
URBS-078,2007A,IRA HARKAVY,3.61,2.21,3.79,3.68,2.58
URBS-405,2016A,ANDREW T. LAMAS,3.09,2.37,3.14,3.53,2.63
AFRC-400,2016C,DONALD E BOGLE,3.35,2.38,3.41,3.75,2.92
AFRC-420,2016C,HOCINE FETNI,2.19,1.95,2.74,2.84,1.89
AFST-150,2016C,AUDREY N. MBEJE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-160,2016C,KOBINA OFOSU-DONKOH,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-170,2016C,YIWOLA AWOYALE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-180,2016C,ELAINE MSHOMBA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-190,2016C,MARY JENNIFER HASTY,3.05,2.22,3.40,3.35,2.22
