ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
AFST-181,2016A,ELAINE MSHOMBA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-185,2002A,ALWIYA S. OMAR,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-243,2016A,YOHANNES HAILU,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-281,2016A,ELAINE MSHOMBA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-285,2008A,ELAINE MSHOMBA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-490,2016C,MATTHEW T WINTERTON,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-493,2016A,REBEKAH S. CATON,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFAM-171,2003A,YIWOLA AWOYALE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AMES-460,2004A,DAVID P SILVERMAN,0.67,3.00,2.33,1.67,4.00
ANTH-018,2010A,SANDRA THEIS BARNES,3.36,2.50,3.50,3.08,2.75
ANTH-514,2007C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ENGL-260,2015C,ELIZABETH F BLUM,4.00,2.00,4.00,4.00,1.75
ENGL-280,2002A,JOSEPH N CLARKE,3.09,2.30,3.27,2.91,2.40
HIST-075,2016A,CHEIKH ANTE MBACKE BABOU,2.98,1.94,3.16,3.19,2.42
HIST-489,2010A,CHEIKH ANTE MBACKE BABOU,3.15,2.25,3.54,3.42,2.50
MUSC-022,2002C,CHARLES D. CARSON,2.60,1.93,3.07,3.07,2.33
PSCI-257,2013C,FRANCINE R FRANKEL,1.83,2.67,1.83,2.17,3.33
WSTD-258,2005A,ROSE MARIE KADENDE-KAISER,3.29,2.14,3.50,3.43,2.57
AFST-225,2016A,AUDREY N. MBEJE,2.70,1.48,3.13,2.93,1.31
AFST-241,2015A,YOHANNES HAILU,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-491,2016A,TRAVIS ALDOUS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-492,2016C,TRAVIS ALDOUS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFAM-271,2004A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AMES-062,2004C,JOSEF W WEGNER,2.61,2.00,2.74,2.39,2.16
ENGL-393,2013C,SUVIR KAUL,3.25,2.50,3.50,3.75,2.75
HIST-206,2016C,JANINE M VAN VLIET,2.25,1.75,2.25,3.00,2.25
MUSC-050,2016C,LAURA C DONNELLY,1.95,2.25,2.45,2.25,2.38
AFST-180,2016C,ELAINE MSHOMBA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-170,2016C,YIWOLA AWOYALE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-190,2016C,MARY JENNIFER HASTY,3.05,2.22,3.40,3.35,2.22
AFST-240,2016C,PAULOS NEGUSSE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-280,2016C,ELAINE MSHOMBA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFAM-270,2003C,YIWOLA AWOYALE,3.50,2.50,3.00,3.00,2.50
AMES-168,2002C,JENNIFER R. HOUSER,3.62,2.15,3.85,3.62,2.23
