ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
AMES-015,2005A,PARDIS MINUCHEHR,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AMES-016,2005A,TAJMAH ASSEFI-SHIRAZI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AMES-018,2004A,TAJMAH ASSEFI-SHIRAZI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AMES-020,2005A,ZEYNEP DENIZ OKSUZ,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AMES-030,2005B,HASSAN NITAMI,3.80,2.83,4.00,3.83,3.17
AMES-031,2005B,EMAD EL-DIN RUSHDIE AHMED,3.86,3.43,3.86,3.14,3.71
AMES-032,2005A,HASSAN NITAMI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AMES-033,2005A,JAMAL ALI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AMES-034,2004A,DINA AHMED AMIN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AMES-035,2005A,JAMAL ALI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AMES-046,2002A,STEPHEN J. TINNEY,1.92,1.65,2.44,1.55,1.55
AMES-050,2005A,MICHAEL A. CARASIK,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AMES-051,2005A,NECHAMA SATATY,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AMES-052,2005A,NECHAMA SATATY,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AMES-053,2005A,MAYA BUCHSBAUM,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AMES-054,2005A,MAYA BUCHSBAUM,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AMES-059,2005A,RONIT ENGEL,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AMES-061,2003A,JENNIFER R. HOUSER,3.57,2.57,3.86,3.71,2.43
