ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
ANCH-027,2016A,CAMPBELL AINSWORTH GREY,2.64,2.67,2.99,3.02,2.76
ANCH-120,2011B,DAVID C. URBAN,3.67,2.67,3.67,3.67,2.67
ANCH-535,2016C,CAMPBELL AINSWORTH GREY,3.00,3.00,4.00,4.00,4.00
CLST-132,2002A,ALEXANDER A BAUER,3.71,3.00,3.71,3.57,2.86
CLST-195,2006A,JEREMY JAMES MCINERNEY,2.74,2.63,3.30,3.07,2.46
ANCH-026,2016C,JEREMY JAMES MCINERNEY,2.60,2.94,3.33,3.46,3.00
ANCH-118,2015A,LINDA MEIBERG,3.00,3.00,3.00,3.00,3.00
AMES-025,2003C,TONIA SHARLACH NASH,2.82,2.00,3.00,2.91,2.00
CLST-314,2003C,BRENT D. SHAW,3.50,2.50,3.65,3.20,2.35
ANCH-150,2004A,JEREMY JAMES MCINERNEY,3.62,2.78,3.97,3.81,2.83
ANCH-210,2004A,ERIC KONDRATIEFF,3.75,2.25,3.88,3.63,2.50
ANCH-510,2004A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ANCH-323,2015A,JEREMY JAMES MCINERNEY,3.95,2.56,4.00,3.94,2.56
ANCH-512,2006A,CAMPBELL AINSWORTH GREY,3.57,3.43,3.57,3.43,3.86
ANCH-028,2006C,CAMPBELL AINSWORTH GREY,3.36,2.45,3.73,3.27,2.45
CLST-312,2013A,CYNTHIA DAMON,3.75,2.73,3.92,3.82,3.00
NELC-101,2016C,GRANT FRAME,2.50,2.00,2.55,2.53,2.00
CLST-119,2005B,JOSHUA J. GIESKE,3.31,2.44,3.88,3.63,2.73
ANCH-145,2005C,CAMPBELL AINSWORTH GREY,3.33,2.67,3.72,3.33,2.78
RELS-110,2009A,TODD C. KRULAK,2.38,2.00,2.88,2.50,2.00
RELS-216,2007C,MARC HIRSHMAN,3.50,2.50,3.75,3.75,2.25
ARTH-301,2016C,CHRISTOPHER PASTORE,2.88,2.38,3.00,3.29,3.13
ANCH-375,2009C,CAMPBELL AINSWORTH GREY,3.50,3.50,4.00,3.75,4.00
EALC-005,2009C,JEREMY JAMES MCINERNEY,2.93,2.51,3.74,3.82,2.44
ANCH-537,2008C,JEREMY JAMES MCINERNEY,3.56,2.56,3.89,3.67,2.67
NELC-242,2012A,GRANT FRAME,2.33,2.20,2.50,1.83,2.83
RELS-229,2008A,YUVAL HARARI,2.50,2.50,3.50,3.00,2.50
NELC-046,2015A,GRANT FRAME,2.26,2.18,2.55,2.32,2.44
RELS-004,2014A,ROSE E MURAVCHICK,3.40,2.78,3.80,3.56,2.89
ANCH-113,2011C,JULIA L. WILKER,3.33,1.67,3.50,3.17,2.33
ANCH-311,2015C,CAMPBELL AINSWORTH GREY,3.38,2.50,3.75,3.50,2.83
ANCH-209,2011C,CAMPBELL AINSWORTH GREY,2.83,2.80,3.83,3.40,3.00
CLST-115,2011C,CAMPBELL AINSWORTH GREY,3.30,2.50,3.50,3.60,3.30
CLST-145,2010A,CAMPBELL AINSWORTH GREY,3.12,2.50,3.52,3.32,2.59
ANCH-220,2012A,JULIA L. WILKER,3.29,2.00,3.43,3.33,2.50
ANCH-538,2012A,JULIA L. WILKER,4.00,3.00,4.00,4.00,4.00
CLST-353,2014C,JEREMY JAMES MCINERNEY,3.94,2.38,4.00,4.00,2.00
ANCH-146,2016C,JULIA L. WILKER,3.67,1.77,3.87,3.77,1.85
ANCH-212,2012C,CAITLIN C GILLESPIE,3.75,2.00,3.67,4.00,2.25
ANCH-330,2014A,JULIA L. WILKER,3.67,2.10,3.71,3.71,2.14
ANCH-219,2016C,LINDA MEIBERG,3.20,2.40,3.20,3.60,2.00
ARTH-118,2013C,BETH JUDAS,2.50,2.00,2.50,3.20,3.20
ANCH-301,2016C,CAMPBELL AINSWORTH GREY,3.50,2.50,4.00,3.50,2.50
CLST-118,2014C,JOSEPH A. FARRELL,3.00,2.80,3.40,3.60,3.60
CLST-117,2016A,JEREMY JAMES MCINERNEY,3.53,2.31,3.89,3.81,1.94
ANCH-302,2015C,JULIA L. WILKER,4.00,1.75,4.00,4.00,2.25
ANCH-384,2016A,JULIA L. WILKER,3.75,2.00,3.75,3.50,3.00
ANCH-501,2016A,CAMPBELL AINSWORTH GREY,1.50,2.00,1.50,0.00,3.00
NELC-243,2016A,GRANT FRAME,3.60,3.00,3.40,3.00,2.00
ANCH-305,2016C,JULIA L. WILKER,4.00,2.00,4.00,4.00,1.67
