ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
ANEL-460,2015C,DAVID P SILVERMAN,3.00,3.67,3.33,3.33,3.00
ANEL-576,2006A,DAVID M. GOLOMB,3.60,2.80,3.80,3.60,2.80
ANEL-541,2015C,GRANT FRAME,3.75,3.00,3.75,3.75,3.25
ANEL-560,2015A,DAVID P SILVERMAN,3.00,2.50,3.00,3.50,3.50
ANEL-575,2015C,MATTHEW GOLDSTONE,4.00,1.25,4.00,3.75,1.00
ANEL-246,2009C,STEPHEN J. TINNEY,3.25,3.33,3.25,3.67,3.33
ANEL-540,2012C,GRANT FRAME,3.00,4.00,3.00,3.00,4.00
ANEL-542,2010A,GRANT FRAME,3.75,3.00,3.75,4.00,3.00
ANEL-242,2008C,JEFFREY HOWARD TIGAY,3.20,2.60,4.00,3.60,2.20
ANEL-563,2014C,DAVID P SILVERMAN,3.25,3.67,3.50,3.33,4.00
ANEL-546,2015A,STEPHEN J. TINNEY,4.00,3.00,4.00,4.00,3.00
ANEL-446,2014C,STEPHEN J. TINNEY,3.50,3.50,3.50,3.50,3.00
ANEL-461,2014C,DAVID P SILVERMAN,3.50,3.33,3.50,3.33,4.00
ANEL-440,2015C,ILONA ZSOLNAY,4.00,4.00,4.00,4.00,4.00
