ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
ANTH-001,2016C,MEGAN C. KASSABAUM,2.91,2.39,3.23,3.03,2.27
ANTH-002,2016C,BRIAN J SPOONER,2.42,2.00,2.58,2.90,2.40
ANTH-003,2016C,JANET M MONGE,2.05,2.16,2.49,2.69,1.47
ANTH-009,2008A,WILLIAM B HAFFORD,2.80,2.10,3.20,2.80,3.00
ANTH-018,2010A,SANDRA THEIS BARNES,3.36,2.50,3.50,3.08,2.75
ANTH-105,2015A,PAGE SELINSKY,3.44,2.50,3.67,3.75,2.50
ANTH-112,2005A,MEGAN TRACY,2.64,2.36,2.82,2.73,2.73
ANTH-115,2008A,PAULA W. SABLOFF,3.00,2.29,3.00,2.93,2.86
ANTH-118,2003A,SANDRA THEIS BARNES,3.08,2.75,3.42,2.92,2.75
ANTH-121,2005C,RICHARD L ZETTLER,1.67,2.00,2.26,1.31,2.28
ANTH-133,2013C,CLARK LOWDEN ERICKSON,1.75,2.25,1.88,1.50,3.38
ANTH-139,2009B,JANE K HICKMAN,3.08,1.92,3.54,3.46,2.15
ANTH-140,2008A,SERAN E SCHUG,3.36,2.55,3.45,3.09,3.00
ANTH-151,2016C,ROBERT L SCHUYLER,2.85,1.42,3.23,3.08,1.58
ANTH-154,2010A,JANET CHRZAN,2.78,2.33,2.67,3.13,2.27
ANTH-166,2002A,MATTHEW A. TOMLINSON,3.67,1.50,3.83,3.58,1.67
ANTH-211,2007A,ROBERT W. PREUCEL,3.75,1.25,3.75,3.75,2.00
ANTH-221,2016C,MARIE-CLAUDE BOILEAU,3.00,2.56,3.44,3.56,2.56
ANTH-242,2005A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ANTH-245,2002A,KATHARINE MOORE,3.67,2.33,3.78,3.78,2.11
ANTH-246,2016A,THEODORE G SCHURR,3.50,3.25,3.25,4.00,3.25
ANTH-262,2004A,BRIAN J SPOONER,3.20,2.80,3.40,3.00,2.80
ANTH-270,2014C,KEVIN M BURKE,3.50,2.60,3.83,3.60,2.80
ANTH-280,2007A,CONSTANTINE V NAKASSIS,2.82,3.73,3.27,2.55,3.36
ANTH-310,2004A,FRANCES BARG,3.47,1.53,3.84,3.47,2.06
ANTH-312,2013C,FRANCIS E JOHNSTON,1.40,0.67,1.60,2.22,0.33
ANTH-323,2002C,JACQUELINE H FEWKES,3.75,2.50,3.75,3.25,2.50
ANTH-355,2002A,JULIA F PALEY,2.47,2.47,2.59,2.35,2.41
ANTH-410,2002A,FRANCES BARG,3.08,2.69,3.46,3.38,2.77
ANTH-416,2005A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ANTH-428,2002A,KATHARINE MOORE,2.91,2.27,3.73,3.18,2.45
ANTH-514,2007C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ANTH-518,2016A,GRETCHEN E. L. SUESS,2.75,3.25,3.25,3.50,3.50
ANTH-544,2002A,JAY T DAUTCHER,4.00,3.00,4.00,3.67,3.33
ANTH-556,2015A,HAROLD LEWIS DIBBLE,4.00,1.00,4.00,4.00,1.67
ANTH-594,2009A,MELVYN HAMMARBERG,3.11,1.78,3.33,2.67,1.67
ANTH-004,2016A,GREGORY P URBAN,2.20,1.97,2.37,2.24,2.08
ANTH-100,2016A,BRIAN J SPOONER,2.22,1.94,2.30,2.17,2.06
ANTH-106,2012C,THEODORE G SCHURR,2.88,2.13,3.11,2.88,2.63
ANTH-109,2012C,JORDAN E PICKRELL,1.92,2.00,2.08,1.90,2.30
ANTH-122,2016C,DEBORAH I OLSZEWSKI,2.36,2.87,3.00,2.73,2.60
ANTH-124,2005A,ALEXIS T BOUTIN,2.56,2.56,3.00,2.33,2.61
ANTH-127,2004A,PRAVEENA GULLAPALLI,2.77,1.85,3.08,2.46,2.38
ANTH-131,2003A,FREDRIK T. HIEBERT,3.38,1.46,3.77,3.62,2.23
ANTH-152,2010A,JANE KAUER,2.64,2.38,2.79,2.75,3.23
ANTH-188,2003A,ROBERT W. PREUCEL,3.57,2.29,3.29,2.57,2.14
ANTH-200,2012A,LAUREN M. RISTVET,3.20,2.75,3.40,3.75,3.00
ANTH-229,2008A,WILLIAM B HAFFORD,2.82,2.29,2.94,2.76,2.47
ANTH-254,2015A,CLARK LOWDEN ERICKSON,2.50,2.50,2.67,2.83,2.83
ANTH-303,2016A,GRETCHEN E. L. SUESS,2.25,2.25,2.50,3.50,3.00
ANTH-305,2014C,GRETCHEN E. L. SUESS,2.50,2.33,2.75,3.33,3.00
ANTH-306,2013C,M. KAMARI CLARKE,2.75,3.33,2.75,3.67,3.67
ANTH-314,2003A,FRANCES BARG,2.57,1.86,3.50,3.07,2.00
ANTH-341,2011A,SERAN E SCHUG,2.38,2.17,2.85,2.33,2.33
ANTH-415,2015A,KATHERINE M MOORE,4.00,2.80,4.00,3.60,2.80
ANTH-454,2016A,HAROLD LEWIS DIBBLE,3.00,2.60,3.14,3.20,1.60
ANTH-477,2007A,PATRICK MCGOVERN,3.50,2.00,4.00,3.50,2.50
ANTH-528,2013C,MARGARET M. BRUCHAC,4.00,3.50,4.00,4.00,3.50
ANTH-577,2007C,ROBERT J SHARER,4.00,3.33,4.00,4.00,3.00
ANTH-102,2012C,JORDAN E PICKRELL,2.81,2.06,2.88,2.88,2.13
ANTH-029,2002C,CATHERINE NEWLING,2.15,2.46,2.85,2.46,3.00
ANTH-069,2004C,JULIA OFFEN,2.38,2.31,2.81,2.38,2.00
ANTH-120,2007A,WILLIAM B HAFFORD,3.50,2.17,3.67,3.50,2.17
ANTH-123,2016A,ADAM E LEEDS,3.17,2.80,3.67,3.80,2.80
