ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
ARAB-002,2008A,KHALED SAYED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARAB-004,2008A,KHALED SAYED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARAB-032,2016A,SALWA SHISHANI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARAB-034,2016A,ABEER ALOUSH,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARAB-036,2016A,MBAREK SRYFI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARAB-038,2013A,MBAREK SRYFI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARAB-039,2015C,SALWA SHISHANI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARAB-001,2008C,KHALED SAYED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARAB-003,2007C,KHALED SAYED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARAB-031,2016C,EMAD EL-DIN RUSHDIE AHMED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARAB-033,2016C,SALWA SHISHANI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARAB-035,2016C,MBAREK SRYFI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARAB-037,2016C,EMAD EL-DIN RUSHDIE AHMED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARAB-433,2015C,ABEER ALOUSH,2.80,2.60,2.80,3.40,2.60
ARAB-131,2012B,EMAD EL-DIN RUSHDIE AHMED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARAB-133,2011B,EMAD EL-DIN RUSHDIE AHMED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARAB-436,2015C,JOSEPH E. LOWRY,3.50,3.25,4.00,3.75,3.00
ARAB-331,2016A,EMAD EL-DIN RUSHDIE AHMED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARAB-333,2015A,AHMAD ALMALLAH,2.50,2.75,2.00,2.50,2.00
ARAB-041,2015C,EMAD EL-DIN RUSHDIE AHMED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARAB-042,2016A,EMAD EL-DIN RUSHDIE AHMED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-509,2014A,ALI B. ALI-DINAR,3.50,4.00,4.00,4.00,3.50
ARAB-548,2012C,ALI B. ALI-DINAR,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARAB-135,2011B,ABEER ALOUSH,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARAB-533,2010A,JOSEPH E. LOWRY,3.71,3.43,3.86,3.86,2.86
ARAB-180,2016C,HALABI ISSAM NOUR,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARAB-549,2012A,ALI B. ALI-DINAR,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARAB-432,2016C,HUDA J. FAKHREDDINE,4.00,2.83,4.00,4.00,3.00
ARAB-043,2014C,KHALED SAYED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARAB-044,2015A,KHALED SAYED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARAB-434,2016A,HUDA J. FAKHREDDINE,3.33,2.33,4.00,4.00,2.67
