ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
ARCH-202,2016A,HALEE BOUCHEHRIAN,2.43,3.36,2.14,2.00,3.82
ARCH-302,2016A,LORI M GIBBS,3.38,4.00,3.38,2.86,4.00
ARCH-402,2015A,SCOTT L AKER,1.50,3.67,1.30,1.11,3.78
ARCH-412,2014A,DAVID E LEATHERBARROW,2.17,2.10,3.17,3.00,2.20
ARCH-440,2013A,HANNA D COHAN,3.07,2.86,3.36,2.50,3.14
ARCH-462,2002A,WITOLD M RYBCZYNSKI,3.00,1.75,3.25,3.00,1.75
AMES-393,2003C,FRANK L. CHANCE,3.30,1.96,3.52,3.30,2.30
ARCH-102,2016A,RICHARD WESLEY,3.22,3.23,3.35,3.41,3.71
ARCH-201,2016C,HALEE BOUCHEHRIAN,2.86,3.67,2.93,3.00,3.92
ARCH-301,2016C,JOSHUA J FREESE,3.63,2.71,3.75,3.71,2.71
ARCH-401,2016C,RICHARD WESLEY,3.33,3.75,3.40,3.15,4.00
ARCH-499,2002C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AMES-297,2002C,NANCY R S STEINHARDT,3.57,2.50,3.64,3.21,2.57
ARCH-438,2006A,ALI M. MALKAWI,3.50,2.63,3.75,3.50,2.50
ARCH-311,2007C,DAVID E LEATHERBARROW,2.86,2.43,3.36,3.14,2.29
EALC-258,2008C,NANCY R S STEINHARDT,3.33,2.79,3.53,3.20,3.00
REAL-821,2016C,ALAN F FELDMAN,2.76,2.20,2.85,2.44,2.76
ARCH-411,2016C,RICHARD WESLEY,3.00,1.79,3.38,2.71,1.71
IPD-527,2016A,PETER W. BRESSLER,2.50,2.58,2.45,2.37,2.89
ARCH-403,2010C,JASON S LEMPIERI,2.22,2.33,1.78,1.56,3.33
ARCH-101,2011C,WITOLD M RYBCZYNSKI,2.47,1.27,2.59,2.00,1.33
ARCH-255,2010C,LESLIE A BILLHYMER,2.87,1.96,2.06,1.89,2.39
EALC-229,2016C,NANCY R S STEINHARDT,3.67,3.09,3.92,4.00,3.18
ARCH-300,2012B,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARCH-103,2013C,RAFFAELLA FABIANI GIANNETTO,3.33,1.17,3.50,2.67,2.17
ARCH-111,2016C,DANIEL A BARBER,3.00,1.77,3.33,2.69,2.08
ARCH-312,2016A,DAVID E LEATHERBARROW,2.87,1.62,3.27,2.69,1.85
ARCH-314,2015A,JOHN TRESCH,3.92,2.83,4.00,3.73,2.83
ITAL-311,2016C,FABIO FINOTTI,3.60,2.00,3.80,3.40,2.20
ARCH-112,2016A,RAFFAELLA FABIANI GIANNETTO,3.13,0.60,3.47,2.80,1.10
ARCH-414,2016A,CHRISTINA SVENDSEN,3.00,2.33,3.00,2.67,2.67
ARCH-437,2016C,PATRICK L.P. MORGAN,2.38,3.17,2.50,2.80,3.17
