ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
ARTH-100,2016C,AARON LEVY,3.08,1.69,3.23,3.31,2.50
ARTH-101,2016C,LINDA MEIBERG,2.14,2.92,2.29,2.31,3.23
ARTH-102,2016A,LISA BOURLA,1.71,2.65,1.47,1.88,2.71
ARTH-106,2016C,LOTHAR HASELBERGER,3.47,2.52,3.73,3.71,2.52
ARTH-217,2013A,JULIA A PERRATORE,2.00,2.45,2.14,1.80,2.35
ARTH-221,2015A,ANN BLAIR BROWNLEE,2.94,2.07,3.06,3.07,2.14
ARTH-222,2014A,HOLLY PITTMAN,2.87,3.15,3.33,3.21,3.21
ARTH-240,2015C,TANYA A JUNG,3.88,2.86,3.88,4.00,2.71
ARTH-282,2012C,DAVID B BROWNLEE,3.44,2.75,3.56,3.56,2.81
ARTH-284,2011C,ANDRE DOMBROWSKI,3.70,2.53,3.80,3.65,2.88
ARTH-287,2013A,KAJA SILVERMAN,3.69,3.09,3.75,3.68,2.77
ARTH-289,2005C,MICHAEL LEJA,3.64,2.50,3.79,3.14,2.62
ARTH-301,2016C,CHRISTOPHER PASTORE,2.88,2.38,3.00,3.29,3.13
ARTH-408,2002A,MOLLIE MCNICKLE,3.00,2.43,3.14,2.71,2.14
ARTH-475,2002A,JON SEYDL,3.33,2.80,3.67,3.33,2.33
ARTH-522,2005C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARTH-523,2002A,ALEKSANDR LESKOV,2.00,3.00,2.00,3.00,2.00
ARTH-525,2016A,ANN L KUTTNER,3.33,2.83,3.67,3.67,3.17
ARTH-552,2011C,CHRISTOPHER PASTORE,3.00,2.64,3.18,3.09,2.91
ARTH-599,2009A,MICHAEL W MEISTER,3.25,2.00,3.75,3.00,2.33
AMES-430,2002A,S. NOMANUL HAQ,1.83,2.00,2.00,2.33,2.00
CLST-132,2002A,ALEXANDER A BAUER,3.71,3.00,3.71,3.57,2.86
HSSC-025,2004C,HENRIKA KUKLICK,1.78,1.44,3.11,1.67,1.56
ARTH-009,2007A,ERIKA TAPP,2.40,2.20,3.13,2.87,2.60
ARTH-211,2003A,DEBORAH E KLIMBURG-SALTER,1.57,2.43,2.29,1.71,2.43
ARTH-251,2010B,MAIA GAHTAN,3.40,2.13,3.90,3.63,2.38
ARTH-288,2015A,GEORGE H. MARCUS,2.50,2.30,2.50,2.90,2.50
ARTH-422,2007A,HOLLY PITTMAN,3.38,3.00,3.69,3.08,3.00
ARTH-512,2003A,MICHAEL W MEISTER,3.14,3.00,3.29,3.14,3.29
ARTH-521,2016A,JOANNA S SMITH,3.50,3.00,4.00,3.50,3.00
ARTH-528,2013A,LOTHAR HASELBERGER,3.75,2.75,4.00,4.00,3.00
ARTH-585,2015A,ELIZABETH LAMOTTE CATES MILROY,2.50,2.50,2.50,3.00,2.50
ARTH-588,2012C,MICHAEL LEJA,3.10,2.80,3.70,3.40,3.00
ARTH-500,2011A,LARRY SILVER,2.88,2.63,3.25,3.13,2.38
ARTH-104,2015C,MICHAEL W MEISTER,1.44,2.11,1.82,1.89,1.33
ARTH-213,2015C,JULIE NELSON DAVIS,2.94,2.31,3.29,3.23,2.42
ARTH-220,2012C,ANN L KUTTNER,2.43,2.43,3.29,2.71,2.29
ARTH-242,2008A,ROBERT A. MAXWELL,3.20,3.40,3.30,2.70,2.90
ARTH-252,2013A,CHRISTOPHER PASTORE,3.67,2.56,3.89,3.67,2.89
ARTH-271,2016C,DAVID B BROWNLEE,3.00,2.67,3.29,3.83,3.00
ARTH-280,2002C,NATASHA RUIZ-GOMEZ,3.00,2.68,3.23,2.77,3.00
ARTH-281,2016A,CAROL A HAGAN,3.36,2.33,3.40,3.57,2.29
ARTH-285,2010C,ANDRE DOMBROWSKI,3.47,2.55,3.52,3.38,2.75
ARTH-286,2016C,CHRISTINE POGGI,3.70,2.89,3.74,3.78,2.74
ARTH-293,2010A,REBECCA BUTTERFIELD,3.16,2.71,3.36,3.13,2.92
ARTH-295,2007A,GWENDOLYN D SHAW,3.33,2.20,3.67,3.60,2.40
ARTH-417,2012A,RENATA HOLOD,3.14,2.00,3.57,3.40,1.60
ARTH-492,2002C,REBECCA BUTTERFIELD,3.90,2.80,3.80,3.80,2.56
ARTH-513,2013A,JULIE NELSON DAVIS,3.33,2.91,3.67,3.73,2.82
ARTH-579,2002C,ZIRKA FILIPCZAK,2.80,2.40,3.80,2.80,2.00
ARTH-581,2009C,DAVID B BROWNLEE,3.43,3.14,3.63,3.63,3.13
ARTH-001,2008C,LOTHAR HASELBERGER,3.22,2.57,3.56,3.32,2.51
ARTH-212,2014C,MICHAEL W MEISTER,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARTH-218,2016A,BETH JUDAS,2.09,2.63,2.55,2.63,2.50
ARTH-223,2008C,BETH JUDAS,2.50,2.00,2.17,2.33,2.17
ARTH-241,2010A,ROBERT OUSTERHOUT,3.00,3.27,3.06,2.73,2.87
ARTH-255,2011C,CHRISTOPHER J NYGREN,3.73,2.80,3.73,3.67,2.73
ARTH-262,2016C,LARRY SILVER,3.58,2.45,3.92,4.00,2.18
ARTH-283,2010C,DAVID B BROWNLEE,3.38,3.24,3.65,3.48,3.08
ARTH-290,2014A,JULIE NELSON DAVIS,3.41,2.31,3.53,3.81,2.31
ARTH-424,2005A,ANN BLAIR BROWNLEE,2.77,2.54,3.23,2.54,2.54
ARTH-425,2013C,LAUREN M. RISTVET,3.25,3.50,3.75,3.50,3.50
ARTH-527,2003C,LOTHAR HASELBERGER,2.50,1.00,3.00,2.00,2.00
ARTH-586,2016C,JENNIFER RACHEL HIRSH,3.09,2.50,3.36,3.40,3.00
AFST-354,2008A,PAMELA BLAKELY,3.13,1.50,3.13,3.38,2.25
AMES-097,2003C,NANCY R S STEINHARDT,2.81,2.16,2.81,2.32,1.97
AMES-393,2003C,FRANK L. CHANCE,3.30,1.96,3.52,3.30,2.30
ARTH-224,2014C,HOLLY PITTMAN,3.50,3.00,4.00,3.50,2.50
