ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
ASAM-055,2002A,PARTHA MAZUMDAR,3.67,1.78,3.94,3.89,1.61
ENGL-012,2005C,PATRICIA D HOPKINS,1.87,2.20,2.33,2.07,2.53
ENGL-085,2015C,LANCE D. WAHLERT,3.31,2.33,3.50,3.63,2.67
ENGL-272,2015A,DAVID L. ENG,3.89,3.00,3.89,3.78,2.33
ENGL-393,2013C,SUVIR KAUL,3.25,2.50,3.50,3.75,2.75
HIST-155,2016A,EIICHIRO AZUMA,2.44,2.15,2.62,2.58,2.41
HIST-223,2010A,EIICHIRO AZUMA,3.14,2.57,3.57,3.43,2.71
SARS-206,2003A,DIDITI MITRA,2.20,3.40,2.20,2.40,4.00
SOCI-006,2016C,VANI S KULKARNI,2.73,2.33,2.70,2.78,2.56
SOCI-250,2002A,KRYSTYNA B. WARCHOL,2.72,1.94,2.89,2.83,2.28
ASAM-205,2015A,FARIHA KHAN,3.31,2.00,3.31,3.20,2.20
ASAM-232,2003A,JACQUELINE N SADASHIGE,3.45,1.91,3.82,3.82,1.73
ASAM-235,2003A,ANGELA R REYES,2.67,2.44,3.11,3.00,2.56
ENGL-003,2005C,ADAM T HOTEK,3.92,2.08,3.85,3.92,2.62
ENGL-008,2005A,CATHERINE J NICHOLSON,3.00,2.62,3.31,3.38,3.23
SOCI-596,2016A,GRACE KAO,2.80,2.20,3.40,3.40,2.30
ASAM-225,2002C,PARTHA MAZUMDAR,3.42,1.92,3.50,3.75,1.92
ASAM-244,2002C,TSIWEN M. LAW,3.75,2.75,3.50,4.00,2.25
ASAM-270,2007A,SRILATA GANGULEE,3.25,2.13,3.50,3.50,2.06
ENGL-072,2016C,JOSEPHINE NOCK-HEE PARK,3.05,2.26,3.43,3.23,2.34
HIST-104,2016C,MICHAEL ZUCKERMAN,2.75,2.36,2.83,2.91,2.91
HIST-354,2015C,EIICHIRO AZUMA,3.31,2.58,3.69,3.58,2.42
SOCI-103,2016C,PHOEBE HO,3.00,2.74,3.22,3.26,2.95
SOCI-300,2014C,ROBIN LISA LEIDNER,1.63,2.50,2.25,2.13,3.25
URBS-270,2016A,DOMENIC VITIELLO,3.27,2.08,3.47,3.42,2.50
ENGL-210,2004A,JEAN-MICHEL RABATE,2.78,2.67,3.56,3.11,2.67
HIST-374,2003C,EIICHIRO AZUMA,2.67,1.50,3.17,2.67,1.67
SARS-009,2003C,FARIHA KHAN,3.25,2.75,3.42,3.58,3.25
ASAM-009,2008A,JACQUELINE N SADASHIGE,3.31,1.56,3.63,3.75,1.69
ASAM-110,2016C,HIKARU KOZUMA,3.71,2.00,3.79,3.93,2.07
ASAM-150,2010A,FARIHA KHAN,2.67,2.60,3.17,2.80,2.80
SARS-012,2004A,S K GAMBHIR,3.56,1.83,3.72,3.28,2.28
ASAM-016,2004A,THERESE M LAFFERTY,2.75,1.44,2.56,2.67,2.00
ENGL-595,2015A,TSITSI E. JAJI,2.85,3.00,3.15,3.50,3.10
THAR-275,2016A,JAMES SCHLATTER,1.70,1.50,1.50,2.50,1.25
HIST-122,2009A,WAYNE PATTERSON,1.64,2.00,1.36,1.11,2.38
ASAM-017,2008C,FARIHA KHAN,3.63,2.00,3.75,3.75,2.13
ASAM-275,2007C,THERESE M LAFFERTY,3.80,2.00,4.00,4.00,2.10
SAST-052,2008C,S K GAMBHIR,3.71,2.29,3.86,3.29,2.43
SAST-310,2007A,SHEETAL NARENDRA MAJITHIA,3.00,2.67,3.33,3.33,3.00
ASAM-209,2010C,FARIHA KHAN,3.06,1.86,3.29,2.77,2.00
ENGL-016,2016C,ELAYNA A BROWNE,3.75,2.50,4.00,3.75,3.50
FOLK-321,2007A,MELTEM TURKOZ,2.67,1.67,3.33,3.33,2.67
ENGL-066,2015C,CAROLINE HENZE-GONGOLA,2.88,1.85,3.00,3.46,2.23
ENGL-241,2016A,CHI-MING YANG,3.18,2.73,3.67,3.27,2.80
SOCI-230,2015C,STEPHEN R. VISCELLI,2.44,2.60,2.44,3.00,2.00
ASAM-109,2008A,KALPEN S. MODI,3.06,1.94,3.22,3.50,2.28
SAST-212,2008A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ASAM-201,2015A,TAMARA K. NOPPER,2.79,1.69,3.11,3.25,2.00
HIST-231,2016C,HOPE MCGRATH,3.33,2.40,3.50,3.40,2.80
NELC-239,2016C,HEATHER SHARKEY,3.29,2.00,3.64,3.77,2.54
ENGL-293,2015A,SUVIR KAUL,3.00,3.00,3.00,3.00,2.67
ASAM-160,2016C,FARIHA KHAN,3.33,2.44,3.61,3.83,2.72
ARTH-294,2016A,KAJA SILVERMAN,3.65,3.17,3.77,3.80,3.10
ASAM-202,2016A,FNU KALYAN SUNDER,3.20,2.50,3.60,3.50,3.25
ASAM-170,2016A,MEETA KUMAR,3.38,1.83,3.69,3.67,1.83
ASAM-203,2015A,FRANKLIN S. ODO,2.00,1.25,3.80,2.50,1.25
ASAM-122,2016C,WAYNE PATTERSON,3.00,1.75,3.25,3.25,2.50
