ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
ASTR-001,2016C,MITCHELL F. STRUBLE,2.41,2.79,2.59,2.50,2.71
ASTR-006,2016A,CULLEN H. BLAKE,3.22,2.00,3.78,3.65,1.95
ASTR-007,2016C,ADAM LIDZ,2.43,2.83,2.76,2.72,2.39
ASTR-012,2015A,BHUVNESH JAIN,2.74,2.42,3.07,3.11,1.89
ASTR-150,2010A,JAMES AGUIRRE,2.21,2.57,2.64,2.07,2.71
ASTR-011,2013C,JAMES AGUIRRE,2.29,2.76,2.76,3.13,2.94
ASTR-003,2008A,GARY M. BERNSTEIN,2.55,2.87,3.13,2.66,2.47
ASTR-525,2005C,BHUVNESH JAIN,3.00,3.13,3.25,3.00,2.50
ASTR-005,2011A,GARY M. BERNSTEIN,2.98,2.94,3.47,3.06,2.65
ASTR-503,2014A,GARY M. BERNSTEIN,3.70,3.00,3.60,3.67,3.11
ASTR-533,2015C,MARIANGELA BERNARDI,3.75,2.50,4.00,3.75,2.50
ASTR-392,2015A,MASAO SAKO,3.19,3.19,3.73,3.24,2.57
ASTR-250,2016A,JAMES AGUIRRE,3.14,1.43,3.71,3.29,0.71
ASTR-211,2016C,MARIANGELA BERNARDI,2.89,2.50,3.21,3.25,2.13
ASTR-212,2016A,BHUVNESH JAIN,3.40,2.31,3.60,3.62,2.08
