ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
BEPP-201,2016C,ELLEN MAGENHEIM,2.20,2.00,2.84,2.37,2.08
BEPP-203,2016C,AYSE KAYA,3.34,2.56,3.70,3.47,2.40
BEPP-230,2016C,ROBERT P INMAN,3.40,3.11,3.73,3.49,2.34
BEPP-250,2016C,LAURENCE ANTHONY LIM GO,2.17,3.00,2.24,1.63,2.47
BEPP-289,2016A,STEPHEN S. GOLUB,2.90,2.61,2.88,2.53,2.58
BEPP-305,2016C,OLIVIA S. MITCHELL,2.19,2.74,2.37,2.28,2.32
BEPP-773,2016C,ROBERT P INMAN,3.35,1.50,3.48,3.36,1.67
BEPP-823,2016C,GEORGE VICTOR HALLMAN,2.43,2.27,2.46,1.82,1.59
BEPP-962,2015C,JOSEPH E. HARRINGTON,3.00,2.50,2.86,4.00,3.00
STAT-451,2016C,JEAN H LEMAIRE,3.07,3.27,3.43,2.70,2.18
STAT-453,2016C,JEAN H LEMAIRE,3.80,3.14,3.80,3.86,2.86
BEPP-210,2013A,KATJA SEIM,2.50,3.00,2.83,2.37,2.53
BEPP-214,2015A,ASHLEY SWANSON,2.50,2.07,2.69,1.57,2.00
BEPP-262,2014A,ARTHUR VAN BENTHEM,3.21,3.43,3.53,3.43,3.36
BEPP-762,2014A,ARTHUR VAN BENTHEM,3.00,2.71,3.38,3.21,3.14
BEPP-770,2013A,LAURENCE S. SEIDMAN,2.87,1.85,3.19,2.54,2.41
BEPP-932,2014C,DANIEL GOTTLIEB,3.10,3.00,3.50,3.57,2.43
BEPP-987,2013A,JEAN-FRANCOIS HOUDE,2.85,3.30,3.23,2.60,2.80
LGST-212,2016A,VINCENT S. J. BUCCOLA,3.43,2.06,3.73,3.81,2.06
OPIM-261,2015A,HOWARD KUNREUTHER,1.68,1.88,2.10,1.29,2.24
REAL-236,2016A,SUSAN M WACHTER,2.52,2.67,2.67,2.38,2.35
STAT-452,2016A,MONICA IONESCU,3.00,3.50,3.00,2.38,3.25
STAT-454,2015A,JEAN H LEMAIRE,2.88,2.69,3.06,2.69,2.15
BEPP-220,2015C,JEREMY TOBACMAN,1.29,3.33,1.38,1.22,1.78
BEPP-772,2013C,GILLES DURANTON,2.22,2.50,2.22,1.88,2.25
BEPP-811,2014C,JOAN LAMM-TENNANT,2.78,1.92,3.56,3.50,2.23
BEPP-931,2015C,ULRICH DORASZELSKI,3.27,3.07,3.47,3.07,3.43
BEPP-233,2016A,ROBERT T. JENSEN,3.45,2.13,3.73,3.70,2.10
BEPP-263,2016A,ARTHUR VAN BENTHEM,3.42,3.15,3.73,3.76,3.05
BEPP-763,2016A,ARTHUR VAN BENTHEM,3.63,3.25,3.75,3.50,3.33
BEPP-812,2015A,PATRICK E DEJARNETTE,3.50,1.88,3.45,3.25,1.83
BEPP-904,2015A,JEREMY TOBACMAN,2.57,1.92,2.64,2.54,2.46
REAL-708,2016A,JOSEPH E. GYOURKO,3.29,2.82,3.46,3.21,2.64
HCMG-895,2015C,KENT A. SMETTERS,3.29,2.29,3.12,2.94,2.44
OIDD-261,2016A,HOWARD KUNREUTHER,2.08,1.96,2.41,1.93,2.14
