ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
BE-210,2012A,CASIM A. SARKAR,2.89,3.25,2.89,2.61,3.87
BE-220,2016A,JASON A. BURDICK,2.00,2.43,2.56,2.14,2.00
BE-223,2004A,KEITH J. GOOCH,2.21,2.12,3.12,2.46,1.67
BE-301,2016C,GERSHON BUCHSBAUM,1.56,2.92,1.49,1.14,2.40
BE-310,2016A,DAVID F MEANEY,2.33,3.00,2.94,2.56,3.38
BE-350,2016A,ARJUN RAJ,1.71,3.17,1.22,1.03,2.22
BE-400,2016A,DAVID M. ECKMANN,3.28,1.71,3.08,3.15,2.24
BE-470,2016A,DANIEL KENT BOGEN,3.42,2.00,3.75,3.60,2.40
BE-490,2013A,LEANN M. DOURTE SEGAN,3.60,2.71,3.70,3.00,3.00
BE-492,2013A,LEANN M. DOURTE SEGAN,3.50,3.13,3.20,3.13,3.38
BE-496,2016A,MICHAEL RIZK,1.87,2.18,2.47,1.82,2.79
BE-497,2015C,BRITTANY A SHIELDS,3.00,2.50,3.40,2.50,2.50
BE-503,2002A,SOLOMON R POLLACK,2.77,2.23,3.31,3.00,2.38
BE-505,2006A,PETER W SCHERER,2.75,2.50,3.00,2.75,2.00
BE-511,2003A,KWABENA A. BOAHEN,2.33,2.00,3.00,2.67,2.67
BE-520,2008A,LEIF H. FINKEL,2.91,1.67,3.22,2.98,1.46
BE-526,2005A,KWABENA A. BOAHEN,3.00,2.00,3.50,3.00,3.00
BE-553,2016A,JASON A. BURDICK,3.38,2.29,3.64,3.39,2.23
CHE-554,2003A,SCOTT L DIAMOND,2.55,2.71,2.65,2.25,2.67
CHE-562,2002C,SCOTT L DIAMOND,2.37,2.52,2.81,2.37,2.26
BE-480,2014A,VADIM A. MARKEL,2.75,2.00,2.75,2.67,2.00
BE-510,2016A,LEANN M. DOURTE SEGAN,3.40,3.08,3.67,3.54,2.77
BE-512,2015C,PAUL DUCHEYNE,2.08,2.21,2.36,2.16,2.11
BE-100,2016C,MICHAEL RIZK,2.16,1.34,2.94,2.26,1.99
BE-200,2016C,LEANN M. DOURTE SEGAN,3.19,3.04,3.41,3.08,2.92
BE-209,2011C,DAVID F MEANEY,2.89,3.21,3.56,3.50,3.40
BE-305,2016A,CHRISTOPHER M. FANG-YEN,2.02,3.05,2.56,2.07,2.71
BE-309,2016C,DAVID F MEANEY,2.74,3.67,2.37,2.40,3.86
BE-324,2016C,DANIEL A. HAMMER,2.90,3.49,3.37,2.98,2.95
BE-450,2011C,ABRAHAM NOORDERGRAAF,1.45,1.68,1.84,1.70,1.87
BE-493,2002C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
BE-495,2016C,MICHAEL RIZK,1.61,1.32,2.74,2.22,1.96
BE-513,2012A,ELIZABETH WIDENBRANT,2.00,2.10,2.36,2.30,2.20
BE-550,2003C,ABRAHAM NOORDERGRAAF,3.50,3.00,4.00,3.50,3.50
BE-552,2008A,DANIEL A. HAMMER,3.53,3.33,3.80,3.47,3.27
BE-567,2015C,ARJUN RAJ,3.21,2.52,3.59,3.63,2.48
BE-515,2016C,KENNETH R FOSTER,1.93,2.46,2.07,1.65,2.58
BE-517,2007A,JOHN C. SCHOTLAND,2.92,3.17,3.00,2.67,2.33
CBE-562,2016A,SCOTT L DIAMOND,2.79,2.87,3.18,2.80,2.23
MATH-584,2016A,CHARLES L. EPSTEIN,2.00,3.80,2.23,2.00,3.60
MEAM-455,2007C,GEORGE BIROS,2.00,3.50,2.63,1.88,3.13
PHYS-582,2016C,JAROD FINLAY,3.00,2.93,3.33,3.33,2.93
BE-502,2016C,PAUL DUCHEYNE,1.57,1.89,1.61,1.26,2.19
CBE-554,2016C,SCOTT L DIAMOND,2.93,2.98,3.15,2.96,2.30
EAS-303,2005A,KENNETH R FOSTER,2.60,1.60,2.90,3.00,1.70
BE-402,2008A,PAUL DUCHEYNE,2.00,1.88,2.35,1.85,2.19
BE-440,2008C,CASIM A. SARKAR,3.17,3.44,3.72,3.29,2.50
BE-498,2013A,LEANN M. DOURTE SEGAN,3.17,2.60,3.00,3.20,3.40
BE-559,2010A,RAVI RADHAKRISHNAN,2.91,2.64,3.45,3.09,2.73
CBE-555,2016C,DENNIS E. DISCHER,2.35,2.40,2.52,2.26,2.80
EAS-280,2007A,DAWN ELLIOTT,3.18,1.06,3.12,2.82,1.47
ESE-539,2013A,NABIL H. FARHAT,1.31,2.54,1.48,1.50,2.17
BE-225,2015A,GERSHON BUCHSBAUM,2.25,1.00,3.00,3.00,1.00
BE-303,2012C,KENNETH R FOSTER,1.59,1.64,2.14,1.13,2.53
BE-483,2015C,ANDREW TSOURKAS,2.32,2.94,2.68,2.38,2.64
MSE-220,2016C,DAVID J. SROLOVITZ,2.47,3.76,2.93,2.85,3.38
BE-581,2005A,FELIX W WEHRLI,2.00,3.50,2.17,1.67,3.50
MSE-330,2016C,RUSSELL J COMPOSTO,3.22,2.94,3.52,3.56,2.28
BE-421,2009A,BRIAN LITT,3.56,2.69,3.74,3.81,2.88
BE-441,2013A,MAAMAR HEDIA,2.14,2.92,2.29,1.83,2.17
BE-459,2009A,RAVI RADHAKRISHNAN,2.78,2.88,3.17,2.88,2.88
BE-547,2016A,ANDREW TSOURKAS,2.17,3.00,2.33,2.33,3.00
CIS-537,2015A,JAMES C. GEE,2.13,3.42,1.80,1.82,3.42
BE-455,2014C,LEANN M. DOURTE SEGAN,3.57,2.86,4.00,3.43,2.71
BE-546,2016A,ANDREW TSOURKAS,1.25,2.29,2.57,2.40,2.43
BE-557,2013A,CHRISTOPHER S. CHEN,3.00,2.40,2.90,2.90,2.40
BE-099,2013A,LEANN M. DOURTE SEGAN,2.33,2.33,2.33,2.00,3.00
BE-521,2016A,BRIAN LITT,3.48,2.97,3.57,3.73,3.13
PHYS-585,2016A,VIJAY BALASUBRAMANIAN,2.91,3.20,3.13,3.24,3.12
BE-540,2015A,DANIEL A. HAMMER,2.80,2.11,2.90,2.67,2.00
BE-597,2016C,JASON A. BURDICK,3.75,3.00,3.29,3.33,3.67
BE-101,2016A,MICHAEL RIZK,2.13,1.83,2.42,1.97,1.97
BE-280,2012A,JASON A. BURDICK,3.71,0.86,3.57,3.14,1.57
BE-445,2012A,RAVI RADHAKRISHNAN,2.04,1.70,2.54,1.86,1.30
BE-486,2012A,GERSHON BUCHSBAUM,2.67,2.33,2.67,3.33,2.33
BE-518,2016C,CHRISTOPHER M. FANG-YEN,3.40,3.22,3.64,3.44,2.44
BE-586,2013A,GERSHON BUCHSBAUM,3.00,2.00,3.00,3.00,2.00
BE-558,2016C,BRIAN Y. CHOW,2.78,2.48,3.19,2.69,2.15
BE-306,2016C,RAVI RADHAKRISHNAN,0.90,2.24,1.43,0.63,2.21
BE-514,2016C,MICHELLE JILLIAN JOHNSON,2.09,2.34,2.30,2.21,2.93
