ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
BIBB-340,2008A,DAVID FRANCIS DINGES,3.55,1.04,3.75,3.57,0.84
BIBB-343,2005A,STEVEN J FLUHARTY,3.57,2.54,3.78,3.74,2.00
BIBB-370,2008A,LAURA L PEOPLES,2.28,2.52,2.13,1.56,1.74
BIBB-380,2007C,NEDRA LEXOW,3.50,2.56,3.67,3.50,3.11
BIBB-390,2007A,RONALD ROBERT ULM,3.36,1.50,3.57,3.43,1.79
BIBB-490,2007A,JUDD E. HOLLANDER,3.21,2.32,3.50,3.52,2.67
BIBB-491,2007A,JUDD E. HOLLANDER,3.57,3.14,3.29,3.57,3.29
BIOL-251,2016C,MARC F SCHMIDT,2.62,3.57,2.99,3.17,3.22
PSYC-127,2016C,HARVEY J GRILL,2.21,2.79,2.25,2.28,2.56
PSYC-133,2002A,JOHN D. CRAWFORD,2.34,2.68,2.82,2.02,2.09
PSYC-441,2008A,M FRANK NORMAN,2.30,2.40,2.15,1.95,2.20
BIBB-260,2015A,LORETTA MARIE FLANAGAN-CATO,2.79,3.03,2.88,2.89,2.66
BIBB-481,2016C,JENNIFER N HEERDING,3.50,2.19,3.81,3.69,1.94
PSYC-149,2016C,RICHARD JOHN DI ROCCO,3.23,2.73,3.46,3.64,2.09
PSYC-223,2007A,LAURA L PEOPLES,3.00,2.00,2.73,2.40,2.20
BIBB-109,2016C,MICHAEL KANE,2.70,3.19,2.65,3.13,3.13
BIBB-217,2016A,JUDITH MCLEAN,2.59,2.71,2.92,2.57,2.05
BIBB-269,2016A,JENNIFER N HEERDING,3.54,3.32,3.79,3.75,3.14
PSYC-131,2010A,ROBERT M SEYFARTH,2.80,2.65,3.15,3.04,2.49
BIBB-241,2007C,JOHN TEETER,2.62,1.85,2.62,2.08,1.54
BIBB-451,2016A,R. ARLEN PRICE,2.00,3.25,2.21,2.17,2.58
BIBB-350,2015C,JULIE MCGURK,3.55,2.72,3.77,3.50,2.83
BIOL-007,2005C,PHILIP L COHEN,2.79,2.29,2.79,2.29,1.71
BIBB-421,2016A,ANDREW B. NEWBERG,3.08,1.83,3.46,3.08,1.75
BIBB-482,2016A,NEDRA LEXOW,3.31,2.86,3.31,3.71,3.21
BIBB-492,2007A,MICHAEL KAPLAN,3.40,1.30,3.70,3.70,0.80
BIBB-150,2005A,STEVEN J FLUHARTY,3.75,1.88,4.00,4.00,2.38
BIBB-475,2016C,NEDRA LEXOW,3.32,2.80,3.19,3.65,3.50
BIBB-240,2016A,DAVID FRANCIS DINGES,3.51,2.15,3.65,3.70,1.61
BIBB-270,2016C,MICHAEL KANE,3.37,2.76,3.46,3.68,2.31
BIBB-320,2012A,JUDD E. HOLLANDER,2.62,2.94,2.38,2.56,2.94
BIBB-321,2012A,JUDD E. HOLLANDER,2.44,2.67,2.31,2.29,3.33
BIBB-410,2012C,RONALD ROBERT ULM,2.93,1.46,3.14,3.15,1.62
BIBB-480,2016C,NEDRA LEXOW,3.09,3.00,3.27,3.30,3.40
BIBB-020,2013C,RICHARD L DOTY,1.64,2.47,1.80,2.40,2.60
BIBB-040,2012C,LEE J. BROOKS,1.82,1.47,1.59,1.94,1.47
BIBB-460,2016A,LORETTA MARIE FLANAGAN-CATO,3.16,2.05,3.32,3.26,2.63
BIBB-409,2015A,SHERMAN C. STEIN,2.73,1.64,2.93,3.14,2.14
BIBB-430,2016A,VALERIE LEITMAN,2.70,2.44,2.75,3.11,2.50
BIOL-432,2014C,DOROTHY L CHENEY,3.39,1.92,3.56,3.58,2.08
BIOL-451,2015A,MARC F SCHMIDT,3.50,3.10,3.75,3.80,3.30
PHYS-585,2016A,VIJAY BALASUBRAMANIAN,2.91,3.20,3.13,3.24,3.12
PSYC-217,2012A,NICOLE RUST,3.05,2.35,3.10,3.03,2.18
PSYC-231,2014C,ROBERT M SEYFARTH,2.87,2.52,3.21,3.32,2.20
PSYC-473,2016C,JOSEPH W. KABLE,2.95,2.07,3.05,3.46,2.07
BIBB-010,2011C,NETA ZACH,3.06,1.71,3.18,3.24,2.29
BIOL-442,2014C,ISABEL MUZZIO,2.56,2.29,3.11,2.86,2.43
PSYC-451,2012C,ROBERT M SEYFARTH,3.00,2.00,3.40,3.50,2.17
BIBB-249,2015A,HAYLEY KLEITZ NELSON,2.58,2.76,2.70,3.00,2.69
PSYC-117,2010A,NICOLE RUST,2.30,2.98,2.40,2.04,2.49
BIBB-050,2016A,DANIEL D. LANGLEBEN,2.67,2.18,3.00,3.36,1.27
ANTH-207,2012A,EDUARDO FERNANDEZ-DUQUE,2.76,2.29,3.06,2.76,2.56
PSYC-417,2015A,NICOLE RUST,3.43,3.23,3.43,3.62,3.46
BIBB-060,2016A,MICHAEL KAPLAN,3.00,1.58,3.37,3.32,1.47
ANTH-104,2016C,THEODORE G SCHURR,1.76,2.55,1.86,2.16,2.32
BIBB-233,2016A,JUDITH MCLEAN,2.21,2.91,2.36,2.40,2.48
BIBB-207,2015A,R. ARLEN PRICE,2.18,3.15,1.94,1.92,2.31
BIBB-235,2014C,HAYLEY KLEITZ NELSON,3.13,2.54,3.37,3.63,2.56
BIBB-420,2016A,BRIAN C. LEWANDOWSKI,3.17,2.86,3.39,3.64,2.29
BIBB-030,2016C,MARC A DICHTER,2.95,1.57,3.45,3.15,0.86
BIBB-469,2016C,LAURA ANN GRAFE,3.16,2.42,3.47,3.58,2.21
BIBB-160,2016A,LORETTA MARIE FLANAGAN-CATO,3.65,1.11,3.70,3.58,1.68
BIBB-331,2016A,DAVID I. LEITMAN,1.43,2.58,1.39,2.05,1.95
