ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
BIOL-003,2008A,MICHAEL PARISI,2.43,2.57,2.57,2.00,1.86
BIOL-045,2004A,HELEN CONRAD DAVIES,2.91,3.18,3.00,2.36,3.36
BIOL-101,2016C,JOHN E. ZIMMERMAN,2.73,2.68,2.82,3.00,2.47
BIOL-102,2016C,DUSTIN R BRISSON,2.13,2.97,2.50,3.03,2.67
BIOL-122,2007A,DORIS WAGNER,2.64,3.30,2.85,2.33,3.02
BIOL-215,2016C,ELIZABETH M WOODWARD,2.39,2.61,2.47,2.50,2.71
BIOL-221,2016C,KIMBERLY L GALLAGHER,2.35,3.33,2.48,2.63,2.94
BIOL-229,2007B,NEDRA LEXOW,3.07,2.86,3.21,3.32,3.59
BIOL-230,2016A,PAUL STUTZ SCHMIDT,2.53,2.87,2.67,2.95,2.39
BIOL-251,2016C,MARC F SCHMIDT,2.62,3.57,2.99,3.17,3.22
BIOL-254,2003A,ERIC S WEINBERG,2.88,2.96,2.54,2.15,2.73
BIOL-321,2002A,RUTH SPORER,2.80,2.50,2.80,2.60,2.50
BIOL-325,2014A,PETER S PETRAITIS,3.06,2.46,3.40,3.18,2.00
BIOL-402,2014A,PHILIP ARTHUR REA,3.00,3.71,3.30,3.25,3.75
BIOL-404,2016C,MICHAEL P CANCRO,2.70,3.18,2.75,3.04,3.62
BIOL-409,2008A,INGRID L WALDRON,3.38,2.76,3.57,3.29,3.00
BIOL-411,2015A,TIMOTHY A. LINKSVAYER,2.81,2.14,3.00,3.08,2.43
BIOL-432,2014C,DOROTHY L CHENEY,3.39,1.92,3.56,3.58,2.08
BIOL-483,2016C,DORIS WAGNER,2.57,2.88,2.90,3.12,2.60
BIOL-488,2016A,EDWIN G. ABEL,3.31,3.00,3.38,3.60,3.00
BIOL-516,2004A,PAUL D. SNIEGOWSKI,3.25,3.00,3.75,3.75,3.25
BIOL-536,2010A,JUNHYONG KIM,2.37,3.18,2.70,2.46,2.56
BIOL-540,2016A,RICHARD SCOTT POETHIG,3.08,3.00,3.17,3.35,2.57
BIOL-544,2004A,WARREN J EWENS,3.50,2.75,4.00,4.00,2.25
BIOL-556,2013A,PETER S PETRAITIS,2.80,3.44,3.00,3.00,3.00
NURS-042,2010A,KAREN MOIRA HOGAN,2.55,3.18,2.79,2.73,3.09
BIOL-010,2004A,ROBIN M. SHERWOOD,2.54,1.43,2.93,2.36,1.71
BIOL-202,2014A,KRISTEN ASHLEY HIPOLIT,3.55,2.65,3.71,3.62,2.55
BIOL-306,2016C,DEBORAH E WEIL,3.47,3.18,3.18,3.29,3.24
BIOL-414,2014C,EROL AKCAY,2.67,3.00,2.75,2.80,2.50
BIOL-450,2009A,TIMOTHY A. BLOCK,3.60,2.40,3.60,3.20,1.75
