ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
BPUB-012,2002A,TAYYEB SHABBIR,3.00,2.35,3.24,2.94,2.35
BPUB-202,2007A,W. BRUCE ALLEN,2.04,2.21,2.43,2.11,1.96
BPUB-203,2012A,JEREMY TOBACMAN,2.73,2.69,2.73,2.25,2.13
BPUB-250,2012A,VIVEK SHAH,1.90,2.93,2.29,1.93,2.20
BPUB-567,2002A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
REAL-236,2016A,SUSAN M WACHTER,2.52,2.67,2.67,2.38,2.35
BPUB-030,2005A,JOSEPH JR. FUHR,2.92,2.15,3.23,3.31,1.92
BPUB-289,2011C,HOWARD PACK,2.81,2.77,2.74,2.79,2.50
BPUB-565,2003A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
BPUB-011,2004A,ROBERT M HUNT,2.29,3.24,2.52,2.14,2.14
BPUB-201,2011C,JANET ROTHENBERG PACK,1.56,2.57,1.56,1.21,2.59
OPIM-261,2015A,HOWARD KUNREUTHER,1.68,1.88,2.10,1.29,2.24
BPUB-288,2010A,HOWARD PACK,3.08,2.41,3.28,3.09,2.45
LGST-212,2016A,VINCENT S. J. BUCCOLA,3.43,2.06,3.73,3.81,2.06
BPUB-230,2011C,ROBERT P INMAN,3.06,2.73,3.23,3.03,2.12
BPUB-720,2010A,JUSTIN WOLFERS,2.43,2.71,3.13,2.89,2.71
BPUB-770,2012A,LAURENCE S. SEIDMAN,2.94,1.67,3.18,2.63,2.70
BPUB-777,2012A,ALEXANDER GELBER,2.54,2.44,2.67,2.50,2.00
BPUB-911,2010C,ULRICH DORASZELSKI,2.40,2.44,3.10,2.33,2.22
BPUB-987,2009A,KATJA SEIM,3.44,2.78,3.56,3.11,3.00
BPUB-772,2011C,JANET ROTHENBERG PACK,1.90,2.56,1.55,1.26,3.19
BPUB-789,2011C,HOWARD PACK,2.89,2.48,2.84,2.24,2.21
BPUB-798,2011A,ARMEANE M. CHOKSI,1.62,2.43,1.62,1.40,2.29
MGMT-784,2016C,LOUIS A THOMAS,1.76,1.47,1.76,1.40,1.53
BPUB-931,2011A,ULRICH DORASZELSKI,3.60,3.44,3.90,3.67,3.89
BPUB-962,2011A,ROBERT P INMAN,3.14,1.60,3.00,3.20,1.80
BPUB-210,2011C,LISA M GEORGE,2.07,2.50,2.07,1.64,2.07
