ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
BIOL-483,2016C,DORIS WAGNER,2.57,2.88,2.90,3.12,2.60
BIOL-540,2016A,RICHARD SCOTT POETHIG,3.08,3.00,3.17,3.35,2.57
BIOL-421,2016C,ERIC S WEINBERG,3.24,2.94,3.24,3.38,2.69
BIOL-480,2016A,XIAOHONG ZOU WITMER,2.71,2.86,2.86,2.86,3.57
BIOL-526,2013A,KIMBERLY L GALLAGHER,2.72,2.68,2.86,2.86,2.50
BIOL-539,2003C,MING H. YUK,2.33,3.00,2.33,2.00,2.67
BIOL-484,2016C,TATYANA M. SVITKINA,3.60,2.80,3.60,3.80,2.40
BIOL-482,2016C,JOHN D WAGNER,3.33,3.00,3.67,3.82,2.82
BIOL-486,2016A,MICHAEL A. LAMPSON,3.28,2.88,3.67,3.63,3.13
BIOL-488,2016A,EDWIN G. ABEL,3.31,3.00,3.38,3.60,3.00
BIOL-485,2016A,BRIAN D. GREGORY,3.71,2.93,3.79,3.71,2.79
BIOL-522,2016A,SARAH A. TISHKOFF,3.64,2.60,3.55,3.80,2.60
BIOL-422,2015A,SARAH A. TISHKOFF,3.04,2.74,3.20,3.30,2.52
BIOL-431,2016A,BRIAN D. GREGORY,3.28,2.82,3.66,3.50,2.21
BIOL-493,2015A,MORGAN A SAMMONS,3.17,2.67,3.58,3.50,2.58
