ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
CBE-150,2016C,DANIEL A. HAMMER,2.54,2.61,2.87,2.78,2.03
CBE-230,2016C,WEN K SHIEH,2.59,2.48,3.03,2.52,2.17
CBE-353,2016C,JOHN M VOHS,2.48,3.30,2.72,2.22,2.67
CBE-400,2016C,SEAN P. HOLLERAN,1.34,2.64,2.66,2.28,3.16
CBE-410,2016C,JOHN C. CROCKER,2.90,3.12,2.76,2.88,3.35
CBE-451,2016C,RAYMOND J GORTE,2.76,3.40,3.00,2.56,2.88
CBE-479,2016C,MIRIAM R. WATTENBARGER,2.04,2.50,2.04,2.05,3.09
CBE-562,2016A,SCOTT L DIAMOND,2.79,2.87,3.18,2.80,2.23
MEAM-302,2016C,PAULO CAMPOS ARRATIA,2.70,3.17,3.25,2.88,2.93
CBE-160,2016A,SEAN P. HOLLERAN,2.97,3.41,3.28,2.59,3.12
CBE-231,2016A,AMISH J. PATEL,1.93,3.44,1.89,1.36,2.92
CBE-351,2016A,SUE ANN BIDSTRUP,2.23,3.28,2.37,1.84,3.12
CBE-371,2016A,DAEYEON LEE,2.97,3.20,3.37,3.28,2.84
CBE-375,2016A,WEN K SHIEH,2.64,1.59,2.64,2.00,1.56
CBE-459,2016A,LEONARD A. FABIANO,2.03,3.03,2.36,2.07,3.48
CBE-460,2016A,WARREN D SEIDER,1.88,2.56,1.79,1.25,2.53
CBE-480,2016A,MIRIAM R. WATTENBARGER,2.56,2.43,2.94,2.50,3.43
CBE-554,2016C,SCOTT L DIAMOND,2.93,2.98,3.15,2.96,2.30
MSE-430,2016C,SHU YANG,2.84,2.91,2.84,3.03,2.67
CBE-555,2016C,DENNIS E. DISCHER,2.35,2.40,2.52,2.26,2.80
BE-440,2008C,CASIM A. SARKAR,3.17,3.44,3.72,3.29,2.50
BE-552,2008A,DANIEL A. HAMMER,3.53,3.33,3.80,3.47,3.27
CBE-508,2013A,WEN K SHIEH,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
CBE-350,2016C,SEAN P. HOLLERAN,3.29,3.31,3.70,3.08,3.04
CBE-563,2010A,EMMANUEL K. OBENG,2.17,2.59,2.08,1.95,2.77
CBE-580,2016C,MIRIAM R. WATTENBARGER,2.64,2.00,2.79,2.55,3.09
CBE-535,2016A,KATHLEEN J. STEBE,2.92,3.00,3.00,3.70,2.40
CBE-545,2015A,JOHN M VOHS,2.73,2.77,2.93,2.85,2.38
CBE-546,2016A,RAYMOND J GORTE,2.91,2.10,3.17,3.11,2.05
CBE-557,2016A,DENNIS E. DISCHER,1.57,2.27,1.81,1.93,2.33
BE-557,2013A,CHRISTOPHER S. CHEN,3.00,2.40,2.90,2.90,2.40
CBE-511,2016C,DAEYEON LEE,3.55,3.18,3.64,3.45,2.82
BE-540,2015A,DANIEL A. HAMMER,2.80,2.11,2.90,2.67,2.00
CBE-525,2016A,ROBERT A. RIGGLEMAN,3.38,3.50,3.63,3.50,3.50
CBE-564,2016A,MIRIAM R. WATTENBARGER,2.95,2.35,2.89,2.88,2.19
CBE-543,2016A,J. ANTHONY SAUDER,2.79,1.83,2.71,2.61,2.17
CBE-597,2014A,JASON A. BURDICK,4.00,2.00,4.00,4.00,2.00
CBE-541,2015A,RAVI RADHAKRISHNAN,2.71,3.00,2.29,3.00,3.20
CBE-522,2016C,SUE ANN BIDSTRUP,3.00,2.83,3.00,3.00,2.33
