ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
CHEM-022,2016C,PONZY LU,1.81,2.47,2.04,2.78,3.02
CHEM-024,2002A,ROBIN M. HOCHSTRASSER,3.25,1.50,3.75,3.75,1.50
CHEM-053,2016C,JENINE MAEYER,1.92,3.05,2.24,2.70,3.17
CHEM-054,2016C,JENINE MAEYER,1.77,2.92,2.42,2.33,3.28
CHEM-055,2008C,SUSAN R PHILLIPS,2.42,3.00,2.58,2.27,3.42
CHEM-101,2016C,NEIL C. TOMSON,1.81,3.35,2.07,2.54,3.04
CHEM-102,2016C,DONALD H BERRY,2.14,3.29,2.45,2.34,3.01
CHEM-222,2016A,ZAHRA FAKHRAAI,2.00,3.27,2.29,2.29,2.94
CHEM-223,2016A,SUSAN R PHILLIPS,2.92,3.00,3.38,3.29,3.50
CHEM-241,2016C,JEFFREY ADAMS,2.85,3.21,3.00,3.03,3.10
CHEM-242,2016C,MADELEINE M JOULLIE,2.18,3.33,2.31,2.25,3.55
CHEM-245,2016C,PATRICK WALSH,2.24,3.50,2.33,2.48,3.55
CHEM-251,2016C,BARRY S COOPERMAN,1.94,3.46,2.38,2.31,3.38
CHEM-452,2016A,PONZY LU,1.38,2.98,1.58,1.98,2.90
CHEM-462,2016C,DONALD H BERRY,2.90,2.89,3.00,2.90,2.44
CHEM-503,2010A,ROBERT J BRYAN,3.42,3.25,3.58,3.18,3.33
CHEM-507,2010A,SUSAN R PHILLIPS,3.22,3.22,3.11,3.22,3.11
CHEM-522,2016A,JEFFERY G. SAVEN,1.43,2.00,2.14,1.43,3.43
CHEM-524,2016A,ANDREW M. RAPPE,3.00,3.17,3.50,3.50,2.50
CHEM-526,2015A,FENG GAI,2.40,2.75,2.60,3.25,2.50
CHEM-011,2004A,MICHAEL FRYD,2.94,2.33,3.11,2.76,2.00
CHEM-557,2016A,BARRY S COOPERMAN,2.00,3.56,1.60,2.11,3.11
CHEM-001,2016C,ANTHONY J PIETROVITO,2.63,3.62,2.85,2.82,3.54
CHEM-015,2008C,ANDREW M. RAPPE,3.32,3.55,3.55,3.32,3.68
CHEM-023,2002C,ALAN G MACDIARMID,2.67,2.78,2.78,2.33,1.22
CHEM-221,2016C,MICHAEL RICHARD TOPP,1.74,3.66,1.85,2.08,3.18
CHEM-246,2016C,JISUN LEE,3.29,2.71,3.53,3.36,3.21
CHEM-261,2016C,PATRICK WALSH,2.28,2.87,2.22,3.07,2.67
CHEM-441,2016C,JEFFREY D. WINKLER,2.81,3.71,3.14,3.35,3.18
CHEM-443,2016C,DAVID M. CHENOWETH,2.67,3.22,3.17,3.50,3.17
CHEM-451,2016C,ELIZABETH RHOADES,2.87,2.83,3.02,3.15,2.88
CHEM-521,2016C,TOBIAS BAUMGART,3.29,2.50,3.25,3.13,2.25
CHEM-523,2016C,ANDREW M. RAPPE,3.60,3.40,3.40,3.20,3.90
CHEM-525,2016A,JESSICA M. ANNA,2.38,2.67,2.75,3.33,2.67
CHEM-541,2016C,MARISA KOZLOWSKI,2.45,3.50,2.55,2.50,3.40
CHEM-555,2010A,EMMANUEL SKORDALAKES,2.69,2.82,2.54,2.45,2.73
CHEM-564,2016A,NEIL C. TOMSON,2.41,2.92,2.45,2.42,2.88
CHEM-565,2016C,DANIEL J. MINDIOLA,3.30,2.90,3.30,3.30,2.60
CHEM-567,2016A,IVAN JULIAN DMOCHOWSKI,2.53,3.00,2.93,2.75,2.92
CHEM-012,2013A,IVAN JULIAN DMOCHOWSKI,1.41,3.00,1.71,1.72,2.67
CHEM-008,2006A,TRACEY C. OTIENO,3.00,0.50,2.25,2.50,0.50
CHEM-056,2008A,SUSAN R PHILLIPS,3.00,2.27,3.20,2.47,2.60
CHEM-511,2010A,ANTHONY J PIETROVITO,2.94,3.13,3.40,2.56,3.27
CHEM-501,2007B,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
CHEM-502,2007B,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
CHEM-504,2007B,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
CHEM-505,2007B,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
CHEM-506,2007B,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
CHEM-508,2007B,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
CHEM-512,2007B,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
CHEM-009,2008A,JODY A ROBERTS,3.36,1.86,3.86,3.71,1.86
CHEM-559,2010A,IVAN JULIAN DMOCHOWSKI,2.78,3.11,2.67,2.56,3.11
PHIL-027,2009A,GARY HATFIELD,2.73,2.89,3.09,2.78,2.67
CHEM-016,2010A,TOBIAS BAUMGART,2.73,2.93,2.93,2.60,2.67
CHEM-100,2010C,ANTHONY J PIETROVITO,3.60,2.60,3.80,3.60,2.40
CHEM-116,2016A,JOSEPH ELI SUBOTNIK,2.89,3.22,3.53,3.22,2.89
CHEM-115,2016C,FENG GAI,2.13,2.94,2.12,2.53,2.17
CHEM-025,2014C,JEFFREY D. WINKLER,2.83,1.89,3.25,3.44,2.11
CHEM-455,2013C,IVAN JULIAN DMOCHOWSKI,2.14,3.33,3.14,2.83,3.00
CHEM-243,2016A,DAVID M. CHENOWETH,3.19,3.50,3.25,3.49,3.56
CHEM-010,2016A,JENINE MAEYER,2.75,0.63,3.08,3.38,1.63
