ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
CHE-231,2003A,ERIC T. BODER,3.27,3.33,3.60,2.80,3.13
CHE-351,2003A,RAYMOND J GORTE,2.65,2.90,3.08,2.08,3.06
CHE-371,2003A,DAVID J GRAVES,1.50,2.11,1.56,0.76,2.06
CHE-459,2003A,LEONARD A. FABIANO,3.17,3.56,2.83,2.67,4.00
CHE-460,2003A,WARREN D SEIDER,2.94,2.81,3.13,2.38,3.13
CHE-480,2003A,DAVID J GRAVES,2.42,1.83,2.33,2.08,2.50
CHE-554,2003A,SCOTT L DIAMOND,2.55,2.71,2.65,2.25,2.67
CHE-562,2002C,SCOTT L DIAMOND,2.37,2.52,2.81,2.37,2.26
MSE-430,2016C,SHU YANG,2.84,2.91,2.84,3.03,2.67
CHE-160,2003A,JOHN M VOHS,2.86,2.73,2.95,2.23,3.18
CHE-375,2003A,WEN K SHIEH,3.00,2.27,3.37,3.17,2.13
CHE-150,2003C,ERIC T. BODER,3.00,2.93,3.25,2.57,2.18
CHE-230,2003C,WEN K SHIEH,2.80,3.00,3.20,2.93,3.13
CHE-353,2003C,JOHN M VOHS,3.23,2.85,3.46,2.92,2.92
CHE-400,2003C,WARREN D SEIDER,2.96,2.91,3.09,2.26,3.65
CHE-410,2003C,JOHN C. CROCKER,1.90,3.05,0.81,0.81,3.48
CHE-451,2003C,JOHN M. LEVINS,2.63,2.56,2.81,2.19,2.94
CHE-479,2003C,DAVID J GRAVES,1.95,2.00,2.38,1.48,1.71
BE-552,2008A,DANIEL A. HAMMER,3.53,3.33,3.80,3.47,3.27
MEAM-302,2016C,PAULO CAMPOS ARRATIA,2.70,3.17,3.25,2.88,2.93
