ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
CIS-502,2016C,SUDIPTO GUHA,2.39,3.75,2.38,2.22,3.07
CIS-511,2016A,SAMPATH KANNAN,3.18,3.59,3.45,3.26,2.97
CIS-551,2016C,MATTHEW BLAZE,2.77,2.25,3.06,2.88,2.13
BIOL-536,2010A,JUNHYONG KIM,2.37,3.18,2.70,2.46,2.56
CSE-452,2002A,MALIKA MAHOUI,3.67,2.67,3.67,3.17,2.83
CIS-505,2016C,LINH THI XUAN PHAN,3.24,3.23,3.35,2.87,3.43
CIS-530,2015C,ANI NENKOVA,2.37,2.09,2.47,1.97,2.41
LING-525,2016A,MARK YOFFE LIBERMAN,2.75,3.17,2.50,3.67,3.00
CIS-500,2016C,BENJAMIN PIERCE,3.37,2.97,3.67,3.15,2.97
CIS-501,2016C,JOSEPH L DEVIETTI,3.35,2.63,3.43,3.20,2.51
CIS-520,2016C,LYLE H UNGAR,2.66,3.30,2.62,2.79,3.43
CIS-550,2016C,SUSAN B DAVIDSON,2.64,2.46,2.83,2.42,2.48
CIS-560,2015C,ADAM D MALLY,3.00,3.47,3.13,2.97,3.53
CIS-570,2006C,E CHRISTOPHER LEWIS,3.46,1.62,3.92,3.77,1.23
CIS-580,2016A,JIANBO SHI,2.51,2.68,2.71,2.32,2.68
BIOL-537,2005C,WARREN J EWENS,3.45,3.00,3.55,3.55,3.27
CSE-410,2005C,MARCELO F. SIQUEIRA,2.75,2.00,3.00,2.75,2.00
CSE-434,2004C,HONGHUI LU,2.00,2.38,2.00,1.88,2.63
CSE-462,2005C,STEPHEN LANE,3.11,3.47,3.00,2.83,3.32
CIS-573,2016C,CHRISTIAN DANIEL MURPHY,3.14,1.73,3.52,3.35,2.08
CSE-455,2007A,ZACHARY IVES,3.75,3.56,3.88,3.63,3.94
CIS-537,2015A,JAMES C. GEE,2.13,3.42,1.80,1.82,3.42
CIS-564,2014A,STEPHEN LANE,2.77,2.13,3.00,3.00,3.13
PHIL-412,2014A,SCOTT WEINSTEIN,3.00,2.67,3.40,3.67,1.67
CSE-461,2005C,PAUL DIEFENBACH,1.75,2.00,2.17,2.04,2.33
CSE-482,2005C,RAJEEV S. ALUR,2.60,3.00,2.60,2.60,2.20
CIS-110,2016C,BENEDICT JULIAN BROWN,2.58,3.45,2.76,2.69,3.63
CIS-120,2016C,STEPHAN A. ZDANCEWIC,3.14,3.02,3.25,2.78,3.33
CIS-121,2016C,CHRISTOPHER CALLISON-BURCH,2.49,3.68,2.19,1.96,3.84
CIS-140,2016C,DAVID BRAINARD,2.44,2.28,2.82,2.43,2.27
CIS-240,2016C,JOHN SOKHA SENG,2.19,3.43,2.63,2.33,3.63
CIS-261,2016C,MAX MINTZ,2.71,3.00,2.94,3.07,2.43
CIS-262,2016C,AARON L ROTH,1.98,2.97,2.31,1.70,2.47
CIS-330,2013A,SUSAN B DAVIDSON,1.97,2.54,2.13,1.69,2.86
CIS-334,2015A,SUDIPTO GUHA,2.80,3.00,2.80,2.60,2.00
CIS-350,2016A,CHRISTIAN DANIEL MURPHY,2.89,1.80,3.38,3.14,2.33
CIS-380,2016C,BOON THAU LOO,2.52,3.62,2.62,2.03,3.80
CIS-390,2016C,KONSTANTINOS DANIILIDIS,2.67,2.88,2.78,2.75,2.75
CIS-391,2015C,MITCHELL PHILIP MARCUS,2.80,2.60,2.77,2.76,2.50
CIS-400,2016C,ANI NENKOVA,1.86,2.15,2.30,1.91,2.35
CIS-462,2016C,STEPHEN LANE,2.92,2.81,2.96,2.60,2.63
CIS-477,2010C,ARAVIND K JOSHI,2.11,1.47,2.39,1.80,1.47
