ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
CLST-009,2007A,MELODY L. MARK,3.75,1.75,3.92,3.75,2.25
CLST-112,2002A,KEITH R DEVRIES,2.00,1.25,2.00,1.00,2.25
CLST-130,2003C,RITA COPELAND,3.00,2.31,3.06,2.63,2.75
CLST-132,2002A,ALEXANDER A BAUER,3.71,3.00,3.71,3.57,2.86
CLST-135,2008A,ELIZABETH SUE WEBER,2.83,2.36,3.00,3.08,2.92
CLST-195,2006A,JEREMY JAMES MCINERNEY,2.74,2.63,3.30,3.07,2.46
CLST-200,2010A,JOSEPH A. FARRELL,2.52,2.28,2.57,2.25,2.79
CLST-204,2003A,JACQUELINE N SADASHIGE,3.24,2.04,3.50,3.71,2.25
CLST-310,2016A,JOHN J. MULHERN,2.92,1.91,3.08,3.18,2.55
CLST-352,2004A,RALPH ROSEN,3.47,2.53,3.89,3.58,2.63
CLST-360,2016C,RITA COPELAND,3.33,2.55,3.53,3.36,2.45
CLST-380,2002A,JOSEPH A. FARRELL,3.75,2.00,4.00,3.50,2.50
CLST-508,2002A,JACQUELINE N SADASHIGE,3.00,2.46,3.46,3.00,2.31
ANCH-120,2011B,DAVID C. URBAN,3.67,2.67,3.67,3.67,2.67
ARTH-221,2015A,ANN BLAIR BROWNLEE,2.94,2.07,3.06,3.07,2.14
ENGL-296,2016C,ANIA LOOMBA,3.33,3.00,3.38,3.45,3.09
RELS-302,2004A,JAY C. TREAT,4.00,2.33,4.00,3.33,2.33
CLST-275,2016C,KYLE MAHONEY,3.67,1.67,3.67,3.67,1.67
CLST-416,2003A,DONALD WHITE,2.50,2.00,2.88,2.13,1.50
CLST-515,2003A,NICHOLAS LOWELL STAPP,2.08,2.92,2.77,2.54,3.31
ENGL-330,2003A,SEAN KEILEN,3.76,3.05,3.86,3.85,3.00
CLST-170,2002C,RALPH ROSEN,3.21,2.00,3.71,3.36,2.36
CLST-270,2010A,DAVID GILMAN ROMANO,3.10,2.56,3.30,2.78,2.56
CLST-396,2014A,RITA COPELAND,3.50,3.07,3.81,3.79,2.79
CLST-500,2016C,EMILY R. C. WILSON,3.50,3.00,3.50,3.00,3.00
CLST-509,2003C,EMILY R. C. WILSON,2.67,4.00,3.67,3.00,4.00
CLST-530,2014A,RITA COPELAND,3.30,3.14,3.60,3.14,3.00
ENGL-365,2004A,VICKI L MAHAFFEY,3.75,3.13,4.00,3.67,3.17
PHIL-003,2016C,SUSAN SAUVE MEYER,2.70,2.16,3.15,2.72,2.20
PHIL-211,2016A,ANDREE HAHMANN,3.40,2.50,3.60,3.25,2.25
CLST-116,2003C,EMILY R. C. WILSON,3.00,2.27,3.64,2.73,3.09
CLST-314,2003C,BRENT D. SHAW,3.50,2.50,3.65,3.20,2.35
CLST-320,2014C,PETER T. STRUCK,3.17,2.75,3.28,3.38,2.81
CLST-513,2003C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARTH-220,2012C,ANN L KUTTNER,2.43,2.43,3.29,2.71,2.29
CLST-131,2004C,JAMES KER,3.19,2.13,3.38,2.75,2.38
CLST-302,2014C,SHEILA H MURNAGHAN,3.69,1.85,3.92,3.62,2.31
ARTH-420,2006A,ANN L KUTTNER,2.67,2.27,3.09,2.45,2.00
ENGL-231,2013C,ANIA LOOMBA,2.63,3.25,3.13,3.25,2.63
ENGL-329,2016A,ANNE D HALL,4.00,3.17,4.00,3.83,2.83
GAFL-570,2005C,JOHN J. MULHERN,3.70,2.20,3.70,3.10,2.90
CLST-167,2004A,EMILY R. C. WILSON,3.63,3.14,4.00,4.00,2.75
CLST-260,2010C,DAVID GILMAN ROMANO,2.86,2.14,3.43,2.71,2.43
CLST-353,2014C,JEREMY JAMES MCINERNEY,3.94,2.38,4.00,4.00,2.00
CLST-410,2004A,JEAN MACINTOSH TURFA,2.93,3.29,3.14,2.93,3.43
ANCH-150,2004A,JEREMY JAMES MCINERNEY,3.62,2.78,3.97,3.81,2.83
ANCH-210,2004A,ERIC KONDRATIEFF,3.75,2.25,3.88,3.63,2.50
ARTH-229,2014A,LOTHAR HASELBERGER,3.50,2.50,3.57,3.75,2.50
ARTH-528,2013A,LOTHAR HASELBERGER,3.75,2.75,4.00,4.00,3.00
ITAL-536,2004A,KEVIN BROWNLEE,2.73,2.93,3.00,2.73,3.57
THAR-275,2016A,JAMES SCHLATTER,1.70,1.50,1.50,2.50,1.25
CLST-101,2006A,ALEXANDRA PAPPAS,3.50,2.50,3.00,3.50,3.00
CLST-328,2015A,CHARLES BRIAN ROSE,3.60,2.44,3.80,3.67,2.33
CLST-371,2016A,RALPH ROSEN,3.33,1.90,3.55,3.50,2.00
CLST-440,2006A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
CLST-502,2006A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
CLST-523,2014C,PETER T. STRUCK,3.50,2.75,3.50,4.00,2.75
CLST-526,2016C,THOMAS F TARTARON,3.75,2.33,4.00,4.00,2.00
ANCH-323,2015A,JEREMY JAMES MCINERNEY,3.95,2.56,4.00,3.94,2.56
ARTH-424,2005A,ANN BLAIR BROWNLEE,2.77,2.54,3.23,2.54,2.54
ENGL-021,2015A,MARIE L TURNER,3.25,2.00,3.56,3.44,2.22
CLST-008,2007A,JACQUES A. BROMBERG,3.83,2.17,3.92,3.92,2.17
CLST-240,2012C,RALPH ROSEN,2.86,2.26,3.23,3.21,2.37
CLST-308,2015A,JOSEPH A. FARRELL,3.13,2.25,3.63,3.75,2.50
CLST-312,2013A,CYNTHIA DAMON,3.75,2.73,3.92,3.82,3.00
CLST-321,2007C,RITA COPELAND,3.42,2.25,3.67,3.50,2.58
CLST-432,2006C,SCOTT C DE BRESTIAN,4.00,2.50,3.50,3.00,3.00
ARTH-105,2015A,BETH JUDAS,2.33,3.50,2.33,2.50,4.00
ARTH-521,2016A,JOANNA S SMITH,3.50,3.00,4.00,3.50,3.00
COML-501,2016C,RITA COPELAND,3.57,3.08,3.79,3.08,3.00
CLST-141,2005B,JACQUES A. BROMBERG,3.86,2.43,3.57,3.57,2.71
CLST-190,2006B,JEREMY JAMES MCINERNEY,3.38,2.50,3.75,3.75,2.88
CLST-318,2005A,JOSEPH A. FARRELL,3.40,2.50,3.90,3.40,2.50
CLST-325,2008A,EMILY R. C. WILSON,3.30,2.40,3.00,3.00,2.20
ENGL-029,2009C,ANNA M FOY,3.25,2.45,3.33,3.18,2.82
PHIL-507,2009C,CHARLES H. KAHN,4.00,3.00,4.00,4.00,3.00
CLST-119,2005B,JOSHUA J. GIESKE,3.31,2.44,3.88,3.63,2.73
CLST-121,2005B,DANIELLE L. KELLOGG,3.71,1.86,3.86,3.86,2.14
CLST-108,2005C,CAMPBELL AINSWORTH GREY,2.69,2.44,3.50,3.00,2.94
CLST-114,2005C,ALEXANDRA PAPPAS,3.32,2.42,3.53,3.47,2.53
ANCH-145,2005C,CAMPBELL AINSWORTH GREY,3.33,2.67,3.72,3.33,2.78
ENGL-229,2016A,BRONWYN V WALLACE,2.56,2.38,2.94,3.13,2.19
ENGL-258,2014C,PAUL K. SAINT-AMOUR,3.88,3.20,3.94,3.93,3.07
CLST-311,2007C,CAMPBELL AINSWORTH GREY,3.89,2.56,4.00,3.89,2.75
CLST-316,2007C,SCOTT C DE BRESTIAN,2.45,2.45,3.00,2.09,2.45
CLST-370,2016C,JOHN J. MULHERN,3.38,1.67,3.38,3.00,2.50
CLST-406,2007C,PETER T. STRUCK,3.62,2.69,3.77,3.85,2.62
CLST-411,2007C,THOMAS F TARTARON,3.80,3.00,4.00,3.75,3.50
CLST-516,2008C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
