ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
COLL-001,2005A,ELLEN LEE KENNEDY,2.52,1.67,2.81,2.33,1.44
COLL-002,2005A,PAUL ROZIN,2.47,1.63,3.03,2.93,2.30
COLL-004,2005C,BARBARA FUCHS,2.60,2.40,3.40,2.80,3.10
COLL-100,2002A,PAUL A HEINEY,1.96,2.63,2.30,1.96,2.89
COLL-110,2003C,M. CECELIA BUCHANAN,3.50,2.67,3.00,3.00,2.83
ASTR-006,2016A,CULLEN H. BLAKE,3.22,2.00,3.78,3.65,1.95
COLL-003,2005C,DANIEL H JANZEN,3.40,2.40,3.80,3.00,2.40
HSSC-003,2005A,RUTH S. COWAN,1.95,2.29,2.10,1.67,2.14
PSYC-168,2008A,ROBERT OWEN KURZBAN,2.85,2.65,3.18,3.18,1.97
ARTH-001,2008C,LOTHAR HASELBERGER,3.22,2.57,3.56,3.32,2.51
GEOL-003,2006C,GINO C SEGRE,1.63,2.66,1.88,1.27,1.95
HSOC-010,2016A,RAMAH MCKAY,2.58,2.22,2.85,2.75,2.54
BIOL-003,2008A,MICHAEL PARISI,2.43,2.57,2.57,2.00,1.86
ENVS-200,2015C,YVETTE L BORDEAUX,2.92,3.08,3.23,3.25,2.58
GRMN-252,2004C,LILIANE WEISSBERG,2.93,2.59,3.63,3.22,3.07
HSSC-001,2005C,MARK B ADAMS,2.90,2.98,3.29,3.10,2.66
PHIL-422,2004C,GARY HATFIELD,3.50,2.94,3.31,2.75,2.69
VLST-101,2016A,MICHAEL LEJA,1.80,2.82,2.25,2.48,2.71
WSTD-002,2005C,MEGAN TRACY,2.81,2.33,2.90,2.57,2.90
AMES-065,2005A,NANCY R S STEINHARDT,1.94,2.56,2.38,1.63,2.63
ANTH-004,2016A,GREGORY P URBAN,2.20,1.97,2.37,2.24,2.08
ARTH-002,2010A,ANDRE DOMBROWSKI,2.82,2.80,2.75,2.59,2.82
CHEM-012,2013A,IVAN JULIAN DMOCHOWSKI,1.41,3.00,1.71,1.72,2.67
GEOL-103,2016C,MITCH A CRON,2.93,1.59,3.34,3.03,1.79
GRMN-253,2015A,LILIANE WEISSBERG,3.02,2.32,3.35,3.44,2.36
GRMN-256,2015A,SIMON J RICHTER,3.00,2.44,3.26,3.63,2.67
AFRC-001,2016C,SALAMISHAH TILLET,2.91,1.95,3.15,3.37,2.37
PHIL-025,2016C,RAPHAEL KRUT-LANDAU,2.86,2.18,3.33,3.47,2.24
ANTH-012,2016C,MAURO FEDERICO GUILLEN,2.71,1.69,3.50,3.48,2.16
GRMN-254,2005A,CATRIONA MACLEOD,2.63,2.79,2.89,2.58,3.42
PHYS-023,2005A,GINO C SEGRE,2.40,1.90,2.78,2.70,1.56
PSCI-317,2005A,BRENDAN O'LEARY,2.69,2.85,3.02,2.48,2.79
CLST-240,2012C,RALPH ROSEN,2.86,2.26,3.23,3.21,2.37
FREN-221,2015C,MICHELE RICHMAN,2.78,2.00,2.89,2.88,2.00
SPAN-221,2007C,ILIANA PAGAN TEITELBAUM,3.60,2.11,3.70,3.30,2.60
COLL-005,2007A,PETER CONN,3.67,2.80,3.53,3.53,3.20
FREN-222,2016A,GERALD J PRINCE,2.43,1.83,2.57,2.50,1.67
GRMN-216,2013A,SIMON J RICHTER,1.67,2.22,2.11,2.56,2.33
HEBR-359,2016A,NILI R GOLD,3.67,2.00,3.89,3.63,2.25
PHIL-027,2009A,GARY HATFIELD,2.73,2.89,3.09,2.78,2.67
PRTG-240,2016C,MERCIA S FLANNERY,3.27,1.29,3.64,3.71,1.71
RUSS-402,2008A,PETER STEINER,3.50,2.25,3.25,2.75,2.75
SAST-451,2007A,ALOK RAI,3.40,3.40,3.40,3.20,3.80
ITAL-203,2016A,MADDALENA BELLAVITIS,2.29,2.00,2.57,3.00,1.83
HEBR-259,2016C,NILI R GOLD,3.86,1.29,4.00,3.57,1.86
SAST-430,2008A,S K GAMBHIR,4.00,2.75,4.00,4.00,3.00
SPAN-222,2010A,JEAN O'BRYAN KNIGHT,3.25,2.30,3.42,3.10,2.60
COLL-135,2016A,ELIZABETH SUE WEBER,2.80,1.75,2.50,3.00,2.75
PRTG-221,2016A,MERCIA S FLANNERY,3.57,2.00,3.64,3.58,2.33
RUSS-485,2012A,PETER STEINER,3.50,3.00,3.50,3.00,2.50
ARAB-432,2016C,HUDA J. FAKHREDDINE,4.00,2.83,4.00,4.00,3.00
FREN-231,2016C,GERALD J PRINCE,3.27,2.44,3.45,3.50,2.00
