ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
COML-125,2016C,ROGER M A ALLEN,2.96,2.26,3.08,2.87,2.87
COML-180,2002A,PAUL CARRANZA,4.00,2.00,3.75,4.00,2.75
COML-192,2010A,CHRISTOPHER A. HUNTER,3.25,2.25,3.50,3.75,2.25
AMES-151,2003C,DAVID M. STERN,3.33,2.42,3.67,3.50,2.42
AMES-154,2004A,NILI R GOLD,2.92,1.83,3.33,3.08,1.92
AMES-225,2005A,ROGER M A ALLEN,2.36,1.95,3.64,3.45,2.09
AMES-255,2004A,JEFFREY HOWARD TIGAY,3.86,1.86,4.00,3.86,2.00
CLST-200,2010A,JOSEPH A. FARRELL,2.52,2.28,2.57,2.25,2.79
CLST-204,2003A,JACQUELINE N SADASHIGE,3.24,2.04,3.50,3.71,2.25
CLST-360,2016C,RITA COPELAND,3.33,2.55,3.53,3.36,2.45
ENGL-001,2008A,LYNNE RATLIFF,2.11,1.78,1.33,1.13,2.00
ENGL-078,2016C,RAHUL MUKHERJEE,1.90,2.37,1.73,1.91,2.23
ENGL-100,2016A,RITA BARNARD,3.43,2.23,3.71,3.62,2.62
ENGL-104,2015C,DEBORAH S BURNHAM,3.65,1.73,3.82,3.73,2.60
ENGL-204,2004A,JEAN-MICHEL RABATE,3.61,2.89,3.74,3.16,2.63
ENGL-261,2015C,ALAN J FILREIS,3.79,2.67,3.76,3.86,2.75
ENGL-293,2015A,SUVIR KAUL,3.00,3.00,3.00,3.00,2.67
ENGL-393,2013C,SUVIR KAUL,3.25,2.50,3.50,3.75,2.75
GRMN-251,2002A,WALTER GEERTS,3.14,1.71,3.29,3.00,1.57
GRMN-256,2015A,SIMON J RICHTER,3.00,2.44,3.26,3.63,2.67
HIST-322,2002A,JONATHAN STEINBERG,3.59,2.52,3.75,3.59,2.60
ITAL-080,2006C,VICTORIA E KIRKHAM,2.73,2.00,2.73,2.27,2.13
ITAL-534,2009A,VICTORIA E KIRKHAM,1.14,2.14,1.00,1.29,2.43
RELS-003,2013A,E ANN MATTER,2.06,2.10,2.25,2.15,1.93
RELS-535,2005C,ROBERT A KRAFT,2.88,3.00,3.38,3.13,2.88
AMES-256,2005A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ENGL-090,2016C,DAVID WALLACE,3.25,2.33,3.81,3.43,2.27
ENGL-210,2004A,JEAN-MICHEL RABATE,2.78,2.67,3.56,3.11,2.67
ENGL-255,2014A,EMILY STEINLIGHT,3.53,2.71,3.79,3.82,3.50
ENGL-260,2015C,ELIZABETH F BLUM,4.00,2.00,4.00,4.00,1.75
ENGL-360,2015A,MICHAEL C GAMER,3.85,2.82,3.92,3.91,3.09
ENGL-531,2003A,SEAN KEILEN,4.00,3.75,4.00,4.00,3.38
ENGL-540,2009A,CHI-MING YANG,2.80,3.00,3.50,2.90,3.20
FREN-382,2014A,PHILIPPE CHARLES MET,3.00,1.75,2.76,2.75,1.75
ITAL-310,2010A,VICTORIA E KIRKHAM,2.33,2.88,2.56,2.00,3.00
ITAL-540,2015A,EVA DEL SOLDATO,3.47,2.31,3.73,3.69,2.62
PHIL-028,2014A,MILTON W. MEYER,3.50,3.00,3.75,3.67,2.67
RELS-436,2006A,WILLIAM C. GRUEN,2.80,2.70,2.40,2.60,2.60
RELS-538,2005A,STEPHEN N DUNNING,2.67,2.67,2.67,2.40,3.00
RUSS-125,2011A,SARAH KERMAN,2.70,2.30,2.70,2.05,3.25
RUSS-150,2003A,KEVIN M.F. PLATT,2.58,2.25,2.89,2.42,2.44
SARS-203,2003C,ADITYA BEHL,3.57,2.57,3.57,3.14,2.86
SARS-217,2004C,MUHAMMAD ASLAM SYED,2.67,2.00,3.67,3.33,2.33
WSTD-201,2003A,DEBORAH L. SHAPPLE,3.50,2.46,3.58,3.46,2.77
AMES-259,2005A,NILI R GOLD,3.80,2.40,3.90,3.90,2.40
COML-250,2008B,SARAH KERMAN,2.57,2.57,2.57,2.29,3.57
COML-301,2003B,THOMAS KELSO,3.25,3.29,3.50,3.00,2.88
WSTD-266,2003B,MONICA POPESCU,3.80,2.20,3.60,3.40,2.60
COML-191,2010C,SARAH KERMAN,2.17,2.33,1.33,1.50,3.17
AMES-187,2004C,LINDA H. CHANCE,2.83,2.50,2.75,2.25,2.58
AMES-243,2004C,DAN BEN-AMOS,2.00,2.74,2.52,2.17,2.78
AMES-356,2004C,DAVID M. STERN,3.45,2.65,3.70,3.50,2.58
AMES-434,2004C,ROGER M A ALLEN,3.17,2.75,3.67,3.33,3.25
AMES-485,2002C,AYAKO KANO,4.00,3.17,4.00,3.50,3.67
CLST-396,2014A,RITA COPELAND,3.50,3.07,3.81,3.79,2.79
CLST-530,2014A,RITA COPELAND,3.30,3.14,3.60,3.14,3.00
ENGL-102,2016C,JOAN E LUBIN,2.21,2.43,2.64,2.64,2.71
ENGL-291,2013C,TIMOTHY CORRIGAN,3.23,2.23,3.62,3.54,2.31
ENGL-304,2003C,JEAN-MICHEL RABATE,3.22,2.83,3.67,3.06,2.67
FOLK-532,2002C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
GRMN-244,2016C,CATRIONA MACLEOD,2.41,2.13,2.80,2.92,2.17
GRMN-550,2011A,SIMON J RICHTER,1.50,2.50,2.50,1.00,3.00
ITAL-537,2013C,KEVIN BROWNLEE,2.50,2.00,2.50,3.00,2.00
ITAL-590,2002C,MILLICENT J MARCUS,3.50,2.50,3.83,4.00,2.50
WSTD-238,2003C,MAGGIE N. NASSIF,2.36,2.18,2.45,2.55,1.82
COML-100,2011C,VLADISLAV T. TODOROV,1.82,1.81,1.53,1.50,2.34
COML-450,2003C,NANCY M SHAWCROSS,2.25,2.25,2.38,2.38,2.75
COML-501,2016C,RITA COPELAND,3.57,3.08,3.79,3.08,3.00
AMES-233,2003C,ROGER M A ALLEN,3.62,3.15,4.00,3.62,3.08
ENGL-597,2014A,ZACHARY LESSER,3.71,2.67,3.86,3.67,2.83
FOLK-531,2012C,DAN BEN-AMOS,4.00,3.50,4.00,4.00,3.33
FOLK-546,2003C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
FREN-250,2015C,JOAN ELIZABETH DEJEAN,2.57,1.67,3.00,2.67,2.17
FREN-590,2016A,LYDIE MOUDILENO,3.33,3.17,3.50,3.83,3.17
GRMN-242,2013C,LILIANE WEISSBERG,3.28,2.12,3.53,3.59,2.29
GRMN-257,2012A,CATRIONA MACLEOD,3.36,2.25,3.27,3.50,2.38
ITAL-535,2016C,KEVIN BROWNLEE,3.67,2.33,3.83,3.83,2.50
ITAL-562,2010C,VICTORIA E KIRKHAM,1.75,2.25,1.50,1.25,2.50
PHIL-525,2015C,MICHAEL WEISBERG,3.40,2.75,3.40,3.50,2.50
RELS-525,2006A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
RELS-539,2009C,STEPHEN N DUNNING,2.00,3.33,2.25,2.00,3.00
SOCI-561,2015A,RANDALL COLLINS,3.00,2.50,3.42,3.55,2.60
COML-009,2008A,EMILY C. WEISSBOURD,2.43,2.71,2.93,2.29,3.29
COML-360,2008A,ROMAN DE LA CAMPA,3.36,3.07,3.79,3.14,2.79
AMES-118,2004A,PARDIS MINUCHEHR,2.83,1.33,2.50,2.08,2.17
ARTH-586,2016C,JENNIFER RACHEL HIRSH,3.09,2.50,3.36,3.40,3.00
CLST-302,2014C,SHEILA H MURNAGHAN,3.69,1.85,3.92,3.62,2.31
ENGL-059,2016A,ELIZABETH F BLUM,3.83,2.33,4.00,4.00,2.50
ENGL-096,2016C,JEANNE VACCARO,3.05,2.00,3.30,3.37,1.88
ENGL-231,2013C,ANIA LOOMBA,2.63,3.25,3.13,3.25,2.63
GRMN-258,2015C,IAN THOMAS FLEISHMAN,3.07,2.54,3.20,3.15,3.00
HIST-093,2013A,ROBERT ST.GEORGE,2.40,2.00,3.00,3.67,1.67
ITAL-232,2010C,VICTORIA E KIRKHAM,3.55,1.91,3.45,3.55,2.27
RUSS-185,2005A,SHARON LUBKEMANN ALLEN,2.63,2.75,3.00,2.13,2.75
COML-194,2004A,SARI KAWANA,2.20,2.10,2.30,1.70,2.60
AMES-359,2004A,NILI R GOLD,3.58,2.42,3.67,3.67,2.17
ARTH-411,2016A,MICHAEL W MEISTER,2.67,2.00,2.67,2.67,2.33
CLST-167,2004A,EMILY R. C. WILSON,3.63,3.14,4.00,4.00,2.75
ENGL-093,2012A,RITA BARNARD,3.29,2.57,3.71,3.29,2.57
ENGL-095,2004A,SUVIR KAUL,3.86,3.14,4.00,3.79,2.93
