ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
COMM-123,2016C,FELICITY PAXTON,3.14,2.90,3.52,3.39,2.83
COMM-125,2016C,AMY B. JORDAN,2.84,1.90,3.29,3.12,2.13
COMM-175,2002A,KATHRYN KOLBERT,1.89,1.49,2.26,1.79,1.83
COMM-225,2016A,AMY B. JORDAN,3.46,2.63,3.79,3.67,2.29
COMM-262,2014C,PAUL MESSARIS,3.46,1.77,3.65,3.73,1.44
COMM-280,2002A,JOSEPHINE FERRIGNO,3.17,2.17,3.56,3.11,2.50
COMM-299,2012A,MATTHEW A. LAPIERRE,3.27,1.40,3.18,3.20,1.90
COMM-322,2016A,CAROLYN A MARVIN,3.88,2.88,4.00,3.93,2.63
COMM-330,2010C,JOSEPH G. TUROW,2.47,2.83,2.65,2.07,2.77
COMM-334,2005A,OSCAR HOWARD GANDY,2.80,2.90,3.10,2.40,2.70
COMM-350,2007A,JOSEPH N. CAPPELLA,2.78,2.76,3.20,2.48,3.23
COMM-360,2005C,KLAUS KRIPPENDORFF,3.11,1.56,3.33,2.67,2.00
COMM-395,2016C,DWIGHT D. EISENHOWER,3.79,2.30,3.95,3.55,2.35
COMM-398,2011B,ELIZABETH A ROODHOUSE,3.50,2.17,3.83,3.50,2.83
COMM-496,2005C,ELIHU KATZ,2.72,2.39,3.06,2.50,2.56
COMM-498,2002A,ALBERT HUNT,3.43,2.14,3.64,3.36,1.86
COMM-130,2016A,EMILY ANN DEAN HUND,2.47,2.95,2.52,2.32,2.34
COMM-140,2012B,SANDRA RISTOVSKA,3.50,1.88,3.50,3.50,2.00
COMM-226,2016C,KATHLEEN HALL JAMIESON,3.29,3.88,3.43,3.55,3.45
COMM-238,2004A,AMY SARCH SCHOPICK,2.77,2.52,2.71,2.73,2.70
COMM-275,2015A,JOSEPH N. CAPPELLA,2.95,3.00,2.89,3.13,3.27
COMM-323,2016A,ALBERT HUNT,3.63,1.82,3.95,3.71,2.18
COMM-427,2003A,JOHN JEMMOTT,2.07,2.14,2.79,1.93,2.57
