ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
URBS-206,2016A,MICHAEL P NAIRN,2.60,2.00,3.20,3.25,2.25
URBS-454,2014A,MARK J. STERN,3.00,2.54,3.50,3.54,2.69
CPLN-455,2002C,ANTHONY R TOMAZINIS,2.77,2.15,3.31,3.00,2.38
URBS-360,2005C,MICHAEL P NAIRN,2.69,2.77,2.69,2.62,3.46
URBS-210,2016A,MICHAEL P NAIRN,2.70,2.56,3.00,3.19,3.13
URBS-403,2016A,CORY FISCHER-HOFFMAN,3.75,2.40,3.80,3.60,3.60
URBS-270,2016A,DOMENIC VITIELLO,3.27,2.08,3.47,3.42,2.50
URBS-467,2010A,EUGENIE L. BIRCH,3.10,2.63,3.30,3.38,2.88
GAFL-569,2014C,JOHN KROMER,3.25,1.83,3.58,3.14,1.87
FREN-300,2016A,ANDREA GOULET,2.89,2.00,3.22,3.44,2.44
URBS-451,2016C,JOHN KROMER,2.92,2.35,2.92,3.00,2.52
