ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
SOCI-233,2007C,WILLIAM S LAUFER,2.88,1.29,3.48,3.03,1.35
SOCI-535,2016C,PAUL D ALLISON,3.04,2.83,3.12,2.75,2.96
CRIM-300,2016A,WILLIAM S LAUFER,3.59,1.87,3.76,3.68,1.49
CRIM-200,2016A,JOHN M. MACDONALD,2.59,2.08,2.80,2.88,1.80
AFRC-302,2006A,SHAUN L. GABBIDON,4.00,2.00,4.00,4.00,3.00
CRIM-410,2016C,CHARLES E. LOEFFLER,2.70,2.90,2.70,3.10,3.20
CRIM-411,2008C,PAUL E ROCK,3.00,1.83,3.00,2.83,2.50
CRIM-415,2008C,SUSAN SORENSON,3.69,2.69,3.85,3.92,3.00
CRIM-535,2016C,AARON J. CHALFIN,3.33,2.57,3.57,3.57,2.76
CRIM-350,2008A,RICHARD A. BERK,2.56,2.06,2.56,2.38,1.50
CRIM-400,2007A,SUSAN SORENSON,4.00,2.13,4.00,3.75,2.00
CRIM-360,2009C,PAUL E ROCK,2.30,2.17,2.70,1.67,1.67
CRIM-100,2016C,ELLEN A DONNELLY,2.25,2.46,2.55,2.46,2.19
CRIM-370,2014C,ADRIAN RAINE,2.89,2.33,3.22,3.23,2.00
CRIM-003,2008C,FAZAL AHMED,2.60,1.20,2.80,2.60,1.00
CRIM-150,2016C,GREGORY RIDGEWAY,2.88,2.69,3.24,3.13,2.19
CRIM-280,2015A,CHARLES E. LOEFFLER,2.78,2.53,3.00,2.93,2.47
CRIM-260,2016A,JILL M. PORTNOY,3.56,2.19,3.78,3.56,2.44
CRIM-401,2010A,RICHARD A. BERK,3.50,3.00,3.50,4.00,3.50
CRIM-330,2014C,EMILY G. OWENS,2.82,1.93,2.97,3.00,2.10
CRIM-250,2012A,WILLIAM S LAUFER,2.81,1.79,3.48,3.15,1.56
CRIM-340,2014A,SUSAN E. RUSHING,3.06,1.61,3.46,3.56,1.63
ANTH-230,2016C,JANET M MONGE,3.37,2.42,3.44,3.71,2.33
CRIM-320,2016A,SARA HELLER,2.75,3.38,2.88,2.88,3.25
CRIM-270,2016C,ADRIAN RAINE,3.43,2.24,3.70,3.72,2.05
CRIM-315,2016C,THOMAS DOLGENOS,3.75,2.17,4.00,4.00,2.33
CRIM-502,2015C,GREGORY RIDGEWAY,3.03,3.03,3.42,3.30,3.13
CRIM-120,2016A,RICHARD A. BERK,2.00,2.38,3.25,3.00,1.75
CRIM-307,2016A,ERIN M KERRISON,3.44,1.63,3.67,3.88,1.88
