ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
CSE-110,2007A,JEAN GRIFFIN,2.56,2.00,1.75,2.06,2.22
CSE-121,2007A,VAL BREAZU TANNEN,2.30,2.85,2.70,2.19,3.33
CSE-131,2005A,JEFFREY A. VAUGHAN,2.17,2.00,2.92,2.64,1.83
CSE-261,2006C,MAX MINTZ,3.80,2.90,4.00,4.00,2.20
CSE-320,2007A,SAMPATH KANNAN,2.83,3.49,3.37,2.61,3.28
CSE-333,2002A,HONGHUI LU,2.29,2.29,2.14,1.71,2.43
CSE-341,2006A,E CHRISTOPHER LEWIS,3.13,2.87,3.30,2.97,3.21
CSE-350,2006C,JONATHAN MICHAEL SMITH,2.80,2.10,3.10,2.80,2.10
CSE-371,2007A,AMIR ROTH,2.76,3.39,2.50,2.21,3.18
CSE-377,2005A,NORMAN I BADLER,2.18,2.68,2.50,2.09,3.32
CSE-390,2005C,JIANBO SHI,1.61,3.18,1.94,1.73,3.15
CSE-391,2005A,MARTHA S. PALMER,2.15,1.62,1.96,2.04,1.77
CSE-398,2007A,MAX MINTZ,3.57,3.14,4.00,4.00,2.43
CSE-401,2007A,CAMILLO JOSE TAYLOR,2.85,3.21,2.91,2.65,3.48
CSE-452,2002A,MALIKA MAHOUI,3.67,2.67,3.67,3.17,2.83
CSE-340,2004A,STEPHANIE WEIRICH,3.00,1.50,3.50,2.50,1.50
CSE-480,2003A,MICHAEL B. GREENWALD,2.00,2.38,2.50,2.50,1.38
CSE-260,2007A,BENJAMIN PIERCE,2.73,3.11,2.96,2.44,3.20
CSE-100,2003C,MITCHELL PHILIP MARCUS,3.00,3.00,3.00,3.00,3.00
CSE-120,2007A,STEPHANIE WEIRICH,2.58,2.74,2.58,1.95,2.95
CSE-130,2005C,RAVI CHUGH,2.88,2.00,3.63,2.88,1.38
CSE-140,2005C,LYLE H UNGAR,2.07,2.82,2.44,2.55,2.62
CSE-240,2005C,E CHRISTOPHER LEWIS,3.16,2.67,3.47,3.16,2.75
CSE-262,2005C,SUDIPTO GUHA,2.11,3.63,2.35,2.13,3.26
CSE-330,2005C,SUSAN B DAVIDSON,3.11,2.16,3.32,2.79,2.16
CSE-331,2006C,STEPHAN A. ZDANCEWIC,3.33,2.48,3.59,3.15,2.85
CSE-334,2005C,SANJEEV KHANNA,4.00,3.86,4.00,3.71,3.14
CSE-380,2005C,MATTHEW BLAZE,2.97,2.34,3.21,3.10,2.24
CSE-381,2005C,YILUN DIANNA XU,2.55,3.71,2.96,2.51,3.94
CSE-399,2007A,BRIAN E. AYDEMIR,3.08,2.00,3.38,2.62,2.15
CSE-400,2005C,CAMILLO JOSE TAYLOR,2.76,2.67,3.04,2.74,2.92
CSE-410,2005C,MARCELO F. SIQUEIRA,2.75,2.00,3.00,2.75,2.00
CSE-477,2005C,ARAVIND K JOSHI,2.29,2.14,2.71,2.00,2.14
CIS-560,2015C,ADAM D MALLY,3.00,3.47,3.13,2.97,3.53
CSE-393,2003C,STEPHEN LANE,2.54,3.15,2.69,2.23,3.15
CSE-434,2004C,HONGHUI LU,2.00,2.38,2.00,1.88,2.63
CSE-101,2004C,MITCHELL PHILIP MARCUS,3.33,1.67,3.67,3.67,1.67
CSE-462,2005C,STEPHEN LANE,3.11,3.47,3.00,2.83,3.32
CSE-482,2005C,RAJEEV S. ALUR,2.60,3.00,2.60,2.60,2.20
CSE-112,2007A,MICHAEL KEARNS,2.34,2.04,2.63,2.31,1.84
CSE-123,2004A,YILUN DIANNA XU,3.22,3.44,3.33,2.67,3.44
CSE-313,2004A,CAMILLO JOSE TAYLOR,3.00,2.63,3.38,2.75,2.63
CSE-455,2007A,ZACHARY IVES,3.75,3.56,3.88,3.63,3.94
CSE-372,2007A,MILO M. K. MARTIN,3.12,3.26,3.59,3.32,3.59
MATH-313,2016A,MICHAEL WIBMER,2.24,2.15,2.61,2.29,2.30
CSE-461,2005C,PAUL DIEFENBACH,1.75,2.00,2.17,2.04,2.33
CSE-106,2005C,NORMAN I BADLER,2.20,2.44,2.94,2.63,3.44
CSE-125,2007A,MATTHEW BLAZE,3.22,1.67,3.44,3.56,2.22
CSE-277,2007A,NORMAN I BADLER,3.00,2.97,3.15,2.73,3.42
