ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
DTCH-102,2016A,ROBERT A NABORN,3.33,1.50,3.33,4.00,1.50
DTCH-104,2015A,ROBERT A NABORN,4.00,2.00,4.00,4.00,2.00
GRMN-251,2002A,WALTER GEERTS,3.14,1.71,3.29,3.00,1.57
DTCH-230,2003A,HANS VAN DE VELDE,2.40,1.80,3.20,2.60,2.00
DTCH-008,2003C,ROBERT A NABORN,2.55,2.15,2.75,2.45,2.10
DTCH-101,2015C,ROBERT A NABORN,3.00,1.75,3.25,2.75,1.25
DTCH-507,2002C,ROBERT A NABORN,3.67,2.33,3.67,4.00,2.33
DTCH-103,2012C,ROBERT A NABORN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARTH-262,2016C,LARRY SILVER,3.58,2.45,3.92,4.00,2.18
ARTH-301,2016C,CHRISTOPHER PASTORE,2.88,2.38,3.00,3.29,3.13
ARTH-260,2015C,LARRY SILVER,4.00,2.50,4.00,4.00,2.50
HIST-407,2006A,LARRY SILVER,2.36,2.21,2.79,2.57,2.21
ARTH-261,2014A,LARRY SILVER,3.21,2.77,3.50,3.23,2.23
GRMN-275,2011A,NELE K BEMONG,3.75,2.00,3.88,3.88,1.75
DTCH-231,2010A,MATTHIJS DE RIDDER,2.50,1.75,3.00,2.50,1.75
DTCH-251,2010A,MATTHIJS DE RIDDER,3.17,2.17,3.17,2.67,2.17
DTCH-530,2015A,JOSEPHINE HOEGAERTS,3.67,2.67,3.67,4.00,3.00
HIST-230,2016C,NORIA KATE LITAKER,3.88,1.75,3.88,3.88,2.38
ARTH-362,2016A,LARRY SILVER,3.00,2.30,3.42,3.10,2.50
