ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
DYNM-201,2010A,WILLIAM S WILKINSKY,3.49,1.67,3.80,3.73,1.76
DYNM-202,2010A,JAHANGIR POURDEHNAD,2.76,1.58,3.22,2.77,1.39
DYNM-501,2016C,DANA KAMINSTEIN,3.79,2.86,3.00,3.36,3.00
DYNM-542,2015A,RUTH L ORENSTEIN,3.64,3.00,3.64,3.85,3.08
DYNM-555,2016C,STEPHEN P STEINBERG,2.60,3.40,3.00,2.60,3.00
DYNM-558,2016A,BRUCE M. WARREN,3.06,2.13,3.47,3.69,2.69
DYNM-559,2011C,STEVEN FREEMAN,3.00,2.50,3.50,3.00,2.50
DYNM-551,2012A,JANET L. GRECO,3.60,2.40,3.90,3.90,2.60
DYNM-553,2012A,JOHN C ELDRED,3.50,2.50,3.75,4.00,2.75
INTS-693,2014A,RAVI CHATURVEDI,3.25,2.20,2.17,1.90,2.30
DYNM-500,2015C,ALAN M BARSTOW,2.17,1.92,2.92,2.92,2.00
