ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
EALC-002,2016A,DAVID SPAFFORD,2.75,2.23,3.08,3.02,2.27
EALC-036,2006A,DAVID N. SCHMID,3.67,2.67,4.00,4.00,3.00
EALC-114,2009C,FRANK L. CHANCE,2.83,2.33,3.00,2.60,2.50
EALC-137,2006A,DAVID N. SCHMID,3.75,3.38,3.75,3.13,3.50
EALC-142,2006A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
EALC-196,2006A,JINA KIM,4.00,3.00,4.00,4.00,2.00
EALC-198,2016A,SHARLYN RHEE,2.21,2.42,2.14,2.42,2.58
EALC-220,2007C,XIAOJUE WANG,3.50,2.33,3.33,3.17,2.50
EALC-222,2016A,VICTOR H MAIR,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
EALC-254,2015A,LINDA H. CHANCE,3.00,2.75,3.50,3.75,2.50
EALC-265,2011A,HENRY GLASSMAN,2.65,2.42,3.06,2.31,2.62
EALC-279,2008A,G. CAMERON HURST,3.08,2.13,3.46,3.33,2.50
EALC-285,2007C,FRANK L. CHANCE,3.50,2.25,3.75,3.25,2.50
EALC-301,2016C,VICTOR H MAIR,3.17,2.80,3.17,3.60,3.00
EALC-499,2006A,LINDA H. CHANCE,3.00,2.50,3.50,3.00,3.00
CLST-195,2006A,JEREMY JAMES MCINERNEY,2.74,2.63,3.30,3.07,2.46
HIST-097,2016A,SI-YEN FEI,2.63,2.54,2.74,3.00,2.68
HIST-121,2015C,EUGENE Y. PARK,3.08,2.50,2.77,2.58,2.25
HIST-206,2016C,JANINE M VAN VLIET,2.25,1.75,2.25,3.00,2.25
PSCI-214,2013C,YUHUA WANG,3.33,2.67,3.64,3.41,2.53
SOCI-041,2016C,DANIEL A COHEN,2.75,2.36,3.08,3.45,3.18
SOCI-230,2015C,STEPHEN R. VISCELLI,2.44,2.60,2.44,3.00,2.00
EALC-001,2016C,PAUL RAKITA GOLDIN,2.62,2.23,3.01,3.02,2.29
EALC-009,2007A,NONA  L. CARTER,3.14,2.29,3.64,3.36,2.79
EALC-069,2016C,JOLYON BARAKA THOMAS,2.99,2.46,3.32,3.34,2.89
EALC-070,2005C,G. CAMERON HURST,2.76,2.00,2.94,2.59,2.00
EALC-119,2008C,FRANK L. CHANCE,3.67,2.50,3.67,3.58,2.75
EALC-121,2014C,VICTOR H MAIR,3.22,2.25,3.33,3.50,2.38
EALC-152,2015C,LINDA H. CHANCE,3.70,2.38,3.80,3.88,2.63
EALC-154,2012A,LESLIE WINSTON,3.20,2.75,2.80,3.50,2.75
EALC-189,2006C,JINA KIM,3.67,2.00,4.00,3.67,2.00
EALC-227,2014C,NANCY R S STEINHARDT,3.14,3.00,3.43,3.50,2.90
EALC-239,2006C,PAUL RAKITA GOLDIN,3.56,2.44,4.00,3.78,2.33
EALC-240,2015C,PAUL RAKITA GOLDIN,3.10,2.43,3.50,3.33,2.57
EALC-257,2016C,JOLYON BARAKA THOMAS,3.40,2.50,3.70,3.60,2.90
EALC-258,2008C,NANCY R S STEINHARDT,3.33,2.79,3.53,3.20,3.00
EALC-282,2006C,G. CAMERON HURST,3.09,2.27,2.77,2.82,2.36
EALC-302,2016C,LINDA H. CHANCE,2.50,2.25,2.50,2.75,2.50
CHIN-491,2016C,VICTOR H MAIR,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
COMM-348,2006C,BINGCHUN MENG,2.47,1.89,2.89,2.47,2.37
HIST-096,2014C,SI-YEN FEI,3.00,2.16,3.17,3.12,2.36
HIST-120,2016C,EUGENE Y. PARK,2.47,2.56,2.81,2.56,2.48
HIST-395,2015C,FREDERICK R. DICKINSON,2.89,2.76,3.21,3.16,2.92
SOCI-280,2007C,EMILY C. HANNUM,3.12,1.96,3.12,2.65,2.08
EALC-366,2006B,G. CAMERON HURST,2.75,2.42,3.08,2.67,3.08
EALC-013,2013C,NANCY R S STEINHARDT,2.29,2.68,2.46,2.55,2.18
EALC-019,2005C,LINDA H. CHANCE,3.00,2.25,3.50,3.25,3.00
EALC-115,2015C,FRANK L. CHANCE,3.00,2.25,3.21,3.50,2.58
EALC-155,2009C,NORIKO HORIGUCHI,3.40,3.00,3.60,3.20,3.20
EALC-176,2016A,DAVID SPAFFORD,2.89,2.20,3.33,3.40,2.35
EALC-180,2005C,JINA KIM,3.00,2.00,3.00,2.33,2.00
EALC-186,2007A,JINA KIM,2.00,2.06,2.44,2.25,2.13
EALC-223,2015C,LEOPOLD L EISENLOHR,2.65,2.25,2.85,2.79,2.10
EALC-269,2005C,WILLIAM R. LAFLEUR,2.81,2.38,2.88,2.50,2.56
HSSC-152,2005C,NATHAN SIVIN,2.44,2.39,2.86,2.36,2.56
COMM-338,2007B,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
COMM-397,2016A,KENNETH WINNEG,3.31,2.25,3.50,3.50,2.33
HIST-391,2008B,MILAN G HEJTMANEK,3.08,2.50,3.17,3.00,2.42
EALC-091,2011C,G. CAMERON HURST,2.43,2.00,2.57,2.00,2.50
EALC-127,2015C,NANCY R S STEINHARDT,3.50,3.40,3.58,3.50,2.80
EALC-211,2016A,NANCY R S STEINHARDT,2.86,2.83,3.00,3.33,3.33
