ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
EAS-345,2005C,JEFFREY A BABIN,3.81,2.53,3.97,3.75,3.31
EAS-346,2005C,JEFFREY A BABIN,3.71,3.23,3.71,3.57,3.86
EAS-547,2004A,JEFFREY ROTWITT,2.88,2.00,3.00,2.88,2.00
EAS-001,2004C,NATHAN ENSMENGER,2.00,0.00,3.33,2.00,0.00
EAS-101,2013C,DAVID P POPE,2.69,2.13,3.06,2.73,2.27
EAS-011,2008A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
EAS-009,2005A,TAMAR E GRANOR,2.92,1.46,3.23,2.92,2.08
EAS-296,2013A,DANIEL KENT BOGEN,3.33,1.00,3.50,3.10,0.80
EAS-349,2005C,ROBERT L. JEFFCOAT,2.90,2.20,3.10,2.90,2.10
EAS-200,2004A,TAMAR E GRANOR,2.50,1.50,3.50,3.00,2.00
EAS-210,2013A,JAMES V. MCGONIGLE,1.88,1.20,1.87,1.80,1.20
EAS-303,2005A,KENNETH R FOSTER,2.60,1.60,2.90,3.00,1.70
EAS-280,2007A,DAWN ELLIOTT,3.18,1.06,3.12,2.82,1.47
EAS-282,2006A,NORMAN I BADLER,2.50,2.00,2.25,2.75,2.50
EAS-445,2008A,THOMAS A. CASSEL,3.73,2.50,3.89,3.70,3.36
EAS-446,2008A,THOMAS A. CASSEL,3.92,3.32,3.92,3.92,3.96
EAS-281,2007A,ALFRED M. HANSSEN,3.13,1.25,3.63,3.25,2.50
EAS-297,2013A,J. ANTHONY SAUDER,3.36,1.63,3.36,3.13,1.50
EAS-401,2016C,NOAM LIOR,2.82,2.92,2.94,2.67,2.58
BE-303,2012C,KENNETH R FOSTER,1.59,1.64,2.14,1.13,2.53
EAS-021,2009B,MARK C. VANLANGEVELD,3.50,3.00,4.00,4.00,3.50
EAS-022,2011B,SEAN P. HOLLERAN,3.00,3.50,3.50,3.00,4.00
EAS-023,2011B,KENDRA M. KATHAN,2.00,2.67,0.67,0.33,2.33
EAS-024,2011B,JONATHAN PAUL FIENE,3.67,3.00,3.00,3.33,3.33
EAS-025,2011B,JEAN GRIFFIN,3.13,2.63,2.88,3.00,2.75
EAS-026,2007B,KENNETH R FOSTER,2.45,2.55,2.64,2.45,3.00
EAS-096,2006B,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
EAS-448,2008B,JEFFREY A BABIN,3.40,2.40,3.80,3.85,2.81
EAS-348,2005B,JEFFREY A BABIN,3.29,2.38,3.56,3.46,2.74
EAS-028,2011B,SIDDHARTH M. DELIWALA,3.50,3.50,3.50,3.00,4.00
EAS-400,2008A,MARY A WESTERVELT,2.44,1.56,3.00,2.33,1.78
EAS-300,2007A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
CSE-125,2007A,MATTHEW BLAZE,3.22,1.67,3.44,3.56,2.22
EAS-205,2016C,CAMILLO JOSE TAYLOR,2.32,2.10,2.82,2.13,2.03
EAS-402,2016A,NOAM LIOR,1.46,3.08,1.62,1.00,3.33
EAS-449,2013C,PETER W. BRESSLER,2.50,2.00,2.92,2.42,2.75
EAS-510,2016C,CHERYL WECKSLER,3.50,2.17,4.00,3.67,2.50
CIS-125,2016A,MATTHEW BLAZE,3.00,1.43,3.37,3.00,1.31
EAS-545,2016C,THOMAS A. CASSEL,3.75,2.98,3.91,3.67,3.42
EAS-548,2012B,JEFFREY A BABIN,3.25,3.00,3.88,3.57,3.71
EAS-105,2013A,MICHAEL RIZK,2.61,2.82,2.99,2.41,3.21
EAS-500,2013A,MARY A WESTERVELT,3.13,1.86,3.29,2.57,1.86
EAS-546,2016C,THOMAS A. CASSEL,3.81,3.47,3.86,3.82,3.94
EAS-285,2010A,WILLIAM Q BURKE,4.00,1.50,3.50,3.50,2.00
EAS-299,2013A,JAN VAN DER SPIEGEL,2.07,1.58,2.57,2.18,1.83
EAS-403,2016C,ANDREW HUEMMLER,2.50,1.84,2.91,2.37,2.47
EAS-301,2016C,ANDREW HUEMMLER,2.69,1.23,3.19,3.27,1.86
EAS-504,2012C,MICHAEL A. CARCHIDI,2.89,2.83,3.32,2.89,2.50
EAS-250,2013A,ANDREW JACKSON,3.12,2.81,3.12,2.50,2.38
EAS-306,2016A,ANDREW HUEMMLER,2.46,1.91,2.86,2.73,1.64
EAS-203,2016C,BRITTANY A SHIELDS,1.74,2.08,2.40,2.00,2.46
EAS-591,2014C,MARCIA V WILKOF,2.83,1.20,3.33,3.00,1.20
EAS-595,2016A,DWIGHT L JAGGARD,2.97,1.78,3.45,3.52,2.15
EAS-590,2016A,TOMAS ISAKOWITZ,2.57,2.17,2.86,2.83,2.83
EAS-512,2016C,STUART DIAMOND,3.35,1.47,3.22,3.39,1.38
EAS-507,2016C,LINDA M. KURTH,2.58,2.11,3.25,3.00,2.44
