ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
ECON-001,2016C,HANNA WANG,1.71,2.20,1.79,1.95,2.10
ECON-002,2016C,QI PAN,1.10,3.08,1.30,1.29,2.50
ECON-003,2004A,KENNETH BURDETT,2.06,2.94,2.42,2.23,2.50
ECON-004,2004A,JAE EUN SONG,1.50,2.40,1.20,1.00,2.10
ECON-005,2004A,SULEYMAN OZMUCUR,2.63,1.80,2.97,2.10,1.53
ECON-006,2004A,ELENA KRASNOKUTSKAYA,2.33,2.80,2.40,1.87,2.53
ECON-023,2002C,ALAN W HESTON,2.08,2.54,2.08,1.00,2.23
ECON-035,2016A,ANNE L DUCHENE,3.43,2.37,3.50,3.47,2.00
ECON-036,2015C,CAMILO GARCIA-JIMENO,2.67,2.44,2.89,3.06,2.44
ECON-039,2004A,MARK V. PAULY,2.74,2.51,3.23,2.33,1.97
ECON-050,2016A,DANIEL S WILLS,2.38,2.56,2.38,2.38,2.19
ECON-054,2004A,SANJAY KUMAR CHUGH,3.00,2.85,3.46,2.62,2.62
ECON-062,2008C,ALEXANDER VEKKER,2.58,2.18,2.92,2.42,1.73
ECON-112,2003C,STEVEN A MATTHEWS,3.27,3.36,3.09,2.36,3.18
ECON-113,2002C,FRANK SCHORFHEIDE,2.29,3.57,2.57,1.57,2.86
ECON-131,2004A,ANTONIO M. MERLO,3.34,2.71,3.70,3.42,2.18
ECON-133,2004A,PETRA E. TODD,3.18,2.71,3.47,3.06,2.47
ECON-135,2004A,EUGENIO J MIRAVETE,2.86,3.00,2.95,2.36,2.50
ECON-136,2004A,NICOLA PERSICO,2.42,2.63,2.53,2.00,1.74
ECON-150,2004A,WILFRED J ETHIER,2.18,2.76,2.56,2.24,2.12
ECON-164,2003C,HERBERT S LEVINE,2.82,2.47,3.24,2.24,2.88
ECON-300,2016C,JERE R BEHRMAN,3.14,2.88,3.43,3.63,2.63
SARS-402,2002A,ALAN W HESTON,1.52,1.70,1.65,1.00,1.87
ECON-031,2004A,NICOLA PERSICO,1.88,2.63,2.19,1.97,1.72
ECON-033,2014C,KRISTIN DOUGLAS SHAW,2.17,3.06,2.29,2.59,2.61
ECON-160,2003A,HERBERT S LEVINE,2.70,2.75,2.97,2.37,2.55
ECON-172,2004A,DIRK KRUEGER,3.28,2.03,3.66,2.90,2.03
ECON-178,2003C,JESUS FERNANDEZ-VILLAVERDE,3.08,3.67,3.55,3.33,2.58
ECON-053,2003C,LEI HUA,2.64,2.09,2.91,2.00,2.09
ECON-027,2002C,ALAN W HESTON,1.47,2.41,1.65,1.06,2.24
ECON-115,2004A,PETRA E. TODD,3.05,3.00,3.47,2.74,2.32
ECON-024,2014A,FLAVIO CUNHA,2.65,2.04,2.91,3.12,1.88
ECON-123,2003C,MURAT GURAY KIRDAR,2.64,2.27,2.64,2.09,2.27
ECON-030,2015C,URIEL SPIEGEL,1.96,2.52,2.00,2.62,1.57
ECON-101,2016C,MARIA ORRACA CORONA,2.24,2.95,2.61,2.43,2.19
ECON-102,2016C,GUILLERMO ORDONEZ,2.31,2.66,2.76,2.70,2.48
ECON-103,2016C,ETHAN M HOSSAIN,3.14,2.79,3.36,3.58,2.58
ECON-212,2016C,ANDREW POSTLEWAITE,2.27,3.46,2.27,2.85,3.00
ECON-220,2008A,FLAVIO CUNHA,3.62,3.00,3.92,3.85,2.85
ECON-222,2016C,TIMOTHY CHRISTENSEN,3.68,3.13,3.71,3.68,2.70
ECON-231,2016C,HANMING FANG,3.06,2.64,3.23,3.00,2.50
ECON-235,2016A,SANGMOK LEE,2.05,2.78,2.09,2.06,1.76
ECON-242,2016A,JEREMY GREENWOOD,2.29,3.57,2.71,2.86,2.83
ECON-243,2016A,HAROLD L. COLE,2.35,3.21,2.60,2.79,3.43
ECON-251,2015C,IOURII S. MANOVSKII,2.13,3.00,2.36,2.53,2.89
ECON-263,2005C,HERBERT S LEVINE,2.57,2.26,3.04,2.30,2.04
ECON-009,2005C,CARL SEAQUIST,2.63,1.63,2.81,2.19,1.73
ECON-210,2016C,JEREMY GREENWOOD,2.22,2.64,2.22,2.45,1.77
ECON-221,2015C,FRANCIS X. DIEBOLD,2.85,3.55,3.00,3.36,3.45
ECON-232,2016C,SARAH N MOSHARY,2.62,2.34,2.91,2.98,1.83
ECON-233,2016A,ANDREW SHEPHARD,2.63,2.72,2.96,3.14,2.47
ECON-234,2016A,CAMILO GARCIA-JIMENO,2.70,2.63,2.90,2.94,2.80
ECON-252,2016C,ANA CECILIA FIELER,2.40,2.71,2.33,2.71,2.43
ECON-261,2012C,JERE R BEHRMAN,3.09,2.33,3.73,3.33,2.78
HCMG-302,2013C,GUY DAVID,3.23,2.24,3.49,3.62,1.96
ECON-010,2016C,ANNE L DUCHENE,2.60,2.44,3.06,3.05,2.01
BPUB-230,2011C,ROBERT P INMAN,3.06,2.73,3.23,3.03,2.12
HCMG-202,2016C,GUY DAVID,3.09,2.51,3.24,3.31,1.77
ECON-241,2014A,UFUK AKCIGIT,2.93,3.08,3.23,3.21,2.76
ECON-236,2016C,JUAN PABLO ATAL,2.82,2.52,2.75,3.07,2.09
ECON-245,2012A,ANA CECILIA FIELER,3.33,3.67,3.00,3.00,3.33
ECON-104,2016C,XU CHENG,1.93,2.89,2.11,1.90,2.60
ECON-260,2016A,SUMANTRA SEN,2.08,3.45,2.65,2.75,1.25
PPE-201,2016C,DAVID DILLENBERGER,2.15,3.11,2.27,2.47,2.70
PPE-113,2008C,DAVID DILLENBERGER,2.21,3.02,2.57,2.29,2.79
HIST-161,2016C,WALTER LICHT,2.33,2.47,2.53,2.58,2.60
ECON-237,2016C,HOLGER WOLFGANG SIEG,2.53,2.49,2.61,2.78,1.98
ECON-244,2016A,ALESSANDRO DOVIS,2.30,2.63,2.44,2.58,2.84
ECON-262,2014C,MALLESH M. PAI,3.41,2.65,3.54,3.53,2.65
RUSS-189,2016C,ALEXANDER VEKKER,2.75,2.24,3.04,3.14,2.00
ECON-038,2013A,GIZEM SAKA,3.33,2.44,3.89,3.67,3.22
ECON-211,2016A,SANGMOK LEE,1.80,2.59,1.80,1.95,1.77
ECON-246,2016C,HAROLD L. COLE,1.95,3.60,2.29,2.73,3.13
EALC-185,2014C,CHOONG SOO KIM,2.60,2.83,2.80,3.17,2.83
EALC-193,2015A,CHOONG SOO KIM,2.93,2.27,3.21,3.18,2.09
ECON-032,2016C,DENIZ SELMAN,1.80,3.00,2.13,2.33,1.87
