ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
EE-206,2003A,JAN VAN DER SPIEGEL,2.67,3.13,3.25,2.63,3.42
EE-216,2003A,STEPHANE EVOY,1.97,2.89,1.54,1.32,2.76
EE-218,2003A,SOHRAB RABII,2.13,2.87,2.31,1.63,2.53
EE-220,2003A,SASWATI SARKAR,1.70,2.50,1.80,1.30,2.30
EE-224,2003A,NADER ENGHETA,3.03,3.06,3.44,2.85,3.18
EE-325,2003A,GEORGE J. PAPPAS,2.57,2.38,2.95,2.19,2.24
EE-400,2003A,DANIEL D. LEE,3.42,2.71,3.58,3.33,3.54
EE-442,2003A,JORGE JUAN SANTIAGO,2.64,3.18,2.91,2.55,3.64
EE-460,2003C,JORGE JUAN SANTIAGO,3.06,2.29,2.94,3.12,2.00
EE-511,2003A,DWIGHT L JAGGARD,3.00,3.57,3.71,3.29,3.57
EE-539,2003A,NABIL H. FARHAT,2.06,2.58,2.33,1.79,2.27
EE-560,2003A,KENNETH R LAKER,2.86,3.00,2.86,1.86,3.57
EE-576,2003A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
EE-115,2003C,STEPHEN JUDD,1.88,2.79,1.83,1.62,3.05
TCOM-503,2003B,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
EE-111,2003C,JORGE JUAN SANTIAGO,2.71,1.45,3.18,3.05,1.76
EE-200,2003C,JAN VAN DER SPIEGEL,3.21,3.18,3.21,2.53,3.42
EE-201,2003C,JAN VAN DER SPIEGEL,2.75,3.25,3.08,2.50,3.83
EE-205,2003C,KENNETH R LAKER,3.25,2.50,3.38,2.75,3.00
EE-215,2003C,SOHRAB RABII,2.40,2.43,2.33,1.85,2.50
EE-300,2002C,MOSTAFA S. AFIFI,1.04,1.58,0.80,0.52,1.60
EE-310,2003C,NABIL H. FARHAT,2.82,2.76,3.24,2.76,2.59
EE-319,2003C,THAYAMKULANGARA R. VISWANATHAN,2.90,3.14,3.24,3.05,3.10
EE-419,2003C,KRISHNASWAMY NAGARAJ,3.18,3.09,3.00,2.36,2.64
EE-441,2003C,KENNETH R LAKER,2.06,3.06,2.00,1.81,3.56
EE-500,2003C,ALI JADBABAIE,2.67,3.33,2.76,2.19,3.62
EE-509,2003C,DWIGHT L JAGGARD,2.89,3.50,3.44,3.00,3.28
EE-525,2002C,STEPHANE EVOY,2.65,2.39,2.83,2.35,3.26
EE-530,2003C,SANTOSH S VENKATESH,3.36,3.64,3.79,3.64,3.86
EE-531,2002C,DANIEL D. LEE,3.40,3.16,3.64,3.44,3.04
EE-575,2003C,ZULFIQUAR SAYEED,1.50,3.05,1.40,0.90,2.60
MSE-570,2016C,RITESH AGARWAL,2.83,3.39,2.88,2.87,2.64
EE-510,2003C,NADER ENGHETA,3.67,3.31,3.92,3.92,3.00
EE-521,2003C,STEPHANE EVOY,2.47,3.00,2.76,2.59,3.24
