ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
ENGL-001,2008A,LYNNE RATLIFF,2.11,1.78,1.33,1.13,2.00
ENGL-002,2005C,GARY H WILSON,3.11,2.89,3.44,3.89,3.11
ENGL-003,2005C,ADAM T HOTEK,3.92,2.08,3.85,3.92,2.62
ENGL-004,2005C,PATRICIA C WILLIAMS,3.13,1.88,3.13,3.13,2.31
ENGL-005,2005C,LAWRENCE ABBOTT,2.44,2.38,2.63,2.13,2.63
ENGL-006,2005C,DOROTHEA CUMMINGS,3.62,2.85,3.69,3.85,3.08
ENGL-007,2005A,MIRIAM E JACOBSON,3.20,1.53,3.87,3.13,1.73
ENGL-009,2008A,THERESE M LAFFERTY,3.64,2.64,3.73,3.73,3.36
ENGL-010,2016C,JASON J. ZUZGA,2.88,2.33,2.88,3.83,2.67
ENGL-011,2008A,FAYYAZ A VELLANI,2.67,2.25,3.00,2.58,2.83
ENGL-012,2005C,PATRICIA D HOPKINS,1.87,2.20,2.33,2.07,2.53
ENGL-016,2016C,ELAYNA A BROWNE,3.75,2.50,4.00,3.75,3.50
ENGL-020,2016C,REBECCA W BUSHNELL,2.93,2.18,3.29,3.00,2.27
ENGL-040,2015C,CHI-MING YANG,3.40,2.50,3.64,3.80,2.90
ENGL-045,2010A,TONI BOWERS,3.00,2.78,3.45,3.11,3.11
ENGL-055,2015A,CHRISTINE M WOODY,3.00,2.60,3.60,3.40,3.00
ENGL-060,2015A,EMILY STEINLIGHT,3.53,2.86,3.93,3.86,2.79
ENGL-061,2012C,JOSHUA ESTY,3.78,2.41,3.87,3.73,2.86
ENGL-063,2011C,HERMAN BEAVERS,3.00,3.00,3.75,3.25,3.50
ENGL-078,2016C,RAHUL MUKHERJEE,1.90,2.37,1.73,1.91,2.23
ENGL-080,2013A,HERMAN BEAVERS,2.47,2.27,2.71,2.93,2.00
ENGL-081,2016A,SALAMISHAH TILLET,3.21,2.43,3.58,3.68,3.26
ENGL-084,2005C,HERMAN BEAVERS,3.18,3.09,3.33,3.59,3.27
ENGL-085,2015C,LANCE D. WAHLERT,3.31,2.33,3.50,3.63,2.67
ENGL-090,2016C,DAVID WALLACE,3.25,2.33,3.81,3.43,2.27
ENGL-092,2016C,TIMOTHY CORRIGAN,3.22,2.10,3.40,3.48,2.32
ENGL-093,2012A,RITA BARNARD,3.29,2.57,3.71,3.29,2.57
ENGL-100,2016A,RITA BARNARD,3.43,2.23,3.71,3.62,2.62
ENGL-101,2016C,CHRISTINE M WOODY,3.21,2.20,3.42,3.47,2.93
ENGL-104,2015C,DEBORAH S BURNHAM,3.65,1.73,3.82,3.73,2.60
ENGL-112,2016C,MAX APPLE,2.73,2.20,2.91,2.70,2.10
ENGL-113,2016C,JULIA A BLOCH,4.00,2.09,3.92,3.91,2.55
ENGL-115,2016C,KAREN E RILE,3.75,2.00,3.60,3.50,2.75
ENGL-116,2014C,KATHLEEN D VAN CLEVE,3.75,1.92,3.67,4.00,2.42
ENGL-118,2016A,GREGORY DJANIKIAN,3.00,2.83,3.50,3.83,3.00
ENGL-125,2008A,THOMAS E DEVANEY JR,3.64,1.62,3.79,3.57,2.23
ENGL-135,2016C,LORENE E CARY,3.17,2.50,3.50,3.50,2.50
ENGL-145,2016C,KATHRYN WATTERSON,3.40,2.00,3.60,3.75,2.50
