ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
ENM-511,2016A,MICHAEL A. CARCHIDI,2.88,3.23,3.06,2.38,2.77
ENM-502,2016A,TALID R. SINNO,2.65,3.36,2.65,2.32,3.48
ENM-503,2016C,MICHAEL A. CARCHIDI,2.37,2.79,2.47,2.03,2.55
ENM-510,2016C,MICHAEL A. CARCHIDI,2.56,2.53,2.74,2.11,2.48
ENM-508,2004A,VACLAV VITEK,2.77,2.69,2.62,2.23,2.77
ENM-520,2016C,PRASHANT KISHORE PUROHIT,2.58,3.45,2.83,2.73,3.45
ENM-321,2016C,WEN K SHIEH,1.68,2.61,1.89,2.06,1.56
ENM-540,2016A,NICHOLAOS ARAVAS,3.09,3.00,3.82,3.40,2.40
MEAM-527,2016C,HOWARD H. HU,2.33,3.53,2.00,1.87,3.13
ENM-251,2016A,MICHAEL A. CARCHIDI,1.48,3.51,1.95,1.15,3.25
ENM-521,2016A,PEDRO PONTE-CASTANEDA,2.44,3.67,2.63,2.27,3.00
ENM-427,2015C,NICHOLAOS ARAVAS,2.92,2.58,3.23,2.71,2.13
ENM-375,2016C,JENNIFER E. CREMINS,1.93,2.82,2.41,2.38,3.41
ENM-512,2016A,MICHAEL A. CARCHIDI,2.82,2.63,2.73,2.63,2.50
