ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
ENVS-098,2011A,JORGE JUAN SANTIAGO,1.83,1.10,2.09,2.00,1.00
ENVS-200,2015C,YVETTE L BORDEAUX,2.92,3.08,3.23,3.25,2.58
ENVS-301,2016C,JANE E DMOCHOWSKI,3.41,2.25,3.47,3.63,3.00
ENVS-407,2016A,MICHAEL KULIK,3.32,2.00,3.53,3.27,2.33
ENVS-408,2016C,MICHAEL KULIK,3.53,1.77,3.53,3.54,2.23
ENVS-541,2016C,CHARLES DANA TOMLIN,3.20,3.42,3.53,3.42,3.67
ENVS-405,2004C,ELAINE WRIGHT,4.00,4.00,4.00,4.00,4.00
ENVS-450,2003A,FREDERICK N. SCATENA,3.17,2.33,3.33,2.83,2.33
ENVS-502,2007A,YVETTE L BORDEAUX,3.50,2.00,3.50,3.25,2.25
ENVS-409,2005A,ELAINE WRIGHT,3.36,2.27,4.00,3.91,2.27
ENVS-097,2009C,JORGE JUAN SANTIAGO,1.69,1.71,2.19,1.93,2.36
ENVS-404,2016C,CATHERINE KLINGER KUTCHER,2.57,1.86,2.90,3.14,2.14
ENVS-507,2016C,SARAH A WILLIG,3.38,2.00,3.69,3.67,3.00
ENVS-533,2013C,MICHAEL KULIK,3.50,1.25,3.25,3.50,2.00
ENVS-452,2003C,FREDERICK N. SCATENA,2.23,1.31,2.77,1.69,1.69
ENVS-580,2005C,HELEN SHEEHAN,3.50,2.40,3.80,3.60,2.50
ENVS-400,2016C,MICHAEL KULIK,3.82,1.90,3.82,3.90,2.10
ENVS-406,2016A,MARILYN HOWARTH,1.62,1.64,1.92,1.55,1.73
ENVS-009,2007A,FAYYAZ A VELLANI,3.75,1.58,3.83,3.58,2.17
AFST-319,2005A,PETER J. ROGERS,3.15,2.69,3.15,3.00,3.69
ENVS-295,2008A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ENVS-494,2015A,DANIEL K GAROFALO,3.44,2.17,3.56,3.50,2.14
ENVS-399,2016A,JANE KATHRYN WILLENBRING,2.00,2.27,2.23,2.18,2.27
ENVS-463,2010A,JOHN KEENE,3.09,3.00,3.55,2.64,3.27
ENVS-312,2016A,IRINA MARINOV,2.67,3.33,2.67,3.33,2.67
ENVS-413,2009A,GERTRUDE M. HELLER,2.28,1.67,2.44,2.11,1.94
ENVS-437,2009A,STANLEY LASKOWSKI,3.83,2.17,3.83,3.83,2.75
STSC-179,2013A,ANN NORTON GREENE,3.35,2.40,3.76,3.53,3.00
STSC-272,2016A,ANN NORTON GREENE,3.00,2.54,3.54,3.33,2.92
ENVS-095,2009C,KEVIN OSTERHOUDT,3.11,1.14,3.67,2.63,1.50
ENVS-204,2016C,JOSEPH T PIOTROWSKI,1.30,1.65,1.30,1.50,1.65
ENVS-305,2016C,DAVID REID VANN,1.20,2.71,1.40,1.57,2.29
FOLK-575,2009C,MARY T. HUFFORD,3.00,3.20,3.00,3.20,3.20
PHIL-073,2016C,SARAH GIBBONS,3.56,2.11,3.68,3.83,2.65
ENVS-415,2008A,FREDERICK N. SCATENA,3.43,3.00,3.71,3.71,2.57
STSC-271,2008A,FREDRIC L QUIVIK,3.00,2.50,3.50,3.13,3.00
STSC-313,2008A,LLYD WELLS,3.25,2.50,3.25,3.00,2.75
ENVS-410,2015C,HOWARD MARK NEUKRUG,3.63,2.50,3.38,3.33,2.83
BIOL-415,2016A,DAVID BERTRAM ARSCOTT,2.68,2.25,2.92,2.95,2.00
ARCH-255,2010C,LESLIE A BILLHYMER,2.87,1.96,2.06,1.89,2.39
ENVS-505,2010A,JERRY V MEAD,3.25,2.50,3.00,3.33,3.50
ENVS-325,2016C,JAMES R. HAGAN,3.00,1.60,3.11,2.87,1.87
ENVS-326,2016C,KRISTA HEINLEN,3.25,1.94,3.50,3.61,2.11
ENVS-426,2013A,EDWARD CHU,3.07,2.18,3.36,3.42,2.17
GRMN-239,2015C,BETHANY WIGGIN,1.64,2.17,1.91,2.58,2.53
STSC-169,2013C,ETIENNE S BENSON,3.08,2.45,3.50,3.55,2.82
ENVS-327,2014A,ALAIN PLANTE,3.00,2.20,3.50,3.60,3.00
STSC-279,2014A,ANN NORTON GREENE,3.60,2.13,3.80,3.75,2.88
ENVS-411,2016C,MARIA-ANTONIA ANDREWS,2.75,1.43,3.38,3.29,1.71
GRMN-543,2016A,BETHANY WIGGIN,3.00,3.00,3.20,3.33,3.33
GRMN-150,2016C,SIMON J RICHTER,2.78,2.07,3.00,3.36,2.21
